cd118,Num Eligible,Num Ineligible
0101,134241,149364
0102,141090,138558
0103,145340,130721
0104,132143,142310
0105,107154,184160
0106,107421,172435
0107,144448,138147
0200,106708,164600
0401,106614,248200
0402,158242,157253
0403,150732,116171
0404,124972,196909
0405,81735,213070
0406,134769,194668
0407,158359,145299
0408,120135,192082
0409,138892,179454
0501,163515,127314
0502,144738,163687
0503,129587,160532
0504,162869,131269
0601,145405,136245
0602,120184,181504
0603,100152,196442
0604,113542,168915
0605,123688,155907
0606,131351,149206
0607,120978,143359
0608,120372,138851
0609,120345,117192
0610,78507,195259
0611,107593,209696
0612,114960,172113
0613,133046,92638
0614,81346,166591
0615,82125,176632
0616,73527,187523
0617,76941,185043
0618,100788,122080
0619,96517,168117
0620,126460,118352
0621,149661,85860
0622,146728,83324
0623,136725,110672
0624,114359,157034
0625,145575,109209
0626,94036,155754
0627,108614,120089
0628,113657,149122
0629,144967,103044
0630,149300,161214
0631,113923,99354
0632,117678,168529
0633,126570,99466
0634,164624,110012
0635,114565,109173
0636,93263,221060
0637,159737,91639
0638,103731,121338
0639,104217,103941
0640,85577,180001
0641,117218,136945
0642,136134,108906
0643,143348,94624
0644,128065,103064
0645,110498,127803
0646,118469,97079
0647,98364,192339
0648,99350,153065
0649,82367,188466
0650,98958,201566
0651,100493,176419
0652,123596,112566
0801,123865,209203
0802,92112,198298
0803,140507,159022
0804,77110,201204
0805,100067,183140
0806,92411,180451
0807,94134,201005
0808,104521,155801
0901,118642,171162
0902,113385,179102
0903,119874,171498
0904,103230,166449
0905,113437,171479
1000,150739,244920
1201,118818,185262
1202,143848,169611
1203,141282,159290
1204,145587,155663
1205,100325,215288
1206,146273,183018
1207,122406,195190
1208,128884,196630
1209,126154,137422
1210,139491,148212
1211,115354,190049
1212,143583,179466
1213,125951,210056
1214,130844,197930
1215,125863,170385
1216,102172,199749
1217,129668,221340
1218,153546,142246
1219,123692,213438
1220,143643,159842
1221,122063,192787
1222,126833,174584
1223,122759,190300
1224,159793,126096
1225,116462,165005
1226,153244,128295
1227,142519,149564
1228,134658,122613
1301,138345,157340
1302,150405,138619
1303,116520,168564
1304,102100,173317
1305,125359,214192
1306,65057,216645
1307,103868,161220
1308,147320,134082
1309,117286,156453
1310,122704,163704
1311,93650,198002
1312,134494,134837
1313,129485,158298
1314,118771,160279
1501,100289,153332
1502,106737,129722
1601,145674,211172
1602,141469,195565
1701,140165,151195
1702,148077,143338
1703,114880,159359
1704,130493,133522
1705,99359,227132
1706,99768,185483
1707,142501,171846
1708,91820,181466
1709,108741,201694
1710,87975,182843
1711,85195,194008
1712,137353,166414
1713,127411,179327
1714,100842,169567
1715,129501,179503
1716,122677,183580
1717,133449,180338
1801,125581,166652
1802,117180,165573
1803,125010,172269
1804,107206,187440
1805,106791,191969
1806,122437,174675
1807,136888,170804
1808,133667,176744
1809,124383,175423
1901,125370,195687
1902,124936,204013
1903,116757,211567
1904,130416,191684
2001,120127,171328
2002,130778,159532
2003,82564,210134
2004,116047,168507
2101,151092,143129
2102,132612,160577
2103,145196,172428
2104,111657,176122
2105,187447,97917
2106,145749,161777
2201,142850,167842
2202,172087,132815
2203,144565,144201
2204,173651,124258
2205,166495,119453
2206,148615,146976
2301,95545,199417
2302,140598,158068
2401,115768,189559
2402,105230,196675
2403,76574,210815
2404,123991,148486
2405,80208,206622
2406,102099,192380
2407,167521,152833
2408,85784,201073
2501,151602,162620
2502,125089,173731
2503,122044,170775
2504,106967,193215
2505,106225,199183
2506,110991,193977
2507,146575,164597
2508,123583,183196
2509,123694,200692
2601,154769,184318
2602,134460,167369
2603,114817,183089
2604,123754,178628
2605,130875,174180
2606,99262,211799
2607,112024,198948
2608,158762,166027
2609,109267,197292
2610,133873,186110
2611,114694,215804
2612,162639,139814
2613,180506,118523
2701,105229,181365
2702,83548,189565
2703,78479,205220
2704,104324,176116
2705,122041,182709
2706,78796,186472
2707,115713,178124
2708,114719,178492
2801,141126,145845
2802,159804,119346
2803,136937,141090
2804,138841,146634
2901,151404,183914
2902,78235,229564
2903,96617,200581
2904,121508,177375
2905,126881,199793
2906,108152,186048
2907,138526,172572
2908,144301,153277
3001,92127,136656
3002,90684,129472
3101,86738,172641
3102,94044,168710
3103,100621,163250
3201,144952,145962
3202,123638,189665
3203,132495,180451
3204,130122,143941
3301,82017,195803
3302,87738,182467
3401,116157,179738
3402,126135,188331
3403,84235,208805
3404,102130,189121
3405,76755,209431
3406,97572,184806
3407,76182,220562
3408,145001,155563
3409,128778,144428
3410,142639,144461
3411,80103,211235
3412,92451,192828
3501,139620,157584
3502,155847,108076
3503,146682,126086
3601,72636,200642
3602,88124,161137
3603,84112,179436
3604,86487,163001
3605,143429,109525
3606,146061,130356
3607,143428,146479
3608,172739,111417
3609,169063,118037
3610,122017,179725
3611,126754,140033
3612,97618,260950
3613,194976,112500
3614,165861,105671
3615,210849,68402
3616,111648,176345
3617,85449,175968
3618,106589,181998
3619,142588,182694
3620,119399,208165
3621,141359,178436
3622,145973,173450
3623,136796,190581
3624,134812,183587
3625,137369,188580
3626,161894,176971
3701,155304,150302
3702,81941,213381
3703,142517,154869
3704,114934,187559
3705,150542,155907
3706,129912,167540
3707,138826,174861
3708,118803,158140
3709,137617,157026
3710,130934,169564
3711,135174,170535
3712,103855,178124
3713,106746,176622
3714,106000,211487
3800,109298,213209
3901,126416,203059
3902,143633,163240
3903,128347,200476
3904,115257,190502
3905,124086,195307
3906,150603,172096
3907,106729,218108
3908,114548,189333
3909,143848,188023
3910,139956,188553
3911,188508,163644
3912,125051,175927
3913,144908,188932
3914,128401,194857
3915,124561,195873
4001,143212,174732
4002,162723,143312
4003,149495,147758
4004,140437,165166
4005,129685,191462
4101,109386,184545
4102,143723,138453
4103,121909,161767
4104,143692,148636
4105,112896,169889
4106,113401,154182
4201,87336,206145
4202,177949,122027
4203,170516,159828
4204,89474,209803
4205,116582,178761
4206,97307,192561
4207,114654,181209
4208,138318,172536
4209,130827,175455
4210,111910,198337
4211,107709,186163
4212,138893,200354
4213,122989,178114
4214,137236,186687
4215,134338,161827
4216,131701,185321
4217,107669,218001
4401,96894,120080
4402,93148,130061
4501,107165,183752
4502,128672,165132
4503,131090,163909
4504,119654,172188
4505,128479,164435
4506,132708,157092
4507,142810,152644
4600,121432,235454
4701,159145,153196
4702,126736,190346
4703,132539,179681
4704,120162,168838
4705,97627,212444
4706,143388,175656
4707,122226,184205
4708,140351,159024
4709,158820,146106
4801,134019,147138
4802,97400,174437
4803,67817,210574
4804,97588,197776
4805,117356,148288
4806,108611,163789
4807,134933,181294
4808,103209,170961
4809,138305,141769
4810,114737,178321
4811,126062,166503
4812,104144,187422
4813,124030,168884
4814,119940,174790
4815,149893,101759
4816,149100,117811
4817,125685,162833
4818,139354,143258
4819,141602,153838
4820,145490,134802
4821,103948,206803
4822,94123,176301
4823,121183,142530
4824,83615,212305
4825,111158,171485
4826,73887,219279
4827,132792,152940
4828,139061,113509
4829,148063,104914
4830,134588,142238
