puma22,Num Eligible,Num Ineligible
0100100,34308,38181
0100200,12697,27626
0100300,24639,36157
0100401,15103,29067
0100402,22287,45027
0100403,15367,31526
0100501,19154,23245
0100600,24791,21429
0100700,25616,22539
0100800,25857,18774
0100900,26788,28107
0101000,25505,28720
0101100,27175,20880
0101201,12899,24781
0101202,27608,21521
0101301,21002,22178
0101401,19156,25963
0101402,22358,27865
0101403,46931,32900
0101404,22256,54450
0101501,15224,37935
0101502,18114,31978
0101600,29989,24206
0101700,22443,21528
0101801,23540,20921
0101802,22395,20303
0101901,16029,22020
0102000,23232,20672
0102101,23572,25873
0102201,21815,18576
0102300,30726,30407
0102400,19749,20009
0102500,25850,22289
0102600,29392,19035
0102701,16190,31967
0102702,15450,30502
0102801,25983,25102
0102802,25737,25879
0102803,34782,25475
0200101,19665,29850
0200102,18222,41781
0200200,28729,37539
0200300,22990,39573
0200400,17086,15834
0400101,24112,48825
0400102,21014,34781
0400103,23958,23665
0400104,19571,25904
0400105,14773,43765
0400106,17236,30518
0400107,11144,39160
0400108,15271,30087
0400109,19236,27587
0400110,14954,50313
0400111,11154,40023
0400112,10701,47471
0400113,11731,31191
0400114,19757,27835
0400115,22518,21544
0400116,21727,28948
0400117,17422,32844
0400118,25012,23407
0400119,22625,12808
0400120,11338,31497
0400121,27474,20651
0400122,20515,8121
0400123,23816,9791
0400124,24080,16016
0400125,23433,17957
0400126,18568,29988
0400127,18450,30166
0400128,15395,28009
0400129,13127,38817
0400130,24866,37303
0400131,14447,30896
0400132,15521,34596
0400133,19767,20423
0400134,19722,41539
0400135,10169,46607
0400400,23317,17919
0400500,29009,26327
0400601,28873,25174
0400602,26518,23107
0400701,22587,18697
0400803,20844,36819
0400805,17803,23189
0400807,25634,26280
0400900,34252,32826
0401000,38716,21247
0401101,22969,18765
0401901,21315,21739
0401902,22439,34028
0401903,14439,34730
0401904,11370,40194
0401905,13467,26514
0401906,26943,26763
0401907,30787,21760
0401908,27493,14085
0401909,23310,25359
0402502,27297,36846
0402503,20285,27357
0500101,22223,42178
0500102,14668,27967
0500201,24604,28724
0500202,18603,21716
0500300,36241,29470
0500400,27500,18310
0500500,23817,19664
0500600,36079,20933
0500700,28308,22745
0500800,23707,20017
0500900,35406,41112
0501000,30454,20509
0501100,44923,36159
0501200,30864,22175
0501300,37289,32689
0501400,24996,35459
0501501,41017,45106
0501502,37340,48226
0501600,34608,28190
0501700,27829,21262
0502800,18,25
0600101,16578,35398
0600111,20163,25242
0600112,11750,34091
0600113,22265,18268
0600114,27704,44103
0600115,13681,21694
0600116,14204,16967
0600117,10593,22384
0600118,11316,29303
0600119,9827,33972
0600120,9248,31959
0600121,9926,27949
0600122,13791,17186
0600123,19358,19778
0600300,35618,45829
0600700,40192,41161
0601100,25655,19211
0601301,23857,20649
0601305,8352,42928
0601308,19643,18755
0601309,13961,27719
