SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000490,213,0,1,1,1,0200101,150,0,150,0,0,0,0,0,0,150,0,150
2021HU0000568,207,0,0,0,0,0200200,38,0,0,0,0,0,38,0,0,38,38,0
2021HU0000670,501,0,0,1,0,0200102,101,0,0,0,0,0,101,0,0,101,101,0
2021HU0001421,215,1,1,1,1,0200200,98,0,0,0,0,0,98,0,0,98,98,0
2021HU0002633,501,0,0,0,0,0200200,31,0,0,0,0,0,31,0,31,0,31,0
2021HU0003655,147,0,0,1,0,0200200,26,26,0,0,0,0,0,0,26,26,26,26
2021HU0003887,248,0,0,0,0,0200200,109,109,0,0,0,0,109,109,0,0,0,0
2021HU0004338,501,0,0,0,0,0200200,86,0,0,0,0,0,86,0,86,86,86,0
2021HU0005187,501,0,0,0,0,0200400,79,79,0,0,0,0,79,0,0,0,0,0
2021HU0005469,501,0,0,0,0,0200200,138,0,0,0,0,0,138,0,0,138,0,0
2021HU0005493,501,0,0,0,0,0200400,335,335,0,0,0,0,335,0,0,0,0,0
2021HU0005496,77,0,0,1,0,0200200,110,110,0,110,0,0,110,0,110,110,0,0
2021HU0006029,501,0,0,0,0,0200101,235,0,235,0,0,0,0,0,235,0,0,0
2021HU0006462,37,0,0,0,0,0200200,48,0,0,0,0,0,48,0,0,48,48,0
2021HU0007825,492,0,0,0,0,0200400,26,26,26,0,26,0,26,0,26,0,0,0
2021HU0008172,430,0,0,1,0,0200102,163,163,0,0,0,0,163,0,0,0,0,0
2021HU0008555,394,0,0,0,0,0200102,145,0,0,0,0,0,145,0,0,145,0,0
2021HU0011231,402,0,0,0,0,0200200,49,0,0,0,0,0,49,0,49,49,49,0
2021HU0011935,501,0,0,0,0,0200102,163,0,0,0,0,0,163,0,0,0,0,0
2021HU0012540,225,0,0,0,0,0200300,23,0,0,0,0,0,23,0,0,0,23,0
2021HU0013058,501,0,0,0,0,0200101,105,0,0,0,0,0,105,0,0,0,0,0
2021HU0013912,277,0,0,0,0,0200300,82,0,0,0,0,0,82,0,82,0,0,0
2021HU0014561,287,0,0,0,0,0200200,248,0,0,0,0,0,248,0,0,248,0,0
2021HU0015388,501,0,0,0,0,0200200,87,0,0,0,0,0,87,0,0,0,0,0
2021HU0015623,501,0,0,1,0,0200200,93,0,0,0,0,0,93,0,0,0,0,0
2021HU0015631,465,0,0,0,0,0200102,91,0,91,0,0,0,91,0,0,0,0,0
2021HU0016011,71,1,1,1,1,0200200,71,0,0,0,0,0,71,0,0,0,71,71
2021HU0016052,501,0,0,1,0,0200200,52,0,0,0,0,0,52,0,0,52,0,0
2021HU0016426,501,0,0,0,0,0200102,161,0,0,0,0,0,161,161,0,161,0,0
2021HU0018234,176,0,0,1,0,0200400,42,42,0,0,0,0,42,0,0,0,0,0
2021HU0018272,79,1,1,1,1,0200400,43,43,43,0,0,0,0,0,0,0,0,0
2021HU0018418,501,0,0,0,0,0200200,66,0,0,0,0,0,66,0,66,0,0,0
2021HU0019809,36,0,0,1,0,0200400,18,18,0,0,0,0,0,0,0,18,0,0
2021HU0020281,162,0,0,1,1,0200101,627,0,0,627,0,0,627,0,0,0,0,0
2021HU0020293,501,0,0,0,0,0200400,23,0,0,0,0,0,23,0,0,0,0,0
2021HU0021329,501,0,0,0,0,0200200,40,0,0,0,0,0,40,0,0,40,0,0
2021HU0021442,253,0,0,1,0,0200400,13,13,0,0,0,0,13,0,13,0,0,0
2021HU0021575,499,0,0,0,0,0200101,138,0,0,0,0,0,138,138,0,138,0,0
2021HU0022081,501,0,0,0,0,0200102,98,0,0,0,0,0,0,98,98,0,98,98
2021HU0022094,501,0,0,1,0,0200101,65,0,65,0,0,0,0,0,0,0,65,0
2021HU0022226,501,0,0,1,0,0200102,142,0,0,0,0,0,142,0,142,0,0,0
2021HU0022627,157,0,0,0,0,0200400,14,0,0,0,0,0,14,14,14,0,0,0
2021HU0022652,370,0,0,0,0,0200400,93,0,0,0,0,0,93,0,93,93,0,0
2021HU0022814,95,1,1,1,0,0200200,41,0,0,0,0,0,41,0,0,41,41,0
