cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
0101,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,1425
0101,0,0,0,0,0,0,0,0,0,0,91,0,0,0,91,0,91
0101,0,0,0,0,0,0,0,0,0,0,298,0,0,298,0,0,298
0101,0,0,0,0,0,0,0,0,0,0,96,0,0,96,96,0,96
0101,0,0,0,0,0,0,0,0,0,0,71,0,71,71,71,0,71
0101,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,460
0101,0,0,0,0,0,0,0,288,0,0,0,0,0,288,288,0,288
0101,0,0,0,0,0,0,0,153,0,0,0,0,153,0,0,0,153
0101,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
0101,0,0,0,0,0,55,0,0,0,0,55,0,0,55,55,0,55
0101,0,0,0,0,1,0,0,0,0,0,120,0,0,0,0,0,120
0101,0,0,0,0,1,0,0,0,0,0,37,0,37,0,0,0,37
0101,0,0,0,0,1,0,0,429,0,0,0,0,0,0,0,0,429
0101,0,0,0,0,1,0,0,74,0,0,0,0,0,0,74,0,74
0101,0,0,0,0,1,0,0,38,0,0,0,0,0,38,0,0,38
0101,0,0,0,0,1,0,0,37,0,0,0,0,0,37,37,0,37
0101,0,0,0,0,1,0,0,160,0,0,0,0,160,0,0,0,160
0101,0,0,0,1,0,0,0,0,0,0,583,0,0,0,0,0,583
0101,0,0,0,1,0,0,0,0,0,0,88,0,0,0,88,0,88
0101,0,0,0,1,0,0,0,0,0,0,32,0,0,32,0,0,32
0101,0,0,0,1,0,0,0,0,0,0,84,0,0,84,84,0,84
0101,0,0,0,1,0,0,0,0,0,0,61,61,61,61,61,61,61
0101,0,0,0,1,0,0,0,148,0,0,0,0,0,0,0,0,148
0101,0,0,0,1,0,0,0,3,0,0,3,0,0,3,3,0,3
0101,0,0,0,1,0,4,0,0,0,0,0,0,0,4,4,0,4
0101,0,0,0,1,1,0,0,0,0,0,206,0,0,0,0,0,206
0101,0,0,0,1,1,0,0,0,0,0,62,0,0,0,62,0,62
0101,0,0,0,1,1,0,0,0,0,0,170,0,170,170,170,0,170
0101,0,0,0,1,1,0,0,677,0,0,0,0,0,0,0,0,677
0101,0,0,0,1,1,0,0,111,0,0,0,0,0,0,111,0,111
0101,0,0,0,1,1,0,0,287,0,0,0,0,0,287,0,0,287
0101,0,0,0,1,1,0,0,15,0,0,0,0,0,15,15,0,15
0101,0,0,0,1,1,0,0,20,0,0,20,0,0,0,0,0,20
0101,0,0,0,1,1,0,0,77,0,0,77,0,0,77,0,0,77
0101,0,1,0,1,1,0,0,33,0,0,0,0,0,0,0,0,33
0101,1,0,0,1,1,0,0,64,0,0,0,0,0,0,64,0,64
0101,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,26
0101,2,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0,60
0101,2,0,0,1,1,0,0,396,0,0,0,0,0,0,0,0,396
0101,3,0,0,0,0,0,0,173,0,0,0,0,0,0,173,0,173
0101,3,0,0,1,0,0,0,0,0,0,63,0,0,0,63,0,63
0101,5,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,62
0101,5,0,0,1,1,0,0,229,0,0,0,0,0,0,0,0,229
0101,6,0,0,0,1,0,118,118,0,0,0,0,0,0,0,0,118
0101,6,0,0,1,1,0,0,158,0,0,0,0,0,0,0,0,158
0101,6,0,0,1,1,0,0,48,0,0,0,0,0,0,48,0,48
0101,7,0,0,0,0,0,0,0,0,0,310,0,0,310,0,0,310
0101,7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,26
0101,7,0,0,0,0,44,0,0,0,0,44,0,0,0,0,0,44
0101,7,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,23
0101,7,0,0,1,0,0,0,335,0,0,0,0,0,0,0,0,335
0101,7,0,0,1,1,0,0,292,0,0,0,0,0,292,292,0,292
0101,8,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,50
0101,8,0,0,1,0,0,0,27,0,0,0,0,0,0,27,0,27
0101,8,0,0,1,1,0,0,161,0,0,0,0,0,0,0,0,161
0101,9,0,0,1,1,0,0,73,0,0,0,0,0,0,73,0,73
0101,10,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41
0101,10,0,0,0,0,0,0,11,0,0,0,0,0,11,11,0,11
0101,10,0,0,0,0,0,129,129,0,0,0,0,0,0,0,0,129
0101,10,0,0,0,1,0,0,0,0,0,225,0,0,0,0,0,225
0101,10,0,0,1,1,0,0,114,0,0,0,0,0,0,114,0,114
0101,11,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,257
0101,11,0,0,0,0,0,0,0,0,0,148,0,0,148,0,0,148
0101,11,0,0,0,0,0,0,118,0,0,0,0,0,118,0,0,118
0101,11,0,0,0,0,0,105,0,0,0,105,0,105,0,0,0,105
0101,11,0,0,0,1,0,0,46,0,0,0,0,0,46,46,0,46
0101,11,0,0,1,1,0,0,191,0,0,191,0,0,0,0,0,191
0101,11,0,0,1,1,0,0,87,0,87,87,0,0,0,87,0,87
0101,11,0,1,1,0,0,0,0,0,0,37,0,0,37,37,0,37
0101,11,0,1,1,1,0,0,0,0,0,59,0,0,59,59,0,59
0101,12,0,0,0,0,0,0,0,0,0,24,0,0,24,24,0,24
0101,12,0,0,0,0,0,0,116,0,0,0,0,0,116,116,0,116
0101,12,0,0,0,1,0,0,0,0,0,48,0,48,48,48,0,48
0101,14,0,0,0,0,0,0,0,0,0,93,0,0,93,93,0,93
0101,14,0,0,0,0,52,0,0,0,0,52,0,0,52,52,0,52
0101,15,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64
0101,15,0,0,0,0,0,0,0,0,0,155,0,155,155,155,0,155
0101,16,0,0,0,0,0,0,0,0,0,395,0,0,395,0,0,395
0101,16,0,0,0,0,0,0,0,0,0,88,0,88,88,0,0,88
0101,16,0,0,0,0,0,0,69,0,0,0,0,0,69,0,0,69
0101,16,0,0,0,0,140,0,0,0,0,140,0,140,140,0,0,140
0101,16,0,0,1,0,0,0,64,0,0,0,0,64,64,64,0,64
0101,16,0,0,1,0,0,74,0,0,0,74,0,0,0,0,0,74
0101,16,0,0,1,1,0,0,70,0,0,0,0,0,0,0,0,70
0101,17,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72
0101,17,0,0,0,1,0,0,0,0,0,22,0,0,0,22,0,22
0101,17,0,0,0,1,0,0,43,0,0,0,0,0,0,43,0,43
0101,17,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,60
0101,17,1,0,1,1,0,0,54,0,0,0,0,0,0,0,0,54
0101,18,0,0,1,1,0,0,85,0,0,0,0,0,0,0,0,85
0101,19,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108
0101,19,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,170
0101,20,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72
0101,20,0,1,1,0,0,0,0,0,0,214,0,0,0,214,0,214
0101,20,1,0,0,1,0,0,0,0,0,0,211,0,211,0,0,211
0101,20,1,0,1,0,0,0,83,0,0,0,0,0,0,0,0,83
0101,21,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,343
0101,21,0,0,0,1,0,0,67,0,0,0,0,0,67,0,0,67
0101,21,0,0,1,1,0,0,188,0,0,0,0,0,0,0,0,188
0101,22,0,0,1,1,0,0,0,0,0,413,0,0,0,0,0,413
0101,23,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,89
0101,23,0,0,0,0,0,118,0,0,0,0,0,0,0,0,118,118
0101,23,0,0,0,1,0,0,0,0,0,59,0,0,59,0,0,59
0101,24,0,0,0,0,0,0,0,0,0,128,0,128,128,0,0,128
0101,25,0,0,0,0,0,0,0,0,0,119,0,0,119,119,0,119
0101,26,0,0,0,0,0,0,0,0,0,290,0,0,290,290,0,290
0101,26,0,0,1,0,0,0,0,0,0,40,40,0,0,40,0,40
0101,26,1,0,0,1,0,0,0,0,0,38,0,0,38,38,0,38
0101,27,0,0,0,0,0,0,66,0,0,0,0,0,66,0,0,66
0101,27,0,0,1,0,0,58,0,0,0,0,0,0,0,0,58,58
0101,27,0,1,1,1,0,0,32,0,0,0,0,0,0,0,0,32
0101,28,0,0,0,0,0,0,0,0,0,24,0,0,24,24,0,24
0101,29,0,0,0,0,0,0,0,0,0,108,0,0,0,108,0,108
0101,29,0,0,0,0,0,0,41,0,0,0,0,0,41,0,0,41
0101,29,0,0,0,0,0,0,54,0,0,54,0,0,0,0,0,54
0101,29,0,0,0,1,0,0,98,0,0,0,0,0,0,0,0,98
0101,29,0,0,1,1,0,69,69,0,0,0,69,0,0,0,0,69
0101,30,0,1,1,1,0,0,56,0,0,0,0,0,0,0,0,56
0101,31,0,1,1,1,101,0,0,0,0,101,0,0,101,101,0,101
0101,32,0,0,1,1,0,0,184,0,0,184,0,0,0,0,0,184
0101,32,0,1,1,0,86,0,0,0,0,86,0,0,0,0,0,86
0101,33,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
0101,33,0,0,0,0,0,0,0,0,0,122,0,122,122,0,0,122
0101,33,0,0,1,0,0,0,0,0,0,104,0,0,0,0,0,104
0101,33,0,0,1,1,0,0,0,0,0,36,0,0,0,36,0,36
0101,33,0,1,1,1,0,0,37,0,0,0,0,0,37,0,0,37
0101,34,0,0,0,0,0,0,0,0,0,66,0,66,66,66,0,66
0101,34,0,0,0,1,0,0,0,0,0,31,0,0,0,31,0,31
0101,34,0,0,1,1,0,0,186,0,0,0,0,0,0,0,0,186
0101,34,0,1,1,0,0,0,7,0,0,0,0,0,7,0,0,7
0101,35,0,0,0,0,0,0,58,0,0,0,0,0,58,0,0,58
0101,35,0,0,1,1,0,0,151,0,0,0,0,0,0,0,0,151
0101,35,0,1,1,0,0,0,0,0,0,6,0,6,6,6,0,6
0101,36,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53
0101,36,0,1,1,1,0,0,4,0,0,0,0,0,0,4,0,4
0101,37,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45
0101,37,0,0,1,1,0,0,164,0,0,0,0,0,0,0,0,164
0101,37,0,0,1,1,0,195,0,0,0,0,0,0,0,195,0,195
0101,38,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,230
0101,38,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21
0101,38,0,0,1,0,0,0,0,0,0,85,0,0,85,85,0,85
0101,38,0,0,1,1,0,0,0,0,0,56,0,0,0,0,0,56
0101,38,0,0,1,1,0,0,321,0,0,0,0,0,0,0,0,321
0101,39,0,0,0,1,0,0,34,0,0,0,0,0,34,34,0,34
0101,39,0,0,1,0,0,0,0,0,0,55,0,0,55,55,0,55
0101,39,0,1,1,1,0,0,0,0,0,38,0,0,0,38,0,38
0101,39,0,1,1,1,0,0,32,0,0,0,0,0,32,32,0,32
0101,40,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,14
0101,40,0,1,1,1,0,0,0,0,0,83,0,0,0,83,0,83
0101,41,0,1,1,0,0,0,189,0,0,0,0,0,189,189,0,189
0101,42,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,192
0101,43,0,0,0,0,0,56,0,0,0,56,0,0,0,0,0,56
0101,43,0,0,0,1,0,0,78,0,0,78,0,0,0,0,0,78
0101,44,0,0,0,1,0,0,0,0,0,246,0,0,0,246,0,246
0101,44,0,0,1,1,0,0,0,0,0,52,0,0,0,0,0,52
0101,44,0,0,1,1,0,0,542,0,0,0,0,0,0,0,0,542
0101,45,0,0,0,0,0,0,0,0,0,135,0,0,135,135,0,135
0101,45,0,0,1,1,0,0,166,0,0,0,0,0,0,166,0,166
0101,45,0,1,1,1,0,0,0,0,0,317,0,0,0,317,0,317
0101,46,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,15
0101,46,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,135
0101,46,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,43
0101,46,0,0,1,1,0,0,0,0,0,60,0,0,60,0,0,60
0101,46,0,0,1,1,0,0,38,0,0,0,0,0,38,0,38,38
0101,46,0,0,1,1,0,0,33,0,0,0,0,0,33,33,0,33
0101,46,0,0,1,1,0,0,115,0,0,115,0,0,0,0,0,115
0101,46,0,1,1,1,0,0,28,0,0,0,28,0,28,28,0,28
0101,47,0,0,0,0,0,0,0,0,0,20,0,0,20,20,0,20
0101,47,0,0,0,0,0,0,79,0,0,0,0,0,79,79,0,79
0101,47,0,0,0,1,0,0,84,0,0,0,84,0,84,84,0,84
0101,47,0,0,1,1,0,0,157,0,0,0,0,0,0,0,0,157
0101,48,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,36
0101,48,0,1,1,0,0,0,0,0,0,138,138,0,0,138,0,138
0101,48,0,1,1,0,0,0,38,0,0,0,0,38,0,38,0,38
0101,49,0,0,0,0,0,0,0,0,0,29,0,0,29,29,0,29
0101,49,0,0,1,0,0,0,48,0,0,0,0,0,48,48,0,48
0101,49,1,1,1,1,0,0,32,0,0,0,0,0,0,32,0,32
0101,51,0,0,0,0,0,0,46,0,0,0,0,0,46,0,0,46
0101,51,0,0,0,1,0,0,245,0,0,0,0,0,0,0,0,245
0101,51,0,0,1,1,0,0,32,0,0,0,0,32,32,32,0,32
0101,53,0,0,0,0,0,0,0,0,0,74,0,0,74,74,0,74
0101,54,0,1,1,1,0,0,0,0,0,14,0,0,0,14,0,14
0101,54,1,1,1,1,0,0,0,0,0,21,0,0,0,21,0,21
0101,56,0,0,1,0,0,0,0,0,0,315,315,0,315,0,315,315
0101,57,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,128
0101,57,0,0,0,0,0,0,0,0,0,57,0,0,57,57,0,57
0101,57,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,43
0101,57,0,0,0,0,0,0,31,0,0,0,0,0,31,31,0,31
0101,57,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,56
0101,57,0,0,1,0,0,0,41,0,0,0,0,41,41,41,0,41
0101,58,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53
0101,58,0,0,1,0,0,0,38,0,0,0,0,38,38,0,0,38
0101,58,0,0,1,1,0,0,29,0,0,0,0,0,29,0,0,29
0101,59,0,0,1,1,0,0,113,0,0,113,0,0,0,0,0,113
0101,59,0,1,1,1,0,0,44,0,0,0,0,44,0,44,0,44
0101,60,0,0,0,1,0,50,0,0,0,0,0,0,50,0,50,50
0101,60,0,0,1,1,0,0,274,0,0,0,0,0,0,0,0,274
0101,60,0,1,1,1,0,0,50,0,0,0,0,0,0,0,0,50
0101,60,0,1,1,1,0,0,120,0,0,0,0,0,0,120,0,120
0101,60,0,1,1,1,0,0,21,0,0,0,0,0,21,21,0,21
0101,60,1,0,0,0,0,0,0,0,0,61,0,61,61,61,0,61
0101,61,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,54
0101,61,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,30
0101,62,0,0,1,0,0,0,0,0,0,158,0,0,158,158,0,158
0101,62,0,0,1,1,0,0,223,0,0,0,0,0,223,0,0,223
0101,62,0,1,1,0,0,0,102,0,0,0,0,0,0,102,0,102
0101,62,0,1,1,1,0,0,81,0,0,0,0,0,0,0,0,81
0101,63,0,0,0,0,0,0,0,0,0,0,345,0,0,0,345,345
0101,64,0,0,0,1,0,0,0,0,0,98,0,0,98,0,0,98
0101,64,0,0,0,1,0,0,136,0,0,0,0,0,136,136,0,136
0101,64,0,0,1,0,0,0,0,0,0,63,0,0,0,0,0,63
0101,64,0,0,1,0,0,0,47,0,0,0,0,0,0,0,0,47
0101,64,0,0,1,1,0,0,159,0,0,0,0,0,0,0,0,159
0101,64,0,1,1,0,0,0,47,0,0,0,0,47,0,0,0,47
0101,64,0,1,1,1,0,0,91,0,0,0,0,0,0,91,0,91
0101,65,0,0,0,0,0,0,0,0,0,37,0,0,37,37,0,37
0101,66,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28
