state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54
04,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,0,85
04,0,0,0,0,0,0,0,0,0,0,0,0,332,0,332,0,332
04,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,444
04,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,295,295
04,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,0,54
04,0,0,0,0,0,0,0,0,0,0,0,101,0,0,101,101,101
04,0,0,0,0,0,0,0,0,0,0,0,342,0,342,0,0,342
04,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,71,71
04,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,0,38
04,0,0,0,0,0,0,0,0,0,0,5553,0,0,0,0,0,5553
04,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,51
04,0,0,0,0,0,0,0,0,0,0,360,0,0,0,360,0,360
04,0,0,0,0,0,0,0,0,0,0,4630,0,0,4630,0,0,4630
04,0,0,0,0,0,0,0,0,0,0,282,0,0,282,0,282,282
04,0,0,0,0,0,0,0,0,0,0,1225,0,0,1225,1225,0,1225
04,0,0,0,0,0,0,0,0,0,0,170,0,0,170,170,170,170
04,0,0,0,0,0,0,0,0,0,0,267,0,267,0,0,0,267
04,0,0,0,0,0,0,0,0,0,0,143,0,143,0,0,143,143
04,0,0,0,0,0,0,0,0,0,0,277,0,277,0,277,0,277
04,0,0,0,0,0,0,0,0,0,0,169,0,169,169,0,0,169
04,0,0,0,0,0,0,0,0,0,0,1162,0,1162,1162,1162,0,1162
04,0,0,0,0,0,0,0,0,0,0,1212,1212,0,0,0,0,1212
04,0,0,0,0,0,0,0,0,0,0,407,407,0,0,0,407,407
04,0,0,0,0,0,0,0,0,0,0,367,367,0,0,367,0,367
04,0,0,0,0,0,0,0,0,0,0,158,158,0,0,158,158,158
04,0,0,0,0,0,0,0,0,0,0,67,67,0,67,0,0,67
04,0,0,0,0,0,0,0,0,0,0,213,213,0,213,0,213,213
04,0,0,0,0,0,0,0,0,0,0,80,80,80,0,0,0,80
04,0,0,0,0,0,0,0,0,0,0,66,66,66,66,66,0,66
04,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,356
04,0,0,0,0,0,0,0,0,95,0,95,95,0,95,0,0,95
04,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,363
