SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000091,330,0,0,1,0,0400130,48,0,0,0,0,0,48,0,48,48,48,0
2021HU0000170,97,0,1,1,0,0400300,41,41,0,0,0,0,0,0,0,41,41,41
2021HU0000222,160,0,0,1,1,0400105,57,0,0,0,0,0,57,0,0,0,57,0
2021HU0000276,2,0,0,0,0,0400109,77,0,0,0,0,0,77,0,0,77,77,0
2021HU0000286,163,0,0,0,1,0400700,334,0,0,0,0,0,334,334,0,0,334,334
2021HU0000326,501,0,0,0,0,0400107,179,179,0,0,0,0,179,0,179,0,0,0
2021HU0000428,501,0,0,0,0,0400900,73,0,73,0,0,0,73,0,73,73,73,0
2021HU0000431,501,0,1,1,0,0400805,75,0,0,0,0,0,75,0,75,75,75,0
2021HU0000524,161,0,0,1,0,0400803,132,0,0,0,0,0,132,0,0,0,0,0
2021HU0000553,501,0,0,0,0,0400104,54,0,0,0,0,0,54,0,0,54,0,0
2021HU0000611,317,0,0,0,0,0400102,56,0,0,0,0,0,56,0,0,56,56,0
2021HU0000617,44,0,0,0,0,0400111,94,0,0,0,0,0,94,0,0,94,0,0
2021HU0000631,501,0,0,0,0,0400803,298,0,0,0,0,0,298,0,0,298,298,0
2021HU0000674,501,0,0,0,0,0400203,54,0,0,0,0,0,54,0,0,54,54,0
2021HU0000680,301,0,0,1,1,0400400,43,43,0,0,0,0,0,43,0,0,43,0
2021HU0000689,408,0,0,1,1,0400122,72,0,0,0,0,0,72,72,0,0,72,72
2021HU0000744,422,0,0,0,0,0400112,55,0,0,0,0,0,55,0,0,55,0,0
2021HU0000788,501,0,0,0,0,0400111,57,0,0,0,0,0,57,0,0,57,57,0
2021HU0000896,501,0,0,0,0,0400204,43,0,0,0,0,0,43,0,0,43,0,0
2021HU0000929,501,0,0,0,0,0400202,140,0,0,0,0,0,140,0,0,140,0,0
2021HU0000990,46,0,1,1,1,0400119,50,0,0,0,0,0,50,50,0,50,50,0
2021HU0001098,384,0,0,0,0,0400116,53,0,0,0,0,0,53,0,0,0,0,0
2021HU0001115,253,0,0,0,0,0400500,90,0,0,0,0,0,90,0,90,90,0,0
2021HU0001196,292,0,0,0,0,0400208,64,0,0,0,0,0,0,64,0,64,0,0
2021HU0001208,501,0,1,1,0,0400124,54,0,0,0,0,0,0,54,0,0,54,0
2021HU0001222,60,0,0,1,0,0400207,126,0,0,0,0,0,126,0,0,0,0,0
2021HU0001256,501,0,0,0,0,0400120,42,0,0,42,0,0,42,0,0,42,0,0
2021HU0001282,307,0,0,0,0,0400131,85,0,0,0,0,0,85,85,0,0,0,0
2021HU0001336,428,0,0,0,0,0400132,68,0,0,0,0,0,68,0,68,0,0,0
2021HU0001357,482,0,0,0,0,0400202,128,0,0,0,0,0,128,0,0,128,0,0
2021HU0001567,466,0,0,0,0,0400104,47,0,0,0,0,0,47,47,0,0,0,47
2021HU0001588,180,0,0,0,0,0400122,109,0,0,0,0,0,0,109,0,0,0,0
2021HU0001594,23,0,0,1,1,0400400,14,14,0,0,0,0,0,0,0,0,0,14
2021HU0001694,501,0,0,0,0,0400132,84,0,0,0,0,0,84,0,84,84,0,0
2021HU0001708,112,0,0,0,0,0400300,29,29,0,0,0,0,0,0,0,29,29,29
2021HU0001757,162,0,0,0,0,0400133,208,0,0,0,0,0,208,208,0,208,208,208
2021HU0001771,399,0,0,0,0,0400700,75,0,0,0,0,0,75,0,0,75,0,0
2021HU0001873,345,0,0,0,0,0400102,53,0,0,0,0,0,53,0,0,53,0,0
2021HU0001914,163,0,0,0,0,0400126,78,78,0,0,0,0,78,0,0,0,78,0
2021HU0001952,122,0,0,1,0,0400207,312,0,0,0,0,0,312,312,0,0,312,0
2021HU0001975,196,0,0,0,0,0400500,60,0,0,0,0,0,60,0,0,60,60,0
2021HU0002022,501,0,0,0,0,0400100,163,0,0,0,0,0,163,0,0,0,0,0
2021HU0002054,501,0,0,0,0,0400203,53,0,0,0,0,0,53,0,0,53,0,0
2021HU0002072,416,0,0,1,0,0400131,48,0,0,0,0,0,48,48,0,48,48,48
2021HU0002129,501,0,0,0,0,0400500,83,0,0,0,0,0,83,0,0,83,0,0
2021HU0002147,193,0,0,1,0,0400204,71,0,0,0,0,0,71,0,0,71,0,0
2021HU0002161,272,0,0,0,0,0400205,53,0,0,0,0,0,53,0,53,0,0,0
2021HU0002180,78,0,1,1,0,0400110,88,0,0,0,0,0,88,0,0,88,0,0
2021HU0002233,364,0,0,0,0,0400126,106,0,0,0,0,0,106,0,0,0,0,0
2021HU0002245,124,0,0,1,1,0400119,172,0,0,0,0,0,172,172,172,172,172,172
2021HU0002266,185,0,0,0,0,0400101,204,0,0,0,0,0,204,204,0,0,0,204
2021HU0002296,242,0,0,0,0,0400116,177,0,0,0,0,0,0,177,0,0,0,0
2021HU0002355,501,0,0,0,0,0400117,42,0,0,0,0,0,42,42,0,42,0,0
2021HU0002376,95,0,1,1,0,0400131,95,0,0,95,0,0,0,0,95,95,95,0
2021HU0002415,70,0,0,0,0,0400128,114,0,0,0,0,0,114,0,0,0,0,0
2021HU0002498,74,0,0,0,0,0400115,284,0,0,0,0,0,284,0,0,284,0,0
2021HU0002503,133,0,0,1,1,0400208,271,0,0,0,0,0,271,271,0,0,0,0
2021HU0002522,102,1,1,1,0,0400120,73,0,0,73,0,0,73,0,0,73,73,0
2021HU0002565,206,0,0,0,0,0400900,21,0,0,0,0,0,21,0,0,21,21,0
2021HU0002586,0,0,0,0,0,0400807,60,0,0,60,0,0,0,0,0,60,0,0
2021HU0002627,501,0,0,0,0,0400203,51,0,0,0,0,0,51,0,0,0,0,0
2021HU0002667,186,0,0,0,0,0400201,26,26,0,0,0,0,26,0,0,26,26,0
2021HU0002707,501,0,0,0,0,0400204,140,0,0,0,0,0,140,0,0,0,0,0
2021HU0002739,368,0,0,0,0,0400208,80,0,0,0,0,0,0,80,0,0,0,0
2021HU0002790,501,0,0,0,0,0400109,169,0,0,0,0,0,169,0,0,0,0,0
2021HU0002801,261,0,0,0,0,0400800,70,0,0,0,0,0,70,0,0,70,70,0
2021HU0002806,239,0,0,0,0,0400600,165,0,0,0,0,0,165,165,0,0,0,0
2021HU0003015,0,0,0,1,0,0400117,148,0,0,0,0,0,0,148,0,148,0,0
2021HU0003091,448,0,0,0,0,0400113,51,0,0,0,0,0,51,0,0,51,0,0
2021HU0003184,463,0,0,0,0,0400131,326,0,0,0,0,0,326,0,0,0,0,0
2021HU0003220,20,0,0,0,0,0400800,43,43,0,0,0,0,43,0,0,43,43,0
2021HU0003299,80,0,0,1,1,0400118,47,0,0,0,0,0,47,47,0,0,47,0
2021HU0003334,501,0,0,0,0,0400101,93,0,0,0,0,0,93,0,0,0,0,0
2021HU0003341,297,0,0,0,0,0400121,179,0,0,0,0,0,0,179,0,0,0,0
2021HU0003390,501,0,0,0,0,0400113,55,0,0,0,0,0,55,0,0,55,55,0
2021HU0003393,107,0,0,0,0,0400206,62,0,62,0,0,0,0,0,0,0,62,62
2021HU0003430,288,0,0,0,0,0400108,140,0,0,0,0,0,140,140,0,0,0,0
2021HU0003487,501,0,0,0,0,0400117,118,0,0,0,0,0,118,0,0,0,0,0
2021HU0003586,501,0,0,0,0,0400128,30,0,0,0,0,0,30,0,0,30,30,0
2021HU0003626,501,0,0,0,0,0400500,41,0,0,0,0,0,41,0,0,41,0,0
2021HU0003649,298,0,0,0,0,0400208,53,0,53,0,0,0,53,53,0,0,53,53
2021HU0003701,34,0,0,1,1,0400300,84,84,0,0,0,0,0,0,0,0,0,0
2021HU0003709,501,0,0,0,0,0400119,50,0,50,0,0,0,0,0,0,50,50,0
2021HU0003720,277,0,0,0,0,0400805,166,0,0,0,0,0,166,166,0,166,166,166
2021HU0003779,68,0,0,1,0,0400600,50,50,0,0,0,0,50,0,0,50,50,0
2021HU0003800,501,0,0,0,0,0400107,154,0,0,0,0,0,154,0,0,0,0,0
2021HU0003804,185,0,0,1,0,0400104,52,0,0,0,0,0,0,52,0,0,0,52
2021HU0003837,320,0,0,1,0,0400103,86,0,0,0,0,0,0,86,0,0,86,86
2021HU0003875,183,0,0,0,0,0400107,51,0,0,0,0,0,51,0,51,51,51,0
2021HU0003880,492,0,0,0,0,0400800,260,0,0,0,0,0,260,0,0,260,0,0
2021HU0003891,222,0,0,1,0,0400114,101,0,0,0,0,0,0,101,0,0,0,101
2021HU0003960,260,0,0,1,0,0400202,136,0,0,0,0,0,136,0,0,136,0,0
