county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
09001,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,879
09001,0,0,0,0,0,0,0,0,0,0,698,0,0,698,0,0,698
09001,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,0,9
09001,0,0,0,0,0,0,0,0,0,0,259,259,0,0,0,0,259
09001,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,92
09001,0,0,0,0,0,0,0,23,0,0,23,0,0,23,23,0,23
09001,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
09001,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,12
09001,0,0,0,0,0,6,0,6,0,0,6,6,6,0,6,0,6
09001,0,0,0,0,1,0,0,0,0,0,40,0,0,40,0,0,40
09001,0,0,0,1,0,0,0,0,0,0,0,499,0,0,0,499,499
09001,0,0,0,1,0,0,0,0,0,0,810,0,0,0,0,0,810
09001,0,0,0,1,0,0,0,0,0,0,61,0,0,0,0,61,61
09001,0,0,0,1,0,0,0,0,0,0,12,0,0,0,12,0,12
09001,0,0,0,1,0,0,0,0,0,0,23,0,0,23,0,0,23
09001,0,0,0,1,0,0,0,0,0,0,55,0,0,55,55,0,55
09001,0,0,0,1,0,0,0,0,0,0,57,0,57,0,0,0,57
09001,0,0,0,1,0,0,0,231,0,0,0,0,0,0,0,0,231
09001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,139,139
09001,0,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,14
09001,0,0,0,1,1,0,0,0,0,0,0,242,0,0,242,0,242
09001,0,0,0,1,1,0,0,0,0,0,24,0,0,0,0,0,24
09001,0,0,0,1,1,0,0,0,0,0,319,0,0,0,319,0,319
09001,0,0,0,1,1,0,0,0,0,0,69,0,0,69,0,0,69
09001,0,0,0,1,1,0,0,0,0,0,107,0,0,107,107,0,107
09001,0,0,0,1,1,0,0,0,0,0,59,0,0,59,59,59,59
09001,0,0,0,1,1,0,0,0,0,0,269,269,0,0,0,0,269
09001,0,0,0,1,1,0,0,0,0,0,82,82,0,0,82,82,82
09001,0,0,0,1,1,0,0,0,0,0,106,106,0,106,106,106,106
09001,0,0,0,1,1,0,0,77,0,0,0,0,0,0,0,0,77
09001,0,0,0,1,1,0,0,74,0,0,0,0,0,0,74,0,74
09001,0,0,0,1,1,0,0,103,0,0,103,103,0,0,103,103,103
09001,0,0,0,1,1,0,5,0,0,0,0,5,0,0,0,0,5
09001,0,0,1,1,1,107,0,0,0,0,0,107,0,107,107,107,107
09001,1,1,0,1,0,0,0,179,0,0,0,0,0,0,0,0,179
09001,2,0,0,0,0,0,0,0,0,0,44,0,0,0,44,0,44
09001,2,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50
09001,2,0,0,1,1,0,0,144,0,0,0,144,0,0,0,0,144
09001,2,1,0,1,1,0,0,89,0,0,0,89,0,0,0,0,89
09001,3,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8
09001,3,0,0,0,0,0,0,0,0,0,182,182,0,0,182,182,182
09001,4,0,0,0,0,0,0,0,0,0,119,119,0,0,0,0,119
09001,4,0,0,1,1,0,0,0,0,0,0,164,0,0,164,164,164
09001,5,1,0,1,1,0,0,159,0,0,0,159,0,0,0,0,159
09001,6,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50
09001,6,0,0,1,0,0,0,0,0,0,0,268,0,0,0,268,268
09001,6,0,0,1,0,0,0,37,0,0,0,0,0,37,0,0,37
09001,6,0,0,1,1,0,0,0,0,0,0,252,0,0,252,252,252
09001,7,0,0,0,0,0,0,0,0,0,156,156,0,0,0,0,156
09001,7,0,0,1,0,0,0,0,0,0,0,86,0,0,0,86,86
09001,7,0,0,1,0,0,0,0,0,0,205,0,0,0,0,0,205
09001,8,0,0,0,0,0,0,0,0,0,86,0,0,86,0,0,86
09001,8,0,0,0,0,46,0,46,0,0,46,0,0,0,46,0,46
09001,8,0,0,1,0,120,0,120,0,0,120,120,0,0,120,120,120
09001,8,0,0,1,1,0,0,0,0,0,113,113,0,113,113,113,113
09001,9,0,0,0,0,0,0,212,0,0,0,0,0,212,0,0,212
09001,9,0,0,1,1,0,0,0,0,0,30,0,0,30,0,0,30
09001,9,0,0,1,1,0,0,0,0,0,11,0,0,11,11,0,11
09001,10,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33
09001,10,0,0,0,0,0,0,0,0,0,8,0,8,8,8,0,8
09001,10,0,0,1,0,24,0,0,0,0,24,0,0,24,24,0,24
09001,10,0,0,1,1,0,0,0,0,0,7,0,0,7,0,0,7
09001,10,0,0,1,1,0,0,0,0,0,8,8,0,0,8,8,8
09001,11,0,0,0,0,0,0,0,0,0,0,146,0,146,0,0,146
09001,11,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,94
09001,11,0,0,1,0,0,0,0,0,0,25,0,0,25,25,0,25
09001,11,0,0,1,1,0,0,0,0,0,59,0,0,59,59,0,59
09001,11,0,0,1,1,0,0,309,0,0,0,0,0,309,0,0,309
09001,11,0,0,1,1,0,0,196,0,0,0,0,0,196,196,196,196
09001,11,0,1,1,0,0,0,0,0,0,78,0,78,78,78,0,78
09001,12,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5
09001,12,0,0,0,0,0,0,0,0,0,54,0,0,54,54,0,54
09001,12,0,0,1,0,0,0,0,0,0,19,0,0,19,0,0,19
09001,12,0,0,1,1,0,0,0,0,0,40,0,0,40,0,0,40
09001,12,0,1,0,0,0,0,0,0,0,85,0,0,85,0,0,85
09001,12,1,0,1,1,0,0,266,0,0,0,0,0,0,0,0,266
09001,13,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,97
09001,13,0,0,0,0,0,0,66,0,0,0,0,0,66,66,0,66
09001,13,0,0,1,0,0,0,0,0,0,35,0,0,35,0,0,35
09001,13,0,0,1,1,0,0,0,0,0,160,0,0,160,160,0,160
09001,14,0,0,0,0,0,0,61,0,0,61,0,0,0,0,0,61
09001,14,0,0,1,0,0,0,0,0,0,0,277,0,0,0,277,277
09001,14,0,0,1,0,0,47,0,0,0,47,0,0,0,47,0,47
09001,14,0,0,1,1,0,0,0,0,0,147,0,0,147,147,0,147
09001,14,0,0,1,1,0,0,0,0,0,60,60,0,60,60,0,60
