county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
15001,0,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,38
15001,0,0,0,0,0,0,0,0,0,0,82,0,0,82,0,0,82
15001,0,0,0,0,0,0,0,0,0,0,232,0,0,232,232,0,232
15001,0,0,0,0,0,0,0,0,168,0,168,0,0,0,168,0,168
15001,0,0,0,0,0,0,192,0,0,0,0,0,0,192,0,0,192
15001,0,0,0,0,0,0,139,0,139,0,139,0,0,0,0,0,139
15001,0,0,0,0,1,0,0,0,0,0,106,0,0,0,0,0,106
15001,0,0,0,1,0,0,0,0,0,0,0,0,0,272,272,0,272
15001,0,0,0,1,0,0,0,0,0,0,104,0,0,0,104,0,104
15001,0,0,0,1,0,0,0,0,75,0,75,0,0,0,75,0,75
15001,0,0,0,1,0,0,128,0,0,0,0,128,0,0,128,0,128
15001,0,0,0,1,0,0,64,0,0,0,64,0,0,64,0,0,64
15001,0,0,0,1,0,0,37,0,37,0,37,0,37,0,0,0,37
15001,0,0,0,1,1,0,0,0,0,0,421,0,0,0,0,0,421
15001,0,0,0,1,1,0,0,0,0,0,63,0,0,0,63,63,63
15001,0,0,0,1,1,0,0,0,123,0,0,0,0,0,123,0,123
15001,0,0,0,1,1,0,0,0,40,0,40,0,0,0,0,0,40
15001,1,0,0,0,0,0,12,0,0,0,0,0,0,12,0,12,12
15001,1,0,0,0,0,0,115,115,0,0,115,0,0,0,115,0,115
15001,1,0,0,1,0,0,53,0,0,0,0,0,0,0,0,53,53
15001,1,0,0,1,1,0,0,0,0,0,32,0,0,32,0,0,32
15001,3,0,0,1,1,0,0,0,0,17,0,0,0,0,17,17,17
15001,7,0,0,1,1,0,0,0,0,0,156,0,0,0,156,0,156
15001,11,0,1,0,0,0,0,0,0,0,241,0,0,241,0,0,241
15001,13,0,0,1,1,0,0,0,0,0,109,0,0,109,0,0,109
15001,14,0,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47
15001,16,0,0,0,0,0,0,0,0,0,88,0,0,88,0,0,88
15001,17,1,0,1,1,0,67,0,67,0,67,0,0,0,0,0,67
15001,21,0,0,1,0,0,0,0,28,0,28,0,0,0,0,0,28
15001,23,0,0,0,1,0,23,0,23,0,0,0,23,23,23,23,23
15001,25,0,0,1,0,0,62,0,62,0,62,0,0,0,0,0,62
15001,26,0,0,0,0,0,65,0,0,0,65,0,0,65,0,0,65
15001,31,0,0,1,1,0,18,0,18,18,0,0,0,18,18,18,18
15001,35,1,0,1,1,267,267,267,267,0,267,267,0,0,0,0,267
15001,36,0,0,0,0,0,0,0,0,0,360,0,0,360,0,0,360
15001,36,0,0,0,0,0,24,0,0,0,24,0,0,24,0,0,24
15001,37,0,0,0,0,0,0,0,0,0,67,0,0,67,0,0,67
15001,37,0,0,0,0,0,19,0,19,0,19,0,0,0,0,0,19
15001,38,0,0,1,1,0,201,0,201,0,201,0,0,0,0,0,201
15001,43,0,0,0,0,0,63,0,63,0,63,0,63,63,0,0,63
