state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
19,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,90
19,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,2566
19,0,0,0,0,0,0,0,0,0,0,519,0,0,0,519,0,519
19,0,0,0,0,0,0,0,0,0,0,1434,0,0,1434,0,0,1434
19,0,0,0,0,0,0,0,0,0,0,1085,0,0,1085,1085,0,1085
19,0,0,0,0,0,0,0,0,0,0,205,0,205,205,0,0,205
19,0,0,0,0,0,0,0,0,0,0,375,0,375,375,375,0,375
19,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,106
19,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,11
19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
19,0,0,0,0,0,0,0,420,0,0,420,0,0,0,0,0,420
19,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,201
19,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,1380,1380
19,0,0,0,0,0,0,72,0,0,0,0,72,0,0,0,0,72
19,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,99
19,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,13,13
19,0,0,0,0,0,171,0,0,0,0,171,0,0,0,0,0,171
19,0,0,0,0,0,156,0,0,0,0,156,0,156,0,156,0,156
19,0,0,0,0,0,216,0,0,0,0,216,216,0,0,0,0,216
19,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,40
19,0,0,0,0,1,0,0,0,0,0,74,0,0,0,74,0,74
19,0,0,0,0,1,0,0,0,0,0,234,0,0,234,234,0,234
19,0,0,0,0,1,0,0,0,0,0,321,321,0,0,0,0,321
19,0,0,0,0,1,0,0,403,0,0,0,0,0,0,0,0,403
19,0,0,0,1,0,0,0,0,0,0,1499,0,0,0,0,0,1499
19,0,0,0,1,0,0,0,0,0,0,564,0,0,0,564,0,564
