puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
1600100,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,330
1600100,0,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,33
1600100,0,0,0,0,0,0,0,0,0,0,157,0,0,157,0,0,157
1600100,0,0,0,0,0,0,0,0,0,0,29,0,0,29,29,0,29
1600100,0,0,0,0,0,65,0,0,0,0,65,65,65,0,0,0,65
1600100,0,0,0,1,0,0,0,62,0,0,62,0,0,0,62,0,62
1600100,0,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,16
1600100,0,0,0,1,1,0,0,0,0,0,140,0,0,140,0,0,140
1600100,0,0,0,1,1,78,0,0,0,0,0,0,0,78,78,0,78
1600100,0,0,0,1,1,44,0,0,0,0,44,0,0,0,0,0,44
1600100,7,0,0,0,0,0,0,0,0,0,44,0,0,0,44,0,44
1600100,8,0,0,0,0,0,0,0,0,0,226,0,0,0,226,0,226
1600100,8,0,0,1,1,0,0,0,0,0,15,0,0,15,0,0,15
1600100,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10
1600100,11,0,0,0,0,0,112,0,0,0,0,0,0,0,112,0,112
1600100,12,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,121
1600100,13,0,0,1,0,0,0,0,0,0,23,0,23,23,0,0,23
1600100,14,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,68
1600100,17,0,1,1,1,0,0,0,0,0,46,0,0,46,46,0,46
1600100,19,0,0,1,0,0,0,0,0,0,13,0,0,13,0,0,13
1600100,19,1,0,0,0,0,0,13,0,0,13,0,13,13,0,0,13
1600100,21,0,0,1,0,0,0,0,0,0,51,0,0,51,0,0,51
1600100,23,1,0,1,0,0,0,0,0,0,36,0,0,0,0,0,36
1600100,26,0,0,1,1,0,0,0,0,0,101,0,0,0,0,0,101
1600100,27,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,115
1600100,28,0,0,0,0,0,0,0,0,0,99,0,99,99,0,0,99
1600100,30,0,0,1,1,0,0,0,0,0,120,0,0,0,0,0,120
1600100,32,0,0,0,0,26,26,26,26,0,26,0,0,0,26,0,26
1600100,36,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,76
1600100,36,0,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22
