cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
1701,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
1701,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,9,9
1701,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
1701,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,114
1701,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
1701,0,0,0,0,0,0,0,0,0,0,400,0,0,400,0,0,400
1701,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,13,13
1701,0,0,0,0,0,0,0,0,0,0,26,0,0,26,26,0,26
1701,0,0,0,0,0,0,0,0,0,0,107,0,0,107,107,107,107
1701,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,95
1701,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,0,19
1701,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,0,888
1701,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2
1701,0,0,0,0,0,0,0,331,0,0,0,0,0,331,0,0,331
1701,0,0,0,0,0,0,0,375,0,0,0,0,0,375,375,0,375
1701,0,0,0,0,0,0,0,125,0,0,0,0,125,125,0,0,125
1701,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,115
1701,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,51
1701,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
1701,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,10
1701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,0,1,0,0,0,0,0,14,0,0,14,14,14,14
1701,0,0,0,0,1,0,0,171,0,0,0,0,0,0,0,0,171
1701,0,0,0,0,1,0,0,152,0,0,0,0,0,0,152,0,152
1701,0,0,0,0,1,0,0,37,0,0,0,0,0,37,0,0,37
1701,0,0,0,0,1,0,0,47,0,0,0,0,0,47,47,0,47
1701,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,4
1701,0,0,0,0,1,0,0,65,0,0,0,0,65,0,65,65,65
1701,0,0,0,0,1,74,0,74,0,0,0,0,0,74,0,0,74
1701,0,0,0,1,0,0,0,0,0,0,0,42,0,42,42,0,42
1701,0,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,83
1701,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,5
1701,0,0,0,1,0,0,0,0,0,0,77,0,0,77,0,0,77
1701,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
1701,0,0,0,1,0,0,0,0,0,0,12,0,0,12,12,12,12
1701,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
1701,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
1701,0,0,0,1,0,0,0,824,0,0,0,0,0,0,0,0,824
1701,0,0,0,1,0,0,0,216,0,0,0,0,0,0,216,0,216
1701,0,0,0,1,0,0,0,120,0,0,0,0,0,120,0,0,120
1701,0,0,0,1,0,0,0,54,0,0,0,0,0,54,54,0,54
1701,0,0,0,1,0,0,0,5,0,0,0,5,0,5,0,0,5
1701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,24
1701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,1,1,0,0,0,0,0,0,3,0,0,3,3,3
1701,0,0,0,1,1,0,0,0,0,0,58,0,0,0,0,0,58
1701,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,2
1701,0,0,0,1,1,0,0,0,0,0,112,0,0,112,0,0,112
1701,0,0,0,1,1,0,0,0,0,0,11,0,0,11,11,0,11
1701,0,0,0,1,1,0,0,0,0,0,16,16,0,0,0,0,16
1701,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,3,3
1701,0,0,0,1,1,0,0,0,0,0,32,32,0,0,32,32,32
1701,0,0,0,1,1,0,0,1996,0,0,0,0,0,0,0,0,1996
1701,0,0,0,1,1,0,0,276,0,0,0,0,0,0,276,0,276
1701,0,0,0,1,1,0,0,64,0,0,0,0,0,0,64,64,64
1701,0,0,0,1,1,0,0,46,0,0,0,0,0,46,0,0,46
1701,0,0,0,1,1,0,0,60,0,0,0,0,0,60,60,0,60
1701,0,0,0,1,1,0,0,41,0,0,0,0,41,41,0,0,41
1701,0,0,0,1,1,0,0,47,0,0,0,47,0,0,0,0,47
1701,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,0,0,0,1,1,0,37,0,0,0,0,0,37,37,37,0,37
1701,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1
1701,0,0,0,1,1,0,2,2,0,0,0,0,0,0,2,0,2
1701,0,1,0,1,1,0,0,0,0,0,164,0,0,0,0,0,164
1701,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
1701,1,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,254
1701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,1,0,0,0,0,0,0,0,0,0,71,71,0,71,71,0,71
1701,1,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,89
1701,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
1701,1,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,54
1701,1,0,0,1,0,0,0,98,0,0,0,0,0,0,0,0,98
1701,1,0,0,1,1,0,0,0,0,0,0,274,0,0,0,0,274
1701,1,0,0,1,1,0,0,0,0,0,15,0,0,0,0,0,15
1701,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,1,0,0,1,1,0,0,24,0,0,0,0,0,0,0,0,24
1701,1,0,0,1,1,0,0,158,0,0,0,0,0,0,158,0,158
1701,1,0,1,1,1,0,0,292,0,0,0,0,0,0,292,0,292
1701,1,1,0,1,1,0,0,0,0,0,26,0,0,0,0,0,26
1701,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
1701,2,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,188
1701,2,0,0,1,1,0,0,0,0,0,4,0,0,0,4,0,4
1701,2,0,0,1,1,0,0,77,0,0,0,0,0,0,77,0,77
1701,2,1,0,1,1,0,0,0,0,0,113,113,0,0,0,0,113
1701,2,1,0,1,1,0,0,26,0,0,0,0,0,0,0,0,26
1701,2,1,0,1,1,99,0,99,0,0,0,0,0,0,0,99,99
1701,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1701,3,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,2
1701,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
1701,3,0,0,1,0,0,0,68,0,0,0,0,68,0,0,0,68
1701,3,0,0,1,1,0,0,0,0,0,0,250,0,0,0,250,250
1701,3,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,2
