state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
18,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78
18,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,172,172
18,0,0,0,0,0,0,0,0,0,0,0,174,0,174,0,0,174
18,0,0,0,0,0,0,0,0,0,0,8688,0,0,0,0,0,8688
18,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,471,471
18,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,1220,0,1220
18,0,0,0,0,0,0,0,0,0,0,2966,0,0,2966,0,0,2966
18,0,0,0,0,0,0,0,0,0,0,1565,0,0,1565,1565,0,1565
18,0,0,0,0,0,0,0,0,0,0,252,0,252,0,0,0,252
18,0,0,0,0,0,0,0,0,0,0,81,0,81,0,81,0,81
18,0,0,0,0,0,0,0,0,0,0,437,0,437,437,0,0,437
18,0,0,0,0,0,0,0,0,0,0,338,0,338,338,338,0,338
18,0,0,0,0,0,0,0,0,0,0,142,142,0,0,0,0,142
18,0,0,0,0,0,0,0,0,0,0,194,194,0,0,194,0,194
18,0,0,0,0,0,0,0,0,0,0,99,99,0,99,0,0,99
18,0,0,0,0,0,0,0,0,0,0,116,116,0,116,116,116,116
18,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,684
18,0,0,0,0,0,0,0,63,0,0,0,0,0,0,63,0,63
18,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,18
18,0,0,0,0,0,0,0,185,0,0,0,0,0,185,185,0,185
18,0,0,0,0,0,0,0,304,0,0,304,0,0,0,0,0,304
18,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,853
18,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,750,750
18,0,0,0,0,0,0,104,0,0,0,104,0,0,0,0,104,104
18,0,0,0,0,0,0,192,0,0,0,192,0,0,0,192,0,192
18,0,0,0,0,0,0,73,0,0,0,73,0,73,73,0,0,73
18,0,0,0,0,0,51,0,0,0,0,0,0,0,0,51,0,51
18,0,0,0,0,0,130,0,0,0,0,130,0,0,0,0,0,130
18,0,0,0,0,0,133,0,0,0,0,133,0,0,0,133,0,133
18,0,0,0,0,0,151,0,151,0,0,151,0,0,0,0,0,151
18,0,0,0,0,0,327,0,327,0,0,327,0,0,0,327,0,327
18,0,0,0,0,0,44,0,44,0,0,44,44,0,44,0,0,44
18,0,0,0,0,1,0,0,0,0,0,0,124,0,124,124,0,124
18,0,0,0,0,1,0,0,0,0,0,459,0,0,0,459,0,459
18,0,0,0,0,1,0,0,0,0,0,152,0,0,152,0,0,152
18,0,0,0,0,1,0,0,0,0,0,22,0,0,22,22,0,22
18,0,0,0,0,1,0,0,0,0,0,49,0,49,49,49,0,49
18,0,0,0,0,1,0,0,992,0,0,0,0,0,0,0,0,992
18,0,0,0,0,1,0,0,392,0,0,0,0,0,0,392,0,392
