puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
2100100,0,0,0,0,0,0,0,0,0,0,122,0,0,0,122,0,122
2100100,0,0,0,0,0,0,0,0,0,0,301,0,0,301,0,0,301
2100100,0,0,0,0,0,0,0,0,0,0,171,0,0,171,171,0,171
2100100,0,0,0,0,0,0,0,0,0,0,41,0,0,41,41,41,41
2100100,0,0,0,0,0,0,0,0,0,0,109,0,109,109,109,0,109
2100100,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,17
2100100,0,0,0,0,1,0,0,0,0,0,27,0,0,27,27,0,27
2100100,0,0,0,1,0,0,0,0,0,0,216,0,0,216,216,0,216
2100100,0,0,0,1,0,0,0,0,0,0,93,93,0,0,0,0,93
2100100,0,0,0,1,1,0,0,0,0,0,25,0,0,0,0,0,25
2100100,0,0,0,1,1,0,0,0,0,0,694,0,0,0,694,0,694
2100100,0,0,0,1,1,0,0,0,0,0,99,0,99,0,99,0,99
2100100,0,0,0,1,1,0,0,0,0,0,218,0,218,218,218,0,218
2100100,0,0,0,1,1,0,0,129,0,0,0,0,0,0,129,0,129
2100100,0,0,1,1,0,99,0,0,0,0,99,0,0,0,99,0,99
2100100,4,0,0,1,1,0,0,49,0,0,0,0,0,0,49,0,49
2100100,5,0,0,1,0,0,0,0,0,0,97,0,0,0,0,0,97
2100100,5,0,0,1,0,0,0,0,0,0,11,0,0,0,11,0,11
2100100,5,0,0,1,1,0,0,0,0,0,36,0,0,0,0,0,36
2100100,7,0,0,0,0,0,0,0,0,0,71,0,0,0,71,0,71
2100100,8,0,0,1,1,0,0,0,0,0,45,0,45,0,45,0,45
2100100,8,0,0,1,1,112,0,0,0,0,112,112,0,0,112,0,112
2100100,9,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45
2100100,10,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,401
2100100,10,0,0,1,0,0,0,0,0,0,140,0,0,0,140,0,140
2100100,10,0,0,1,0,0,0,0,0,0,91,0,0,91,91,0,91
2100100,11,0,0,0,0,0,0,0,0,0,95,0,0,95,95,0,95
2100100,12,0,0,1,1,0,0,0,0,0,6,0,0,0,6,0,6
2100100,14,0,0,0,0,0,0,0,0,0,75,0,0,75,0,0,75
2100100,14,0,0,1,1,58,0,0,0,0,58,58,0,0,0,0,58
2100100,14,1,0,1,1,0,0,16,0,0,16,0,0,0,0,0,16
2100100,15,0,0,0,0,0,0,0,0,0,150,0,0,150,150,0,150
2100100,15,0,0,1,0,0,0,18,0,0,0,0,0,18,18,0,18
2100100,18,0,0,1,1,0,0,0,0,0,75,0,0,0,0,0,75
2100100,19,0,0,0,0,0,0,0,0,0,46,0,0,46,0,0,46
2100100,19,0,0,0,0,0,0,0,0,0,46,0,46,46,0,0,46
2100100,22,0,0,0,0,0,0,0,0,0,390,0,0,390,0,0,390
2100100,22,0,0,1,1,0,0,0,0,0,57,0,0,0,57,0,57
2100100,25,0,1,1,0,23,0,23,0,0,23,0,23,23,23,0,23
2100100,29,0,0,0,0,0,0,0,0,0,321,0,0,321,321,0,321
2100100,30,0,0,0,0,0,0,0,0,0,68,0,68,68,0,0,68
2100100,31,0,0,1,0,0,0,0,0,0,61,0,61,61,0,0,61
2100100,32,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,189
2100100,32,0,0,1,0,0,0,0,0,0,73,0,73,73,0,0,73
2100100,32,1,0,1,1,0,0,0,0,0,45,0,0,0,45,0,45
2100100,33,0,0,1,0,0,0,0,0,0,170,0,0,0,0,0,170
2100100,33,0,0,1,0,0,0,145,0,0,145,0,0,145,145,0,145
2100100,33,0,0,1,1,21,0,0,0,0,21,21,0,0,21,0,21
2100100,35,0,0,0,0,0,0,0,0,0,93,0,0,93,0,0,93
2100100,35,0,0,0,0,0,0,39,0,0,0,0,0,39,39,0,39
2100100,35,0,0,0,0,0,0,43,0,0,0,0,43,43,43,0,43
2100100,37,0,0,1,1,0,0,0,0,0,68,68,0,0,0,0,68
2100100,38,0,0,0,0,0,0,0,0,0,82,0,0,82,82,0,82
2100100,38,0,0,1,1,0,0,38,0,0,38,0,0,0,0,0,38
2100100,39,0,0,1,0,0,0,0,0,0,20,0,0,20,20,0,20
2100100,39,0,0,1,0,22,0,0,0,0,22,0,22,22,22,0,22
2100100,40,0,0,1,1,0,0,0,0,0,164,0,0,0,0,0,164
2100100,41,0,0,0,0,0,0,0,0,30,30,0,0,30,30,0,30
2100100,42,0,1,1,1,0,0,0,0,0,27,0,0,0,27,0,27
2100100,43,0,1,1,0,0,0,0,0,0,107,0,0,0,107,0,107
2100100,44,0,1,1,1,0,0,69,0,0,0,0,0,0,69,0,69
2100100,45,0,0,1,1,0,0,0,0,0,180,0,0,0,180,0,180
2100100,45,0,1,1,0,0,0,0,0,0,318,0,0,0,318,0,318
2100100,47,0,0,0,0,0,0,0,0,0,130,0,0,130,0,0,130
2100100,47,0,0,1,0,0,0,0,0,0,191,0,0,0,0,0,191
2100100,47,0,0,1,1,0,0,0,0,0,73,0,0,0,0,0,73
2100100,48,0,0,1,1,0,0,0,0,0,35,0,0,0,0,0,35
2100100,48,1,0,1,0,0,0,0,0,0,118,0,0,118,0,0,118
2100100,50,0,0,0,0,0,0,0,0,0,159,0,0,159,0,0,159
2100100,50,0,0,1,1,0,0,0,0,0,100,0,0,0,0,0,100
2100100,51,0,1,1,1,0,0,0,0,0,102,102,0,0,102,0,102
2100100,53,0,0,0,0,0,0,0,0,0,127,0,0,127,127,0,127
2100100,53,0,1,1,0,0,0,0,0,0,56,0,0,0,56,0,56
2100100,54,0,0,1,1,0,0,15,0,0,15,0,0,0,0,0,15
2100100,54,1,1,1,1,0,0,0,0,0,27,0,0,0,27,0,27
2100100,55,0,0,1,1,0,0,0,0,0,15,15,0,0,0,0,15
2100100,56,0,0,1,0,0,0,76,0,0,0,0,0,0,0,0,76
2100100,56,0,1,1,0,0,0,0,0,0,248,0,0,248,248,0,248
2100100,57,0,0,0,0,0,0,0,0,0,81,0,0,81,81,0,81
2100100,59,0,0,1,1,0,0,0,0,0,37,0,0,37,0,0,37
2100100,59,0,1,1,1,0,0,183,0,0,0,0,0,183,0,0,183
2100100,60,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,37
2100100,62,0,0,1,1,0,0,0,0,0,538,0,0,0,538,0,538
2100100,63,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,143
2100100,63,0,1,1,0,0,0,0,0,0,138,0,0,0,138,0,138
2100100,63,1,0,1,1,0,0,0,0,0,74,74,0,0,0,0,74
2100100,64,0,0,0,0,0,0,0,0,0,76,0,0,76,0,0,76
2100100,64,0,1,1,1,0,0,0,0,0,42,0,0,0,42,0,42
2100100,65,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,53
2100100,65,0,0,0,1,0,0,0,0,0,14,0,0,14,14,0,14
2100100,66,0,0,1,1,0,0,0,0,0,85,0,0,0,0,0,85
2100100,66,0,1,1,1,0,0,0,0,0,71,0,0,71,0,0,71
2100100,66,0,1,1,1,0,0,38,0,0,0,0,0,38,38,0,38
2100100,67,0,1,1,0,0,0,0,0,0,72,0,0,72,0,0,72
2100100,67,0,1,1,1,0,0,0,0,0,136,0,0,0,136,0,136
2100100,68,0,1,1,1,0,0,0,0,0,119,0,0,119,0,0,119
2100100,69,0,0,1,1,8,0,0,0,0,8,8,0,8,8,0,8
2100100,69,0,1,1,1,0,0,30,0,0,0,0,0,0,30,0,30
2100100,69,0,1,1,1,15,0,0,0,0,0,0,0,0,15,0,15
2100100,70,0,0,0,0,0,0,0,0,0,65,0,0,65,0,0,65
2100100,70,0,1,1,0,0,0,0,0,0,541,0,0,0,541,0,541
2100100,71,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100
2100100,72,0,0,1,1,0,0,54,0,0,0,0,0,54,54,0,54
2100100,73,0,0,0,0,0,0,0,0,0,284,0,0,284,0,0,284
2100100,73,0,0,1,0,0,0,95,0,0,0,0,0,0,0,0,95
2100100,75,0,0,1,1,0,0,0,0,0,63,63,0,0,63,0,63
2100100,76,0,1,1,1,0,0,0,0,0,61,0,0,61,0,0,61
2100100,77,0,0,0,0,0,0,0,0,0,54,0,0,54,0,0,54
2100100,77,0,1,1,0,0,0,0,0,0,13,0,0,13,13,0,13
2100100,78,0,0,0,1,0,0,41,0,0,0,0,41,41,0,0,41
2100100,79,0,0,0,0,0,0,139,0,0,0,0,0,139,0,0,139
2100100,79,0,1,1,1,0,0,0,0,0,37,0,0,0,37,0,37
2100100,79,0,1,1,1,0,0,0,0,0,103,0,0,103,103,0,103
2100100,80,0,0,0,0,0,0,0,0,0,67,0,0,67,67,0,67
2100100,81,0,0,0,1,0,0,0,0,0,29,0,0,29,0,0,29
2100100,82,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,74
2100100,83,0,0,0,0,0,0,0,0,0,70,0,0,70,70,0,70
2100100,83,0,0,1,0,0,0,0,0,0,74,0,0,0,0,0,74
2100100,83,0,0,1,0,0,0,181,0,0,0,0,0,0,0,0,181
2100100,86,0,0,0,0,0,0,0,0,0,127,0,0,127,0,0,127
2100100,86,1,0,1,1,0,0,0,0,0,119,119,0,0,0,0,119
2100100,87,0,0,1,0,0,0,37,0,0,0,0,0,37,0,0,37
2100100,88,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8
2100100,88,0,0,1,0,0,0,0,0,0,135,0,0,0,135,0,135
2100100,88,0,0,1,1,0,0,37,0,0,0,0,0,37,0,0,37
2100100,88,0,1,1,1,0,0,52,0,0,0,0,0,0,0,0,52
2100100,90,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36
2100100,90,0,0,1,0,0,0,0,0,0,19,0,0,19,19,0,19
2100100,90,0,1,1,0,0,0,0,0,0,150,0,0,150,150,0,150
2100100,93,0,0,1,0,0,0,0,0,0,310,0,0,310,0,0,310
2100100,94,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50
2100100,94,0,0,1,1,0,0,0,0,0,156,0,0,0,0,0,156
2100100,94,0,0,1,1,0,0,0,0,0,12,0,0,12,12,0,12
2100100,95,0,0,0,0,0,0,0,0,0,152,0,0,0,152,0,152
2100100,96,0,0,1,0,0,0,0,0,0,35,0,0,35,35,0,35
