SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000210,165,0,0,1,0,2102200,273,0,0,0,0,0,273,0,0,0,0,0
2021HU0000303,450,0,0,0,0,2100100,156,0,0,0,0,0,156,0,0,0,0,0
2021HU0000514,8,0,0,1,1,2100100,112,112,0,0,0,0,112,112,0,0,112,0
2021HU0000745,501,0,0,0,0,2102300,31,0,0,0,0,0,31,0,0,31,0,0
2021HU0000821,63,0,0,0,0,2101600,91,0,0,0,0,0,91,0,0,91,0,0
2021HU0000873,109,0,0,0,0,2102300,56,0,0,0,0,0,56,0,0,56,56,0
2021HU0000881,242,0,0,0,0,2102800,79,0,0,0,0,0,79,0,0,0,0,0
2021HU0000962,501,0,0,0,0,2101704,61,0,61,0,0,0,0,0,0,61,0,0
2021HU0001132,453,0,1,1,0,2101706,89,0,0,0,0,0,89,0,0,0,89,0
2021HU0001188,491,0,0,0,0,2101704,27,0,0,0,0,0,27,0,0,0,0,0
2021HU0001289,113,0,0,0,0,2102700,23,0,0,0,0,0,23,0,0,23,0,0
2021HU0001297,0,0,0,1,0,2100600,51,0,0,0,0,0,51,0,0,51,0,0
2021HU0001312,501,0,0,0,0,2101704,126,0,0,0,0,0,126,0,126,126,0,0
2021HU0001318,312,0,0,0,0,2100400,162,0,0,0,0,0,162,0,0,0,0,0
2021HU0001398,174,0,0,0,0,2100700,85,0,0,0,0,0,85,85,0,0,0,85
2021HU0001416,61,0,1,1,0,2102200,391,0,0,0,0,0,391,0,0,0,0,0
2021HU0001423,80,0,0,1,0,2102000,179,0,0,0,0,0,179,0,0,0,179,0
2021HU0001434,501,0,0,0,0,2101600,90,0,0,0,0,0,90,0,0,90,90,0
2021HU0001566,355,0,1,1,0,2101200,124,0,0,0,0,0,124,0,0,124,124,0
2021HU0001634,166,0,0,0,0,2101400,137,0,0,0,0,0,137,0,0,137,137,0
2021HU0001667,217,0,0,0,0,2101902,117,0,0,0,0,0,117,0,0,0,0,0
2021HU0001718,501,0,0,0,0,2101600,49,0,0,0,0,0,49,0,0,0,0,0
2021HU0001725,469,0,0,0,0,2102000,53,0,0,0,0,0,53,0,0,53,53,0
2021HU0001841,501,0,0,0,0,2101705,12,0,12,0,0,0,12,0,12,0,0,0
2021HU0001919,326,0,1,1,0,2100100,55,0,0,0,0,0,55,0,0,55,55,0
