county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
23001,0,0,0,0,0,0,0,0,0,0,0,196,0,196,0,0,196
23001,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,56
23001,0,0,0,1,1,0,0,0,0,0,208,0,0,0,0,0,208
23001,0,0,0,1,1,0,0,0,0,0,258,0,0,258,0,0,258
23001,2,0,0,0,0,0,0,57,0,0,57,0,0,0,57,0,57
23001,2,0,0,1,0,0,0,0,0,0,37,0,37,0,0,0,37
23001,10,0,0,0,0,0,0,0,0,0,197,0,0,0,197,0,197
23001,10,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,94
23001,13,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,71
23001,16,0,0,0,0,0,0,0,0,0,96,0,0,0,96,0,96
23001,22,0,0,0,0,0,0,0,0,0,311,0,0,311,0,0,311
23001,29,0,0,1,0,0,0,0,0,0,191,0,0,191,0,0,191
23001,30,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,131
23001,32,0,0,1,0,0,0,0,0,0,291,0,0,0,0,0,291
23001,34,0,0,1,0,0,0,0,0,0,167,0,167,167,167,0,167
23001,37,0,0,1,0,0,0,0,0,0,96,0,96,96,96,0,96
23001,45,0,1,1,1,0,0,0,0,0,156,0,0,156,156,0,156
23001,51,0,0,0,0,0,0,219,0,0,0,0,0,0,0,219,219
23001,52,0,0,1,1,0,0,0,0,0,193,0,0,0,0,0,193
23001,52,0,0,1,1,0,0,67,0,0,0,0,0,0,0,0,67
23001,53,0,0,1,1,0,0,0,0,0,56,0,0,56,56,0,56
23001,62,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,96
23001,62,0,0,1,0,0,0,0,0,0,359,0,0,0,0,0,359
23001,70,0,1,1,1,0,0,0,0,0,427,0,0,0,427,0,427
23001,70,0,1,1,1,0,0,0,0,0,52,0,0,52,52,0,52
23001,71,0,0,1,1,0,0,0,0,0,177,0,0,0,0,0,177
23001,72,0,0,1,0,0,0,0,0,0,147,0,0,0,147,0,147
23001,73,0,0,0,0,0,0,0,0,0,148,0,0,148,148,0,148
23001,74,1,0,1,1,0,0,0,0,0,218,0,0,0,218,0,218
23001,74,1,1,1,1,0,0,0,0,0,74,0,0,0,74,0,74
23001,75,0,0,1,1,0,0,0,0,0,57,0,0,57,57,0,57
