cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
2601,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,801
2601,0,0,0,0,0,0,0,0,0,0,476,0,0,0,476,0,476
2601,0,0,0,0,0,0,0,0,0,0,909,0,0,909,0,0,909
2601,0,0,0,0,0,0,0,0,0,0,352,0,0,352,352,0,352
2601,0,0,0,0,0,0,0,0,0,0,12,0,12,12,0,0,12
2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,0,0,0,0,0,0,0,0,0,103,103,0,0,0,0,103
2601,0,0,0,0,0,0,0,0,0,0,28,28,0,28,28,28,28
2601,0,0,0,0,0,0,22,0,0,0,22,0,22,22,22,0,22
2601,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,11
2601,0,0,0,0,0,75,0,0,0,0,75,0,0,75,0,0,75
2601,0,0,0,0,0,31,0,0,0,0,31,0,31,31,0,0,31
2601,0,0,0,0,1,0,0,0,0,0,353,0,0,0,353,0,353
2601,0,0,0,0,1,0,0,0,0,0,14,0,0,14,0,0,14
2601,0,0,0,0,1,0,0,0,0,0,31,0,0,31,31,0,31
2601,0,0,0,1,0,0,0,0,0,0,550,0,0,0,0,0,550
2601,0,0,0,1,0,0,0,0,0,0,248,0,0,0,248,0,248
2601,0,0,0,1,0,0,0,0,0,0,442,0,0,442,0,0,442
2601,0,0,0,1,0,0,0,0,0,0,250,0,0,250,250,0,250
2601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,0,0,1,0,0,0,0,0,0,133,133,0,0,0,0,133
2601,0,0,0,1,0,0,0,133,0,0,133,0,0,0,0,0,133
2601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,0,0,1,0,46,0,0,0,0,46,0,0,0,0,0,46
2601,0,0,0,1,1,0,0,0,0,0,139,0,0,0,0,0,139
2601,0,0,0,1,1,0,0,0,0,0,211,0,0,0,211,0,211
2601,0,0,0,1,1,0,0,0,0,0,130,0,0,130,130,0,130
2601,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,0,0,1,1,0,0,0,0,0,25,25,0,25,25,0,25
2601,0,0,0,1,1,0,0,0,0,34,0,0,0,0,34,0,34
2601,0,0,0,1,1,0,27,0,0,0,27,0,0,0,27,27,27
2601,0,0,0,1,1,33,0,0,0,0,0,0,0,0,33,0,33
2601,0,0,0,1,1,104,0,0,0,0,104,0,0,0,0,0,104
2601,0,0,0,1,1,16,0,0,0,0,16,0,0,16,0,0,16
2601,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2601,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2601,1,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,94
2601,1,0,0,1,0,0,0,0,0,0,83,0,83,83,0,0,83
2601,1,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,30
2601,1,1,0,1,0,0,0,0,0,0,147,0,0,0,147,0,147
2601,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2601,2,0,0,0,0,0,0,0,0,0,140,0,0,140,0,0,140
2601,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2601,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,67
2601,3,0,0,1,0,0,0,0,0,0,88,0,0,0,0,0,88
2601,3,0,0,1,1,0,0,0,0,0,38,0,0,0,0,0,38
2601,3,1,0,1,1,0,0,0,0,0,140,0,0,0,0,0,140
2601,3,1,0,1,1,0,0,0,0,0,172,0,0,0,172,0,172
2601,4,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,55
2601,4,0,0,1,0,0,0,0,0,0,295,0,0,0,0,0,295
2601,4,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,16
2601,5,0,0,0,0,0,0,0,0,0,51,0,0,51,51,0,51
2601,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
