cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
2801,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
2801,0,0,0,0,0,0,0,0,0,0,0,130,0,130,0,130,130
2801,0,0,0,0,0,0,0,0,0,0,896,0,0,0,0,0,896
2801,0,0,0,0,0,0,0,0,0,0,89,0,0,0,89,0,89
2801,0,0,0,0,0,0,0,0,0,0,574,0,0,574,0,0,574
2801,0,0,0,0,0,0,0,0,0,0,385,0,0,385,385,0,385
2801,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,20
2801,0,0,0,0,0,0,0,0,0,0,96,0,96,96,0,0,96
2801,0,0,0,0,0,0,0,0,0,0,147,147,0,0,0,0,147
2801,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,161
2801,0,0,0,0,0,0,0,69,0,0,0,0,0,0,69,0,69
2801,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,4
2801,0,0,0,0,1,0,0,0,0,0,250,0,0,0,250,0,250
2801,0,0,0,0,1,0,0,0,0,0,60,0,60,0,0,0,60
2801,0,0,0,0,1,0,0,204,0,0,0,0,0,0,0,0,204
2801,0,0,0,0,1,0,0,8,0,0,0,0,0,0,8,0,8
2801,0,0,0,0,1,0,0,91,0,0,91,0,0,0,0,0,91
2801,0,0,0,1,0,0,0,0,0,0,0,239,0,0,0,239,239
2801,0,0,0,1,0,0,0,0,0,0,315,0,0,0,0,0,315
2801,0,0,0,1,0,0,0,0,0,0,53,0,0,0,53,0,53
2801,0,0,0,1,0,0,0,0,0,0,166,0,0,166,0,0,166
2801,0,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,53
2801,0,0,0,1,0,0,0,80,0,0,0,0,0,0,80,0,80
2801,0,0,0,1,0,0,0,193,0,0,0,0,0,193,0,0,193
2801,0,0,0,1,0,0,0,161,0,0,0,0,0,161,161,0,161
2801,0,0,0,1,0,0,0,175,0,0,0,0,175,175,175,0,175
2801,0,0,0,1,0,0,0,41,0,0,41,0,0,0,0,0,41
2801,0,0,0,1,0,0,0,114,0,0,114,0,0,0,114,0,114
2801,0,0,0,1,1,0,0,0,0,0,31,0,0,0,0,0,31
2801,0,0,0,1,1,0,0,0,0,0,67,0,0,0,67,0,67
2801,0,0,0,1,1,0,0,0,0,0,344,0,0,344,344,0,344
2801,0,0,0,1,1,0,0,227,0,0,0,0,0,0,0,0,227
2801,0,0,0,1,1,0,0,318,0,0,0,0,0,0,318,0,318
2801,0,0,0,1,1,0,0,76,0,0,0,0,0,76,0,0,76
2801,0,0,0,1,1,0,0,59,0,0,0,0,0,59,59,0,59
