metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,149,149,0,0,149
99999,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,142,142
99999,0,0,0,0,0,0,0,0,0,0,0,753,0,753,0,753,753
99999,0,0,0,0,0,0,0,0,0,0,12763,0,0,0,0,0,12763
99999,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,103,103
99999,0,0,0,0,0,0,0,0,0,0,2954,0,0,0,2954,0,2954
99999,0,0,0,0,0,0,0,0,0,0,5473,0,0,5473,0,0,5473
99999,0,0,0,0,0,0,0,0,0,0,3216,0,0,3216,3216,0,3216
99999,0,0,0,0,0,0,0,0,0,0,771,0,771,0,0,0,771
99999,0,0,0,0,0,0,0,0,0,0,128,0,128,0,128,0,128
99999,0,0,0,0,0,0,0,0,0,0,1042,0,1042,1042,0,0,1042
99999,0,0,0,0,0,0,0,0,0,0,321,0,321,321,321,0,321
99999,0,0,0,0,0,0,0,0,0,0,1351,1351,0,0,0,0,1351
99999,0,0,0,0,0,0,0,0,0,0,739,739,0,0,0,739,739
99999,0,0,0,0,0,0,0,0,0,0,587,587,0,0,587,0,587
99999,0,0,0,0,0,0,0,0,0,0,20,20,0,20,0,0,20
99999,0,0,0,0,0,0,0,0,0,0,297,297,0,297,0,297,297
99999,0,0,0,0,0,0,0,0,0,0,165,165,165,0,0,0,165
99999,0,0,0,0,0,0,0,5345,0,0,0,0,0,0,0,0,5345
99999,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,572,572
99999,0,0,0,0,0,0,0,910,0,0,0,0,0,0,910,0,910
99999,0,0,0,0,0,0,0,969,0,0,0,0,0,969,0,0,969
99999,0,0,0,0,0,0,0,487,0,0,0,0,0,487,487,0,487
99999,0,0,0,0,0,0,0,106,0,0,0,0,106,0,0,0,106
99999,0,0,0,0,0,0,0,140,0,0,0,0,140,0,140,0,140
99999,0,0,0,0,0,0,0,322,0,0,0,0,322,322,0,0,322
99999,0,0,0,0,0,0,0,37,0,0,0,0,37,37,37,0,37
99999,0,0,0,0,0,0,0,297,0,0,0,297,0,0,0,0,297
99999,0,0,0,0,0,0,0,1164,0,0,1164,0,0,0,0,0,1164
99999,0,0,0,0,0,0,0,145,0,0,145,0,0,0,145,0,145
99999,0,0,0,0,0,0,0,55,0,0,55,0,0,55,0,0,55
99999,0,0,0,0,0,0,0,163,0,0,163,0,163,0,0,0,163
99999,0,0,0,0,0,0,0,72,0,0,72,72,0,72,0,0,72
99999,0,0,0,0,0,0,0,61,0,0,61,61,61,0,61,0,61
99999,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0,0,1027
99999,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,550,550
99999,0,0,0,0,0,0,189,0,0,0,0,0,0,189,0,0,189
99999,0,0,0,0,0,0,207,0,0,0,0,0,0,207,0,207,207
99999,0,0,0,0,0,0,439,0,0,0,439,0,0,0,0,0,439
99999,0,0,0,0,0,0,59,0,0,0,59,0,0,0,59,0,59
99999,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0,74
99999,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,291
99999,0,0,0,0,0,52,0,0,0,0,0,0,0,0,52,0,52
99999,0,0,0,0,0,58,0,0,0,0,0,0,0,58,0,0,58
99999,0,0,0,0,0,559,0,0,0,0,559,0,0,0,0,0,559
99999,0,0,0,0,0,433,0,0,0,0,433,0,0,433,0,0,433
99999,0,0,0,0,0,24,0,0,0,0,24,0,0,24,24,0,24
99999,0,0,0,0,0,348,0,0,0,0,348,0,348,348,348,0,348
99999,0,0,0,0,0,29,0,0,0,0,29,29,0,0,29,0,29
99999,0,0,0,0,0,287,0,287,0,0,0,0,0,0,0,0,287
99999,0,0,0,0,0,156,0,156,0,0,156,0,156,156,0,0,156
99999,0,0,0,0,0,105,0,105,0,105,0,0,0,0,0,0,105
99999,0,0,0,0,0,67,67,67,0,0,67,67,0,0,67,0,67
99999,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,11
99999,0,0,0,0,1,0,0,0,0,0,0,124,0,0,0,124,124
99999,0,0,0,0,1,0,0,0,0,0,0,96,0,0,96,96,96
99999,0,0,0,0,1,0,0,0,0,0,1069,0,0,0,0,0,1069
99999,0,0,0,0,1,0,0,0,0,0,930,0,0,0,930,0,930
99999,0,0,0,0,1,0,0,0,0,0,146,0,0,146,0,0,146
99999,0,0,0,0,1,0,0,0,0,0,299,0,0,299,299,0,299
99999,0,0,0,0,1,0,0,0,0,0,146,0,146,0,146,0,146
99999,0,0,0,0,1,0,0,0,0,0,9,0,9,9,9,0,9
99999,0,0,0,0,1,0,0,0,0,0,52,52,0,0,0,0,52
99999,0,0,0,0,1,0,0,0,0,0,749,749,0,0,0,749,749
99999,0,0,0,0,1,0,0,0,0,0,84,84,0,0,84,0,84
99999,0,0,0,0,1,0,0,0,0,0,68,68,0,68,0,68,68
99999,0,0,0,0,1,0,0,0,0,0,352,352,0,352,352,352,352
99999,0,0,0,0,1,0,0,1133,0,0,0,0,0,0,0,0,1133
99999,0,0,0,0,1,0,0,544,0,0,0,0,0,0,544,0,544
99999,0,0,0,0,1,0,0,230,0,0,0,0,0,230,0,0,230
99999,0,0,0,0,1,0,0,31,0,0,0,0,31,0,31,0,31
99999,0,0,0,0,1,0,0,20,0,0,0,0,20,20,0,0,20
99999,0,0,0,0,1,0,0,68,0,0,0,68,0,0,68,0,68
99999,0,0,0,0,1,0,0,44,0,0,0,44,0,44,0,44,44
99999,0,0,0,0,1,0,0,24,0,0,24,0,0,24,0,0,24
99999,0,0,0,0,1,0,0,183,0,0,183,183,0,0,0,0,183
99999,0,0,0,0,1,0,215,0,0,0,0,0,0,0,0,215,215
99999,0,0,0,0,1,183,0,0,0,0,0,0,0,0,183,0,183
99999,0,0,0,0,1,39,0,0,0,0,0,0,39,0,39,0,39
99999,0,0,0,0,1,212,0,0,0,0,0,212,0,212,0,0,212
99999,0,0,0,0,1,130,0,0,0,0,130,0,0,0,0,0,130
99999,0,0,0,0,1,59,0,0,0,0,59,0,0,0,59,0,59
99999,0,0,0,0,1,111,0,111,0,0,0,0,0,0,0,0,111
99999,0,0,0,1,0,0,0,0,0,0,0,421,0,0,0,0,421
99999,0,0,0,1,0,0,0,0,0,0,0,591,0,0,0,591,591
99999,0,0,0,1,0,0,0,0,0,0,0,46,0,0,46,0,46
99999,0,0,0,1,0,0,0,0,0,0,1989,0,0,0,0,0,1989
99999,0,0,0,1,0,0,0,0,0,0,1218,0,0,0,1218,0,1218
99999,0,0,0,1,0,0,0,0,0,0,420,0,0,420,0,0,420
99999,0,0,0,1,0,0,0,0,0,0,813,0,0,813,813,0,813
99999,0,0,0,1,0,0,0,0,0,0,99,0,99,0,0,0,99
99999,0,0,0,1,0,0,0,0,0,0,151,0,151,0,151,0,151
99999,0,0,0,1,0,0,0,0,0,0,107,0,107,107,0,0,107
99999,0,0,0,1,0,0,0,0,0,0,152,0,152,152,152,0,152
99999,0,0,0,1,0,0,0,0,0,0,137,137,0,0,0,0,137
99999,0,0,0,1,0,0,0,0,0,0,919,919,0,0,0,919,919
99999,0,0,0,1,0,0,0,0,0,0,176,176,0,0,176,0,176
99999,0,0,0,1,0,0,0,2258,0,0,0,0,0,0,0,0,2258
99999,0,0,0,1,0,0,0,275,0,0,0,0,0,0,275,0,275
99999,0,0,0,1,0,0,0,454,0,0,0,0,0,454,0,0,454
99999,0,0,0,1,0,0,0,42,0,0,0,0,0,42,42,0,42
99999,0,0,0,1,0,0,0,337,0,0,0,0,337,0,0,0,337
99999,0,0,0,1,0,0,0,77,0,0,0,0,77,77,0,0,77
99999,0,0,0,1,0,0,0,156,0,0,0,156,0,0,0,0,156
99999,0,0,0,1,0,0,0,56,0,0,0,56,0,56,56,0,56
99999,0,0,0,1,0,0,0,189,0,0,189,0,0,0,0,0,189
99999,0,0,0,1,0,0,0,29,0,0,29,0,0,0,29,0,29
99999,0,0,0,1,0,0,0,35,0,0,35,0,35,0,0,0,35
99999,0,0,0,1,0,0,129,0,0,0,0,0,0,0,129,0,129
99999,0,0,0,1,0,0,286,0,0,0,286,0,0,0,0,0,286
99999,0,0,0,1,0,0,341,341,0,0,341,341,0,0,0,0,341
99999,0,0,0,1,0,33,0,0,0,0,33,0,33,33,33,0,33
99999,0,0,0,1,0,401,0,401,0,0,401,0,0,0,0,0,401
99999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,59,59
99999,0,0,0,1,1,0,0,0,0,0,0,125,0,0,0,0,125
99999,0,0,0,1,1,0,0,0,0,0,0,533,0,0,0,533,533
99999,0,0,0,1,1,0,0,0,0,0,0,116,0,116,0,116,116
99999,0,0,0,1,1,0,0,0,0,0,3136,0,0,0,0,0,3136
99999,0,0,0,1,1,0,0,0,0,0,2178,0,0,0,2178,0,2178
99999,0,0,0,1,1,0,0,0,0,0,153,0,0,153,0,0,153
99999,0,0,0,1,1,0,0,0,0,0,1326,0,0,1326,1326,0,1326
99999,0,0,0,1,1,0,0,0,0,0,245,0,245,0,0,0,245
99999,0,0,0,1,1,0,0,0,0,0,222,0,222,0,222,0,222
99999,0,0,0,1,1,0,0,0,0,0,59,0,59,59,59,0,59
99999,0,0,0,1,1,0,0,0,0,0,282,282,0,0,0,0,282
99999,0,0,0,1,1,0,0,0,0,0,871,871,0,0,0,871,871
99999,0,0,0,1,1,0,0,0,0,0,217,217,0,0,217,0,217
99999,0,0,0,1,1,0,0,0,0,0,72,72,0,72,0,72,72
99999,0,0,0,1,1,0,0,6843,0,0,0,0,0,0,0,0,6843
99999,0,0,0,1,1,0,0,46,0,0,0,0,0,0,0,46,46
99999,0,0,0,1,1,0,0,835,0,0,0,0,0,0,835,0,835
99999,0,0,0,1,1,0,0,76,0,0,0,0,0,76,0,0,76
99999,0,0,0,1,1,0,0,99,0,0,0,0,0,99,99,0,99
99999,0,0,0,1,1,0,0,59,0,0,0,0,59,59,59,0,59
99999,0,0,0,1,1,0,0,155,0,0,0,155,0,0,0,0,155
