metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,1709,0,0,0,0,0,1709
99999,0,0,0,0,0,0,0,0,0,0,682,0,0,682,0,0,682
99999,0,0,0,0,0,0,0,0,0,0,673,0,0,673,673,0,673
99999,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,91
99999,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,29
99999,0,0,0,0,0,42,0,0,0,0,0,0,0,42,0,0,42
99999,0,0,0,0,0,71,0,0,0,0,71,0,71,71,71,0,71
99999,0,0,0,0,1,0,0,0,0,0,222,0,222,0,0,0,222
99999,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,28
99999,0,0,0,1,0,0,0,0,0,0,49,0,0,49,0,0,49
99999,0,0,0,1,0,0,0,0,0,0,441,0,0,441,441,0,441
99999,0,0,0,1,0,0,0,0,0,0,35,0,35,0,0,0,35
99999,0,0,0,1,0,0,0,0,0,0,192,0,192,0,192,0,192
99999,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,47
99999,0,0,0,1,1,0,0,0,0,0,209,0,0,0,0,0,209
99999,0,0,0,1,1,0,0,0,0,0,55,0,0,55,55,0,55
99999,0,0,0,1,1,29,0,0,0,0,0,0,0,29,29,0,29
99999,0,0,0,1,1,193,0,0,0,0,193,0,0,0,193,0,193
99999,0,1,0,1,1,0,0,0,0,0,55,55,0,0,55,0,55
99999,1,0,0,1,1,56,0,0,0,0,0,0,0,0,56,56,56
99999,2,0,0,0,0,0,0,0,0,0,63,0,0,0,63,0,63
99999,2,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16
99999,2,0,0,0,0,0,0,244,0,0,244,0,0,0,244,0,244
99999,3,0,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34
99999,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
99999,4,0,0,1,1,0,0,24,0,0,0,0,0,0,24,0,24
