cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3101,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,208
3101,0,0,0,0,0,0,0,0,0,0,293,0,0,0,293,0,293
3101,0,0,0,0,0,0,0,0,0,0,231,0,0,231,0,0,231
3101,0,0,0,0,0,0,0,0,0,0,356,0,0,356,356,0,356
3101,0,0,0,0,0,0,0,0,0,0,142,0,142,0,0,0,142
3101,0,0,0,0,0,0,0,0,0,0,97,0,97,97,97,0,97
3101,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,171
3101,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,131
3101,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,10
3101,0,0,0,0,1,0,0,0,0,0,16,0,0,16,16,0,16
3101,0,0,0,1,0,0,0,0,0,0,145,0,0,0,0,0,145
3101,0,0,0,1,0,0,0,0,0,0,31,0,0,0,31,0,31
3101,0,0,0,1,0,0,0,0,0,0,178,0,0,178,178,0,178
3101,0,0,0,1,0,0,0,0,0,0,51,0,51,51,51,0,51
3101,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,4
3101,0,0,0,1,1,0,0,0,0,0,615,0,0,0,0,0,615
3101,0,0,0,1,1,0,0,0,0,0,60,0,0,60,60,0,60
3101,0,1,0,1,1,0,0,0,0,0,131,0,0,0,131,0,131
3101,1,0,0,0,1,0,0,0,0,0,90,0,0,90,0,0,90
3101,2,0,0,1,1,0,0,0,0,0,0,0,0,0,176,0,176
3101,2,0,0,1,1,0,0,132,0,0,0,0,0,0,132,132,132
3101,3,0,0,0,0,0,0,0,0,0,580,0,0,0,580,0,580
3101,4,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,4
3101,5,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8
3101,6,0,0,1,1,0,0,0,0,0,11,0,0,0,11,0,11
3101,7,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29
3101,8,0,0,1,0,0,0,0,0,0,72,0,0,72,0,0,72
3101,9,0,0,1,0,0,188,0,0,0,0,0,0,0,0,0,188
3101,9,0,1,1,1,0,0,0,0,0,9,0,0,0,0,0,9
3101,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11
3101,10,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,13
3101,10,0,0,0,0,0,0,0,0,0,101,0,0,101,101,0,101
3101,10,0,0,0,0,0,89,0,0,0,0,0,0,89,89,89,89
3101,10,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,5
3101,10,0,1,1,1,0,0,0,0,0,6,0,0,6,6,0,6
3101,11,0,0,0,0,0,0,0,0,0,16,0,0,16,16,0,16
3101,11,0,0,0,0,0,0,0,0,0,319,319,0,0,0,319,319
3101,11,0,0,1,0,0,0,0,0,0,84,0,0,84,0,0,84
3101,11,0,0,1,1,0,0,158,0,0,0,0,0,0,0,0,158
3101,11,1,0,1,1,0,0,0,0,0,184,0,0,0,184,0,184
3101,12,0,0,0,0,0,0,0,0,0,24,0,24,24,0,0,24
3101,13,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11
3101,13,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,25
3101,13,0,0,1,0,0,0,0,0,0,3,0,0,3,3,0,3
3101,14,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,277
3101,14,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5
3101,14,0,0,0,1,0,0,0,0,0,180,0,0,0,0,0,180
3101,14,0,0,1,0,0,0,0,0,0,142,142,0,0,142,0,142
3101,14,0,0,1,1,0,0,0,0,0,84,0,0,0,84,0,84
3101,15,0,0,1,0,0,0,0,0,0,82,0,0,82,0,0,82
3101,15,1,0,1,1,0,0,0,0,0,74,0,0,74,74,0,74
3101,16,0,0,1,0,0,0,0,0,0,126,0,0,126,126,0,126
3101,18,0,0,0,0,0,0,0,0,0,0,156,0,0,0,156,156
3101,18,0,0,0,0,0,0,0,0,0,45,0,0,45,45,0,45
3101,19,0,0,0,0,0,0,0,0,0,14,0,14,14,14,0,14
3101,19,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,7
3101,19,0,0,1,0,0,0,0,0,0,170,170,0,0,170,0,170
3101,20,0,0,0,0,0,255,0,0,0,255,0,255,255,255,0,255
3101,21,0,0,0,0,0,0,0,0,0,0,124,0,0,124,124,124
3101,21,0,0,1,1,19,0,0,0,0,0,0,0,0,0,0,19
3101,22,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
3101,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
3101,23,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20
3101,24,0,0,0,1,0,0,0,0,0,4,0,4,0,4,0,4
3101,25,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8
3101,25,0,0,0,0,0,0,0,0,0,17,0,17,17,17,0,17
3101,26,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,15
3101,26,1,0,1,1,50,0,0,0,0,50,0,0,0,50,0,50
3101,27,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11
3101,27,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,24
3101,27,0,1,1,0,0,0,0,0,0,11,0,0,11,11,0,11
3101,28,0,0,0,0,0,0,0,0,0,122,0,0,0,122,0,122
3101,28,0,0,0,1,0,0,0,0,0,16,0,16,16,16,0,16
3101,29,1,0,1,0,0,0,0,0,0,56,56,0,0,56,0,56
3101,31,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6
3101,32,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16
3101,32,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14
3101,32,0,0,0,0,0,0,0,0,0,118,0,118,118,0,0,118
3101,32,0,0,0,0,0,354,0,0,0,354,0,0,0,0,0,354
3101,33,0,0,0,0,0,0,0,0,0,163,0,0,163,0,0,163
3101,33,1,0,0,0,0,0,0,0,0,120,0,0,120,120,0,120
3101,34,0,0,0,0,0,0,0,0,0,63,0,0,63,0,0,63
3101,35,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,222
3101,35,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,78
3101,35,0,1,1,1,0,0,103,0,0,103,0,0,0,0,0,103
3101,36,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,488
3101,36,0,0,0,0,0,239,0,0,0,239,0,0,0,0,0,239
3101,36,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,30
3101,37,0,0,0,0,0,0,0,0,0,673,0,0,0,0,0,673
3101,37,0,0,1,0,0,0,0,0,0,175,0,0,0,0,0,175
3101,37,0,0,1,0,0,0,144,0,0,144,0,144,0,0,0,144
3101,38,0,0,0,1,27,0,0,0,0,27,0,0,0,27,0,27
3101,38,1,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10
3101,39,0,0,1,0,0,0,0,0,0,6,0,0,0,6,0,6
3101,39,0,0,1,1,0,0,332,0,0,0,0,0,332,332,0,332
3101,39,1,0,1,1,0,0,0,0,0,16,0,0,0,16,0,16
3101,40,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
