state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
33,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,1086
33,0,0,0,0,0,0,0,0,0,0,374,0,0,0,374,0,374
33,0,0,0,0,0,0,0,0,0,0,1226,0,0,1226,0,0,1226
33,0,0,0,0,0,0,0,0,0,0,484,0,0,484,484,0,484
33,0,0,0,0,0,0,0,0,0,0,182,0,182,0,0,0,182
33,0,0,0,0,0,0,0,0,0,0,27,0,27,0,27,0,27
33,0,0,0,0,0,0,0,0,0,0,525,0,525,525,0,0,525
33,0,0,0,0,0,0,0,0,0,0,67,0,67,67,67,0,67
33,0,0,0,0,0,0,0,0,0,0,72,0,72,72,72,72,72
33,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,162
33,0,0,0,0,0,0,103,0,0,0,0,0,0,103,0,0,103
33,0,0,0,0,0,27,27,27,0,0,27,27,0,0,27,27,27
33,0,0,0,0,1,0,0,0,0,0,83,0,0,0,0,0,83
33,0,0,0,0,1,0,0,0,0,0,153,153,0,0,0,0,153
33,0,0,0,1,0,0,0,0,0,0,695,0,0,0,0,0,695
33,0,0,0,1,0,0,0,0,0,0,345,0,0,345,0,0,345
33,0,0,0,1,0,0,0,0,0,0,375,0,0,375,375,0,375
33,0,0,0,1,0,0,0,0,0,0,14,0,14,14,0,0,14
33,0,0,0,1,0,0,20,0,0,0,0,0,0,20,20,20,20
33,0,0,0,1,1,0,0,0,0,0,145,0,0,0,0,0,145
33,0,0,0,1,1,0,0,0,0,0,325,0,0,0,325,0,325
33,0,0,0,1,1,0,0,0,0,0,80,0,0,80,80,0,80
33,0,0,0,1,1,0,0,152,0,0,0,152,0,0,0,0,152
33,0,0,0,1,1,0,0,28,0,0,28,0,0,0,0,0,28
33,0,0,0,1,1,60,0,0,0,0,60,0,0,60,0,0,60
33,1,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41
33,1,0,0,0,0,0,0,0,0,0,32,0,32,32,32,0,32
33,2,0,0,0,0,0,0,0,0,0,57,0,57,57,57,0,57
33,2,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,20
33,2,0,0,1,1,0,0,0,0,0,256,0,0,0,0,0,256
33,4,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31
33,4,0,0,1,0,0,0,0,0,0,135,0,0,0,135,0,135
33,5,0,0,1,0,0,0,0,0,0,209,0,0,0,0,0,209
33,5,0,0,1,0,0,0,0,0,0,91,91,0,0,0,0,91
33,5,0,0,1,1,0,0,0,0,0,216,0,0,0,216,0,216
