puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,92
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,104
3500100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100
3500100,0,0,0,0,0,35,0,0,0,0,0,0,0,35,0,0,35
3500100,0,0,0,0,0,109,0,0,0,0,0,0,0,109,0,109,109
3500100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,0,0,62,0,0,0,0,0,0,0,62,62,62,62
3500100,0,0,0,0,0,173,0,0,0,0,0,173,0,0,0,0,173
3500100,0,0,0,0,1,0,0,0,0,0,29,29,0,0,0,0,29
3500100,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,70
3500100,0,0,0,0,1,28,0,0,0,0,0,0,0,0,28,28,28
3500100,0,0,0,0,1,40,0,0,0,0,0,0,0,40,0,40,40
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,87,0,0,0,0,0,0,0,0,0,0,87
3500100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,0,22,0,0,0,0,0,0,0,22,0,22,22
3500100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3500100,0,0,0,1,1,501,0,0,0,0,0,0,0,0,0,0,501
3500100,0,0,0,1,1,179,0,0,0,0,0,0,0,0,0,179,179
3500100,0,0,0,1,1,260,0,0,0,0,0,0,0,0,260,0,260
3500100,0,0,0,1,1,140,0,0,0,0,0,0,0,0,140,140,140
3500100,0,0,0,1,1,133,0,0,0,0,0,0,0,133,0,0,133
3500100,0,0,0,1,1,163,0,0,0,0,0,0,0,163,0,163,163
3500100,0,0,0,1,1,59,0,0,0,0,0,0,0,59,59,0,59
3500100,0,0,0,1,1,33,0,0,0,0,0,0,0,33,33,33,33
3500100,0,0,0,1,1,228,0,0,0,0,0,228,0,0,0,0,228
3500100,0,0,0,1,1,23,0,0,0,0,23,0,0,0,0,0,23
3500100,0,0,0,1,1,28,0,28,0,0,0,0,0,0,0,0,28
3500100,1,0,0,1,0,28,0,0,0,0,0,0,0,28,28,28,28
3500100,2,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,34
3500100,3,0,0,1,1,40,0,0,0,0,0,0,40,0,40,40,40
