SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000065,122,0,0,1,0,3200405,137,0,0,0,0,0,137,137,0,0,0,137
2021HU0000272,501,0,0,0,0,3200402,90,0,0,0,0,0,90,0,0,90,90,0
2021HU0000541,195,0,0,1,1,3200406,78,0,0,78,0,0,0,0,0,0,0,0
2021HU0000658,501,0,0,0,0,3200404,89,0,0,0,0,0,89,89,89,0,89,0
2021HU0000927,501,0,0,0,0,3200102,50,0,0,0,0,0,50,0,0,50,0,0
2021HU0000948,501,0,0,0,0,3200102,168,0,0,0,0,0,168,0,0,168,0,0
2021HU0001085,501,0,0,0,0,3200300,125,0,125,0,0,0,0,0,0,0,0,0
2021HU0001157,149,0,1,1,0,3200407,58,0,0,0,0,0,58,0,0,58,0,0
2021HU0001204,501,0,0,0,0,3200412,56,0,0,56,0,0,0,0,0,0,0,0
2021HU0001266,170,0,0,0,0,3200407,55,0,0,0,0,0,55,0,0,0,0,0
2021HU0001299,501,0,0,0,0,3200101,78,0,78,0,0,0,0,0,0,0,0,78
2021HU0001622,82,1,1,1,1,3200403,59,59,0,59,0,0,59,0,0,59,59,59
2021HU0001629,501,0,0,0,0,3200200,80,0,80,0,0,0,80,0,0,80,0,0
2021HU0001743,205,0,0,0,0,3200409,108,0,0,0,0,0,108,0,0,108,0,0
2021HU0001944,312,0,0,0,0,3200103,62,0,0,0,0,0,62,0,62,0,0,0
2021HU0001996,501,0,0,0,0,3200406,73,0,0,73,0,0,73,73,73,0,0,73
2021HU0002067,501,0,0,0,0,3200101,55,0,55,0,0,0,55,0,0,55,55,0
2021HU0002141,404,0,0,0,0,3200408,26,0,0,0,0,0,26,0,0,26,26,0
2021HU0002155,101,1,0,1,1,3200406,189,0,0,0,0,0,189,189,0,189,189,189
2021HU0002159,326,0,0,0,0,3200404,52,0,0,0,0,0,52,0,0,52,52,0
2021HU0002165,2,0,0,0,0,3200409,60,0,60,0,0,0,0,0,0,0,0,0
2021HU0002204,501,0,0,0,0,3200408,48,0,48,0,0,0,0,0,48,48,0,0
2021HU0002259,161,0,0,0,1,3200401,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0002352,501,0,0,0,0,3200411,282,0,0,0,0,0,282,0,0,0,0,0
2021HU0002371,264,0,0,0,0,3200408,61,0,61,0,0,0,0,0,0,0,0,61
2021HU0002536,432,0,0,0,0,3200407,307,0,307,0,0,0,0,0,0,0,0,0
2021HU0002588,315,0,0,1,0,3200101,54,0,0,0,0,0,54,54,0,54,54,54
2021HU0002726,98,0,0,1,0,3200408,348,0,0,0,0,0,348,0,0,0,348,0
2021HU0003061,249,0,0,1,0,3200101,96,0,0,0,0,0,96,0,0,0,0,0
2021HU0003066,137,0,0,0,0,3200101,56,0,0,0,0,0,56,0,0,56,56,0
2021HU0003491,337,1,1,1,1,3200103,84,0,0,0,0,0,84,0,0,84,84,0
2021HU0003660,70,0,1,1,0,3200402,155,0,0,155,0,0,0,0,0,155,155,0
2021HU0003749,430,0,0,0,0,3200408,50,0,0,0,0,0,50,0,0,50,50,0
2021HU0003886,27,0,0,1,1,3200408,152,0,0,0,0,0,152,152,0,0,0,0
2021HU0003957,501,0,0,0,0,3200412,188,0,0,0,0,0,188,188,0,0,0,0
2021HU0004145,2,0,0,0,0,3200407,48,0,0,0,0,0,48,0,0,48,0,0
2021HU0004303,372,0,0,0,0,3200101,114,0,0,0,0,0,0,114,0,0,0,0
2021HU0004358,222,0,0,0,0,3200409,262,0,0,262,0,0,0,0,0,0,0,0
2021HU0004739,249,0,0,0,0,3200401,66,0,66,0,0,0,0,66,66,66,0,66
2021HU0004868,501,0,0,0,0,3200401,180,0,0,0,0,0,180,0,0,180,0,0
2021HU0004871,350,0,0,1,0,3200403,123,0,0,0,0,0,0,123,0,0,123,123
2021HU0004939,501,0,0,0,0,3200102,69,0,0,0,0,0,69,0,0,0,0,0
2021HU0005033,54,0,0,1,0,3200409,37,0,0,0,0,0,37,0,0,37,0,0
2021HU0005061,372,0,0,0,0,3200408,64,64,0,64,0,0,0,64,0,0,0,0
2021HU0005116,402,1,0,0,0,3200410,48,0,48,0,0,0,0,0,0,0,0,0
2021HU0005118,361,0,0,0,0,3200103,73,0,0,0,0,0,73,0,0,0,0,0
2021HU0005487,432,0,0,0,0,3200200,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0005518,446,0,0,0,0,3200404,138,0,0,0,0,0,0,138,0,0,0,138
2021HU0005697,0,0,0,0,0,3200412,61,0,0,0,0,0,61,61,0,0,0,0
2021HU0005753,501,0,0,0,0,3200412,91,0,0,0,0,0,91,0,91,91,0,91
2021HU0005840,20,0,0,0,0,3200407,79,0,0,0,0,0,79,0,0,0,0,0
2021HU0005849,501,0,0,0,0,3200408,187,0,187,0,0,0,0,0,0,187,0,187
2021HU0005875,118,0,0,0,0,3200409,150,0,150,0,0,0,0,0,0,0,0,150
2021HU0005978,85,0,0,0,0,3200102,79,0,0,0,0,0,79,0,0,0,0,0
2021HU0006023,257,1,0,1,1,3200405,144,0,0,0,0,0,144,0,0,0,144,0
2021HU0006115,279,0,0,0,0,3200200,109,0,0,0,0,0,109,0,0,109,109,0
2021HU0006223,501,0,0,0,0,3200200,7,0,0,0,0,0,7,0,7,7,0,0
2021HU0006242,501,0,0,0,0,3200407,60,0,0,60,0,0,60,0,0,60,0,0
2021HU0006276,262,0,0,0,0,3200410,31,0,0,0,0,0,31,0,0,31,0,0
2021HU0006454,375,0,0,0,0,3200409,44,0,0,0,0,0,44,0,0,44,0,0
2021HU0006501,501,0,0,0,0,3200404,198,0,0,0,0,0,198,198,0,0,0,198
2021HU0006515,155,0,0,1,0,3200412,287,0,0,0,0,0,287,0,0,0,0,0
2021HU0006686,501,0,0,0,0,3200406,77,77,0,0,0,0,77,0,77,0,77,0
2021HU0006840,403,0,0,0,0,3200409,55,0,0,0,0,0,55,0,0,0,0,55
2021HU0007423,501,0,0,0,0,3200402,38,0,0,0,0,0,38,0,0,0,0,0
2021HU0007482,370,0,0,0,0,3200412,532,0,0,0,0,0,532,0,0,0,0,0
2021HU0007527,344,0,0,0,0,3200413,223,0,0,0,0,0,223,0,0,0,0,0
2021HU0007576,230,0,0,0,1,3200102,57,0,0,0,0,0,57,0,0,0,0,0
2021HU0007627,224,0,0,1,0,3200411,59,0,0,0,0,0,59,0,0,0,0,0
2021HU0007649,501,0,0,0,0,3200102,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0007788,501,1,0,0,0,3200403,370,0,0,370,0,0,0,0,0,0,0,0
2021HU0007795,501,0,0,0,0,3200413,68,0,0,0,0,0,68,0,68,68,0,0
2021HU0007879,366,0,0,0,0,3200101,160,0,0,0,0,0,160,0,0,0,0,0
2021HU0007907,501,0,0,0,0,3200413,151,0,151,0,0,0,151,0,0,0,0,0
2021HU0008005,217,0,0,0,0,3200408,64,0,0,0,0,0,64,0,0,64,0,0
2021HU0008006,167,0,0,0,0,3200401,50,0,0,50,0,0,0,0,0,0,50,0
2021HU0008203,210,0,0,0,0,3200407,60,0,0,0,0,0,60,60,0,60,0,60
2021HU0008301,88,1,0,1,1,3200101,113,0,0,0,0,0,0,113,0,0,0,0
2021HU0008335,317,0,0,0,0,3200408,53,0,0,0,0,0,53,0,0,53,0,0
2021HU0008472,501,0,0,0,0,3200101,96,0,96,0,0,0,96,0,96,0,0,0
2021HU0008659,27,0,0,0,0,3200402,124,0,0,0,0,0,124,0,0,0,0,0
2021HU0008941,501,0,0,0,0,3200401,47,0,47,0,0,0,0,0,0,47,0,0
2021HU0008963,501,0,0,0,0,3200101,56,0,0,0,0,0,56,0,0,0,0,0
2021HU0009048,501,0,0,0,0,3200408,67,0,0,0,0,0,67,0,0,67,67,0
2021HU0009297,321,0,0,0,0,3200412,171,0,0,0,0,0,171,171,0,0,0,0
2021HU0009450,207,0,0,1,0,3200408,47,0,0,47,0,0,47,0,0,47,47,0
2021HU0009452,172,1,0,1,0,3200407,247,0,0,247,0,0,0,0,0,0,0,0
2021HU0009480,202,0,0,0,0,3200401,90,0,0,0,0,0,90,0,0,90,0,0
2021HU0009498,330,0,0,0,0,3200404,39,0,0,0,0,0,39,39,0,0,39,39
2021HU0009567,287,0,1,1,0,3200103,49,0,0,0,0,0,49,0,0,49,49,0
2021HU0009854,501,0,0,0,0,3200407,50,0,50,0,0,0,0,0,0,50,0,0
2021HU0009860,434,0,0,0,0,3200408,122,0,0,0,0,0,122,0,0,0,0,0
2021HU0010138,245,1,0,1,1,3200405,61,0,0,0,0,0,61,0,0,61,61,0
2021HU0010383,426,0,0,0,0,3200401,319,0,0,0,0,0,319,0,0,319,319,0
2021HU0010421,501,0,0,0,0,3200404,41,0,0,0,0,0,41,41,41,41,0,41
2021HU0010986,501,0,0,0,0,3200409,34,0,0,0,0,0,34,0,0,34,0,0
2021HU0011349,501,0,0,0,0,3200200,66,0,0,66,0,0,66,66,0,0,66,0
2021HU0011450,481,0,0,0,0,3200406,67,0,0,0,0,0,67,67,67,67,67,0
2021HU0011548,216,0,0,0,0,3200411,130,0,0,0,0,0,130,0,0,0,0,0
2021HU0011555,441,0,0,0,0,3200200,48,0,0,0,0,0,48,0,0,48,48,0
2021HU0011587,501,0,0,0,0,3200411,84,0,0,0,0,0,84,0,84,84,0,0
2021HU0011718,241,0,0,1,0,3200101,37,0,0,0,0,0,0,37,0,37,0,37
2021HU0011823,230,0,0,0,0,3200406,77,0,0,0,0,0,77,0,0,77,0,0
2021HU0011949,0,0,0,0,0,3200404,85,0,0,0,0,0,0,85,0,0,0,85
2021HU0011957,192,0,0,1,1,3200101,51,0,0,0,0,0,51,0,0,51,51,0
2021HU0011972,304,0,0,1,0,3200101,51,0,0,0,0,0,51,0,0,51,51,0
2021HU0012440,468,0,0,0,0,3200101,66,0,66,0,0,0,0,0,0,0,0,66
2021HU0012596,408,0,0,0,0,3200200,95,0,0,0,0,0,95,0,0,0,0,0
2021HU0012717,87,1,0,1,1,3200102,60,60,0,0,0,0,60,0,0,60,60,0
2021HU0012833,501,0,0,0,0,3200300,104,0,0,0,0,0,104,0,104,104,104,0
2021HU0012849,209,0,0,0,0,3200407,110,0,110,0,0,0,0,0,0,110,0,0
2021HU0012909,242,0,0,0,0,3200103,350,0,0,0,0,0,350,350,0,0,350,0
2021HU0012981,257,0,0,0,0,3200402,55,0,0,0,0,0,55,0,0,55,55,0
2021HU0013032,411,0,0,0,0,3200103,191,0,0,0,0,0,0,191,0,0,0,191
2021HU0013274,238,0,0,0,0,3200410,141,0,0,141,0,0,0,0,0,141,141,0
2021HU0013443,501,0,0,0,0,3200403,69,0,0,0,0,69,0,0,69,69,69,0
2021HU0013812,33,0,0,1,0,3200411,44,0,0,0,0,0,44,44,0,44,0,0
2021HU0013854,226,1,0,0,0,3200407,59,0,0,0,0,0,59,0,0,59,59,0
2021HU0013972,205,1,1,1,0,3200406,50,0,0,0,0,0,50,0,0,50,50,0
2021HU0014061,225,0,0,0,0,3200200,56,0,0,0,0,0,56,0,56,0,0,0
2021HU0014175,501,0,0,0,0,3200402,184,0,0,0,0,0,184,0,0,0,0,0
2021HU0014228,84,1,0,0,0,3200413,305,0,0,0,0,0,0,0,0,0,0,0
2021HU0014412,501,0,0,0,0,3200300,118,0,0,0,0,0,118,0,0,0,0,0
2021HU0014494,501,0,0,0,0,3200408,141,0,0,0,0,0,141,141,0,0,0,0
2021HU0014821,464,0,0,0,0,3200407,59,0,0,0,0,0,59,0,0,59,0,0
2021HU0014937,163,0,1,1,0,3200103,67,0,0,0,0,0,67,67,0,67,0,67
2021HU0015203,501,0,0,0,0,3200411,84,0,0,0,0,0,84,0,84,84,0,0
2021HU0015471,268,0,0,0,0,3200103,76,0,0,0,0,0,0,76,76,76,76,76
2021HU0015583,445,0,0,0,0,3200411,51,0,0,0,0,0,51,51,0,0,0,0
2021HU0015584,350,0,0,0,0,3200101,58,0,0,0,0,0,58,0,0,58,58,0
2021HU0015979,399,0,0,0,0,3200401,350,0,350,0,0,0,0,0,0,0,0,0
2021HU0015985,180,0,0,1,0,3200103,56,56,0,0,0,0,56,56,0,0,0,0
2021HU0016046,272,0,0,1,1,3200406,48,0,0,0,0,0,48,0,0,48,0,0
2021HU0016225,501,0,0,0,0,3200401,59,0,0,0,0,0,59,0,0,59,0,0
2021HU0016228,146,1,0,1,1,3200409,274,0,0,274,0,0,0,0,0,274,274,0
2021HU0016288,293,0,0,0,0,3200200,83,0,0,0,0,0,83,83,0,0,0,0
2021HU0016307,388,0,0,0,0,3200402,31,0,0,0,0,0,31,0,0,0,0,31
2021HU0016698,253,0,0,0,0,3200410,156,0,0,156,0,0,156,0,0,0,0,0
2021HU0016709,501,0,0,0,0,3200401,89,0,0,0,0,0,89,89,89,89,0,0
2021HU0016868,101,0,0,1,1,3200406,142,0,0,0,0,0,0,142,0,0,0,0
2021HU0017002,91,0,0,1,1,3200404,72,0,0,0,0,0,72,72,0,72,0,72
2021HU0017085,501,0,0,0,0,3200200,51,0,0,0,0,0,51,0,0,51,0,51
2021HU0017105,501,0,0,0,0,3200412,59,0,0,0,0,0,59,0,0,0,0,0
2021HU0017207,501,0,0,0,0,3200404,53,0,0,0,0,0,53,0,53,53,53,0
2021HU0017272,501,1,0,0,0,3200403,108,0,0,0,0,0,108,108,0,0,0,108
2021HU0017320,14,0,0,1,0,3200407,63,0,0,0,0,0,63,0,0,63,63,0
2021HU0017664,300,0,0,0,0,3200407,278,0,0,0,0,0,278,0,0,0,0,0
2021HU0017779,354,0,0,0,0,3200200,30,0,0,0,0,0,30,0,0,0,30,0
2021HU0017841,479,0,0,0,0,3200413,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0018026,198,0,0,0,0,3200102,30,0,0,0,0,0,30,0,0,30,0,0
2021HU0018082,501,0,0,0,0,3200102,55,0,0,0,0,0,55,0,0,55,0,0
2021HU0018161,501,0,0,0,0,3200411,51,0,0,0,0,0,51,0,0,51,0,0
2021HU0018227,218,0,0,1,0,3200413,175,0,0,0,0,0,175,175,0,0,0,0
2021HU0018668,343,0,0,0,0,3200200,176,176,0,176,0,0,176,0,0,176,176,0
2021HU0018669,501,0,0,0,0,3200102,51,0,0,0,0,0,51,0,0,51,0,0
2021HU0018682,174,0,0,0,0,3200409,72,0,0,72,0,0,72,0,72,72,72,0
2021HU0018763,82,0,0,1,1,3200412,59,0,0,0,0,0,59,0,0,59,59,0
2021HU0019187,209,0,0,0,0,3200101,92,0,0,0,0,0,92,0,0,0,0,92
2021HU0019402,381,0,0,0,0,3200410,58,0,58,0,0,0,58,58,0,0,0,0
