metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
33874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
33874,0,0,0,0,0,0,0,0,0,0,1249,0,0,0,0,0,1249
33874,0,0,0,0,0,0,0,0,0,0,203,0,0,0,203,0,203
33874,0,0,0,0,0,0,0,0,0,0,1259,0,0,1259,0,0,1259
33874,0,0,0,0,0,0,0,0,0,0,320,0,0,320,320,0,320
33874,0,0,0,0,0,0,0,0,0,0,235,0,235,235,0,0,235
33874,0,0,0,0,0,0,0,0,0,0,316,0,316,316,316,0,316
33874,0,0,0,0,0,0,0,0,0,0,368,368,0,0,0,0,368
33874,0,0,0,0,0,0,0,0,0,0,156,156,156,0,156,0,156
33874,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,119
33874,0,0,0,0,0,0,0,62,0,0,0,0,62,62,0,0,62
33874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33874,0,0,0,0,0,0,96,0,0,0,0,0,0,96,96,0,96
33874,0,0,0,0,0,0,81,0,0,0,0,0,0,81,81,81,81
33874,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30
33874,0,0,0,0,0,151,0,0,0,0,151,151,0,0,0,0,151
33874,0,0,0,0,1,0,0,0,0,0,149,0,0,149,0,0,149
33874,0,0,0,0,1,0,0,90,0,0,0,0,0,90,0,0,90
33874,0,0,0,1,0,0,0,0,0,0,421,0,0,0,0,0,421
33874,0,0,0,1,0,0,0,0,0,0,234,0,0,0,234,0,234
33874,0,0,0,1,0,0,0,0,0,0,378,0,0,378,0,0,378
33874,0,0,0,1,0,0,0,0,0,0,74,0,0,74,74,0,74
33874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33874,0,0,0,1,0,0,0,0,0,0,70,70,0,0,0,70,70
33874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33874,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33874,0,0,0,1,0,0,0,28,0,0,28,0,0,28,28,0,28
33874,0,0,0,1,1,0,0,0,0,0,523,0,0,0,0,0,523
33874,0,0,0,1,1,0,0,0,0,0,157,0,0,0,157,0,157
33874,0,0,0,1,1,0,0,0,0,0,586,586,0,0,586,0,586
33874,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33874,0,0,0,1,1,0,0,120,0,0,0,0,0,120,120,0,120
33874,0,0,0,1,1,0,0,229,0,0,0,229,0,0,0,229,229
33874,0,0,0,1,1,43,0,0,0,0,43,0,0,0,43,0,43
33874,1,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,130
33874,1,0,0,0,0,0,0,0,0,0,140,140,0,0,140,0,140
33874,1,0,0,1,1,0,0,165,0,0,165,0,0,0,165,0,165
33874,2,0,0,0,0,0,0,0,0,0,152,152,0,0,0,0,152
33874,2,0,0,1,0,0,0,0,0,0,246,0,0,0,0,0,246
33874,2,0,0,1,1,0,0,345,0,0,0,0,0,0,0,345,345
33874,2,1,0,1,1,0,0,0,0,0,239,0,0,0,239,0,239
33874,2,1,0,1,1,0,0,0,0,0,257,257,0,0,257,0,257
