metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,41
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,110
99999,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,1178
99999,0,0,0,0,0,0,0,0,0,0,785,0,0,785,0,0,785
99999,0,0,0,0,0,0,0,0,0,0,192,0,0,192,192,0,192
99999,0,0,0,0,0,0,0,0,0,0,153,0,153,153,153,0,153
99999,0,0,0,0,0,0,0,0,0,0,103,103,0,0,0,0,103
99999,0,0,0,0,0,0,0,0,0,0,211,211,0,211,0,211,211
99999,0,0,0,0,0,0,0,0,0,225,225,0,0,225,0,0,225
99999,0,0,0,0,0,0,0,292,0,0,0,292,0,0,0,0,292
99999,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,39
99999,0,0,0,0,0,56,0,0,0,0,0,56,0,56,0,56,56
99999,0,0,0,0,1,0,0,0,0,0,0,93,0,0,0,0,93
99999,0,0,0,0,1,0,0,0,0,0,0,280,0,280,0,280,280
99999,0,0,0,0,1,0,0,0,0,0,0,65,0,65,65,65,65
99999,0,0,0,0,1,0,0,174,0,0,0,0,0,0,0,0,174
99999,0,0,0,0,1,0,0,152,0,0,0,152,0,152,0,152,152
99999,0,0,0,0,1,0,62,0,0,0,62,62,0,0,0,0,62
99999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79
99999,0,0,0,1,0,0,0,0,0,0,0,310,0,310,0,310,310
99999,0,0,0,1,0,0,0,0,0,0,0,135,0,135,135,135,135
99999,0,0,0,1,0,0,0,0,0,0,528,0,0,0,0,0,528
99999,0,0,0,1,0,0,0,0,0,0,189,0,0,189,0,0,189
99999,0,0,0,1,0,0,0,0,0,0,58,0,0,58,58,58,58
99999,0,0,0,1,0,0,0,0,0,0,93,93,0,0,93,0,93
99999,0,0,0,1,0,0,0,0,0,0,64,64,64,0,64,0,64
99999,0,0,0,1,0,0,0,165,0,0,165,0,0,0,0,0,165
99999,0,0,0,1,0,0,47,0,0,0,0,0,0,47,0,47,47
99999,0,0,0,1,1,0,0,0,0,0,0,362,0,0,0,362,362
99999,0,0,0,1,1,0,0,0,0,0,72,0,0,0,72,0,72
99999,0,0,0,1,1,0,0,0,0,0,147,0,0,147,0,0,147
99999,0,0,0,1,1,0,0,0,0,0,62,0,0,62,62,0,62
99999,0,0,0,1,1,0,0,0,0,0,41,41,0,0,41,0,41
99999,0,0,0,1,1,0,0,0,0,0,209,209,0,209,0,209,209
99999,0,0,0,1,1,0,0,0,0,265,0,265,0,265,0,0,265
99999,0,0,0,1,1,0,0,46,0,0,0,0,0,0,46,0,46
99999,0,0,0,1,1,0,0,62,0,0,0,0,0,62,0,0,62
99999,0,0,0,1,1,0,0,132,0,0,132,0,0,0,0,0,132
99999,0,0,0,1,1,34,0,0,0,0,0,0,0,0,34,0,34
99999,0,0,1,1,0,0,0,0,0,0,71,71,0,0,0,0,71
99999,0,0,1,1,1,0,0,0,0,0,358,0,0,0,358,0,358
99999,0,1,0,1,1,0,0,0,0,0,78,78,0,0,0,78,78
99999,2,0,0,1,0,0,0,0,0,0,0,198,0,0,198,198,198
99999,2,0,0,1,0,0,0,0,0,0,127,0,0,127,0,0,127
99999,2,0,0,1,0,0,0,215,0,0,0,215,0,0,215,0,215
99999,2,1,0,1,1,0,0,0,0,0,153,0,0,0,153,0,153
99999,3,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,195
99999,3,1,0,1,0,0,0,0,0,0,167,167,0,0,0,0,167
99999,3,1,0,1,0,0,36,0,0,0,0,0,0,36,36,36,36
99999,5,0,0,0,1,43,0,0,0,0,43,0,0,0,0,0,43
99999,5,0,0,1,1,0,0,61,0,0,0,0,0,61,61,0,61
99999,5,0,0,1,1,0,0,88,0,0,88,0,0,0,0,0,88
99999,5,1,0,1,1,0,0,315,0,0,0,0,0,0,315,0,315
99999,6,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,238
99999,6,1,0,1,1,0,0,0,0,0,67,0,0,67,67,0,67
99999,7,0,0,0,0,0,0,0,0,0,205,0,0,205,0,0,205
99999,7,0,0,0,0,0,0,0,0,0,103,0,0,103,0,103,103
99999,7,0,0,0,0,0,0,89,0,0,89,0,0,0,0,0,89
99999,7,0,0,1,0,0,0,0,0,0,0,176,0,0,0,0,176
99999,7,0,0,1,1,0,0,0,0,0,0,223,0,0,0,0,223
99999,7,0,0,1,1,0,0,0,0,0,90,90,0,90,90,0,90
99999,7,0,0,1,1,0,0,48,0,0,0,0,0,48,48,0,48
99999,7,1,0,1,1,0,0,0,0,0,36,36,0,36,0,0,36
99999,8,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,77
99999,8,0,0,0,0,0,0,0,0,0,181,0,0,0,181,0,181
99999,8,0,0,0,0,0,0,0,0,0,99,0,0,99,0,0,99
99999,8,0,0,0,1,0,0,0,0,0,61,0,0,0,61,0,61
99999,8,1,0,1,1,0,0,0,0,0,41,0,0,41,41,0,41
99999,9,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,180
99999,9,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,57
99999,9,0,0,1,1,0,0,85,0,0,0,85,0,0,85,0,85
99999,10,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,132
99999,10,0,0,0,0,0,0,0,0,0,62,0,0,62,62,0,62
99999,10,0,0,0,0,29,0,0,0,0,0,0,0,29,29,0,29
99999,10,0,0,0,1,0,0,0,0,0,80,0,0,80,80,0,80
99999,10,0,0,1,0,0,0,0,0,0,107,0,0,107,0,0,107
99999,10,0,0,1,1,0,0,0,0,0,71,0,0,71,0,0,71
99999,10,0,0,1,1,0,0,0,0,0,251,251,0,0,0,0,251
99999,10,0,1,1,1,0,0,0,0,0,0,73,0,73,73,0,73
99999,10,0,1,1,1,0,0,0,0,0,185,185,0,185,185,185,185
99999,10,1,0,1,1,0,0,0,0,0,57,0,57,57,0,0,57
99999,11,0,0,0,0,0,0,0,0,0,133,0,0,133,0,0,133
99999,11,0,0,0,0,0,0,0,0,0,50,0,0,50,0,50,50
99999,11,0,0,1,0,0,0,0,0,0,148,0,0,148,0,0,148
99999,11,0,0,1,1,0,0,0,0,0,38,0,0,38,38,0,38
