puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
4400103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4400103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4400103,0,0,0,0,0,0,0,0,0,0,58,0,0,58,0,0,58
4400103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400103,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
4400103,0,0,0,0,0,0,0,0,0,0,102,102,0,0,0,0,102
4400103,0,0,0,0,0,0,0,288,0,0,0,288,0,0,0,0,288
4400103,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,39
4400103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4400103,0,0,0,0,1,0,0,0,0,0,0,92,0,0,0,0,92
4400103,0,0,0,0,1,0,0,0,0,0,0,277,0,277,0,277,277
4400103,0,0,0,0,1,0,0,0,0,0,0,64,0,64,64,64,64
4400103,0,0,0,0,1,0,0,150,0,0,0,150,0,150,0,150,150
4400103,0,0,0,0,1,0,61,0,0,0,61,61,0,0,0,0,61
4400103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4400103,0,0,0,1,0,0,0,0,0,0,0,306,0,306,0,306,306
4400103,0,0,0,1,0,0,0,0,0,0,0,133,0,133,133,133,133
4400103,0,0,0,1,0,0,0,0,0,0,164,0,0,0,0,0,164
4400103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4400103,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
4400103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4400103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4400103,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2
4400103,0,0,0,1,0,0,46,0,0,0,0,0,0,46,0,46,46
4400103,0,0,0,1,1,0,0,0,0,0,0,358,0,0,0,358,358
4400103,0,0,0,1,1,0,0,0,0,0,76,0,0,76,0,0,76
4400103,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
