state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
44,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,41
44,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,0,110
44,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,1178
44,0,0,0,0,0,0,0,0,0,0,785,0,0,785,0,0,785
44,0,0,0,0,0,0,0,0,0,0,192,0,0,192,192,0,192
44,0,0,0,0,0,0,0,0,0,0,153,0,153,153,153,0,153
44,0,0,0,0,0,0,0,0,0,0,103,103,0,0,0,0,103
44,0,0,0,0,0,0,0,0,0,0,211,211,0,211,0,211,211
44,0,0,0,0,0,0,0,0,0,225,225,0,0,225,0,0,225
44,0,0,0,0,0,0,0,292,0,0,0,292,0,0,0,0,292
44,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,39
44,0,0,0,0,0,56,0,0,0,0,0,56,0,56,0,56,56
44,0,0,0,0,1,0,0,0,0,0,0,93,0,0,0,0,93
44,0,0,0,0,1,0,0,0,0,0,0,280,0,280,0,280,280
44,0,0,0,0,1,0,0,0,0,0,0,65,0,65,65,65,65
44,0,0,0,0,1,0,0,174,0,0,0,0,0,0,0,0,174
44,0,0,0,0,1,0,0,152,0,0,0,152,0,152,0,152,152
44,0,0,0,0,1,0,62,0,0,0,62,62,0,0,0,0,62
44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79
44,0,0,0,1,0,0,0,0,0,0,0,310,0,310,0,310,310
44,0,0,0,1,0,0,0,0,0,0,0,135,0,135,135,135,135
44,0,0,0,1,0,0,0,0,0,0,528,0,0,0,0,0,528
44,0,0,0,1,0,0,0,0,0,0,189,0,0,189,0,0,189
44,0,0,0,1,0,0,0,0,0,0,58,0,0,58,58,58,58
44,0,0,0,1,0,0,0,0,0,0,93,93,0,0,93,0,93
44,0,0,0,1,0,0,0,0,0,0,64,64,64,0,64,0,64
44,0,0,0,1,0,0,0,165,0,0,165,0,0,0,0,0,165
44,0,0,0,1,0,0,47,0,0,0,0,0,0,47,0,47,47
44,0,0,0,1,1,0,0,0,0,0,0,362,0,0,0,362,362
44,0,0,0,1,1,0,0,0,0,0,72,0,0,0,72,0,72
44,0,0,0,1,1,0,0,0,0,0,147,0,0,147,0,0,147
44,0,0,0,1,1,0,0,0,0,0,62,0,0,62,62,0,62
44,0,0,0,1,1,0,0,0,0,0,41,41,0,0,41,0,41
44,0,0,0,1,1,0,0,0,0,0,209,209,0,209,0,209,209
44,0,0,0,1,1,0,0,0,0,265,0,265,0,265,0,0,265
44,0,0,0,1,1,0,0,46,0,0,0,0,0,0,46,0,46
44,0,0,0,1,1,0,0,62,0,0,0,0,0,62,0,0,62
44,0,0,0,1,1,0,0,132,0,0,132,0,0,0,0,0,132
44,0,0,0,1,1,34,0,0,0,0,0,0,0,0,34,0,34
44,0,0,1,1,0,0,0,0,0,0,71,71,0,0,0,0,71
44,0,0,1,1,1,0,0,0,0,0,358,0,0,0,358,0,358
44,0,1,0,1,1,0,0,0,0,0,78,78,0,0,0,78,78
44,2,0,0,1,0,0,0,0,0,0,0,198,0,0,198,198,198
44,2,0,0,1,0,0,0,0,0,0,127,0,0,127,0,0,127
44,2,0,0,1,0,0,0,215,0,0,0,215,0,0,215,0,215
44,2,1,0,1,1,0,0,0,0,0,153,0,0,0,153,0,153
44,3,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,195
44,3,1,0,1,0,0,0,0,0,0,167,167,0,0,0,0,167
44,3,1,0,1,0,0,36,0,0,0,0,0,0,36,36,36,36
44,5,0,0,0,1,43,0,0,0,0,43,0,0,0,0,0,43
44,5,0,0,1,1,0,0,61,0,0,0,0,0,61,61,0,61
44,5,0,0,1,1,0,0,88,0,0,88,0,0,0,0,0,88
44,5,1,0,1,1,0,0,315,0,0,0,0,0,0,315,0,315
44,6,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,238
44,6,1,0,1,1,0,0,0,0,0,67,0,0,67,67,0,67
44,7,0,0,0,0,0,0,0,0,0,205,0,0,205,0,0,205
44,7,0,0,0,0,0,0,0,0,0,103,0,0,103,0,103,103
44,7,0,0,0,0,0,0,89,0,0,89,0,0,0,0,0,89
44,7,0,0,1,0,0,0,0,0,0,0,176,0,0,0,0,176
44,7,0,0,1,1,0,0,0,0,0,0,223,0,0,0,0,223
44,7,0,0,1,1,0,0,0,0,0,90,90,0,90,90,0,90
44,7,0,0,1,1,0,0,48,0,0,0,0,0,48,48,0,48
44,7,1,0,1,1,0,0,0,0,0,36,36,0,36,0,0,36
44,8,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,77
44,8,0,0,0,0,0,0,0,0,0,181,0,0,0,181,0,181
44,8,0,0,0,0,0,0,0,0,0,99,0,0,99,0,0,99
44,8,0,0,0,1,0,0,0,0,0,61,0,0,0,61,0,61
44,8,1,0,1,1,0,0,0,0,0,41,0,0,41,41,0,41
44,9,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,180
44,9,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,57
44,9,0,0,1,1,0,0,85,0,0,0,85,0,0,85,0,85
44,10,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,132
44,10,0,0,0,0,0,0,0,0,0,62,0,0,62,62,0,62
44,10,0,0,0,0,29,0,0,0,0,0,0,0,29,29,0,29
44,10,0,0,0,1,0,0,0,0,0,80,0,0,80,80,0,80
44,10,0,0,1,0,0,0,0,0,0,107,0,0,107,0,0,107
44,10,0,0,1,1,0,0,0,0,0,71,0,0,71,0,0,71
44,10,0,0,1,1,0,0,0,0,0,251,251,0,0,0,0,251
44,10,0,1,1,1,0,0,0,0,0,0,73,0,73,73,0,73
44,10,0,1,1,1,0,0,0,0,0,185,185,0,185,185,185,185
44,10,1,0,1,1,0,0,0,0,0,57,0,57,57,0,0,57
44,11,0,0,0,0,0,0,0,0,0,133,0,0,133,0,0,133
44,11,0,0,0,0,0,0,0,0,0,50,0,0,50,0,50,50
44,11,0,0,1,0,0,0,0,0,0,148,0,0,148,0,0,148
44,11,0,0,1,1,0,0,0,0,0,38,0,0,38,38,0,38
44,12,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,62
44,12,1,0,1,1,0,0,0,0,0,254,254,0,0,0,254,254
44,13,0,0,0,0,0,0,0,0,0,213,0,0,213,0,0,213
44,13,0,0,0,0,0,0,0,0,0,45,0,0,45,45,0,45
44,14,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,160
44,14,0,0,1,1,103,103,0,103,0,103,103,0,103,103,0,103
44,16,0,0,1,1,0,0,0,0,0,168,0,0,0,0,0,168
44,16,0,0,1,1,0,0,0,0,0,192,0,0,0,192,0,192
44,16,0,1,1,1,0,0,47,0,0,0,0,0,47,47,0,47
44,17,0,0,0,0,0,0,0,0,0,88,0,0,88,0,0,88
44,17,0,0,1,0,0,0,0,0,0,404,404,0,0,0,0,404
44,17,0,0,1,1,0,0,0,0,0,112,0,0,0,112,0,112
44,18,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,52
44,18,0,0,0,0,0,0,0,0,0,53,0,0,53,0,53,53
44,18,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,54
44,18,0,0,1,0,105,0,105,0,0,105,105,0,0,0,105,105
44,18,0,1,1,1,0,0,216,0,0,0,216,0,216,216,0,216
44,18,1,0,1,1,0,0,0,0,0,136,136,0,136,136,0,136
44,20,0,0,1,0,0,0,0,0,0,50,0,0,50,0,0,50
44,20,0,0,1,1,0,0,105,0,0,105,0,0,105,0,0,105
44,20,1,0,1,1,0,210,0,0,0,0,0,0,0,0,0,210
44,21,0,0,0,0,0,0,0,0,0,184,0,0,184,0,0,184
44,21,0,0,0,0,0,53,0,0,0,0,0,0,0,0,53,53
44,22,0,0,0,0,0,0,0,0,0,55,0,0,55,55,55,55
44,22,0,0,1,1,0,0,183,0,0,0,0,0,0,0,183,183
