zcta,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
02802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
02802,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,12,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1
02802,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,30,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1
02802,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,34,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,35,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,38,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,44,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,46,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
02802,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,46,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,51,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,51,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,52,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,52,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
02802,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,54,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
02802,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,56,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,57,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,57,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,58,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,59,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,60,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
02802,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,66,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
02802,66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,66,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,67,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,68,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,69,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,70,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,70,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,70,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,71,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,72,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,72,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
02802,72,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,73,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,74,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,75,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1
02802,75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,76,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,77,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,77,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,78,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,78,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,79,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,80,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,80,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,80,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,83,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,84,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,85,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,87,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,88,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,89,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
02802,89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,89,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,90,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,91,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,91,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,91,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,92,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,92,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,92,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,93,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,98,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,98,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,98,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,100,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1
02802,101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,101,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,102,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
02802,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02802,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,103,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,104,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02802,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
