SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000001,501,0,0,0,0,5110703,77,0,0,0,0,0,77,0,0,0,0,0
2021HU0000018,501,0,0,0,0,5151167,107,0,0,0,0,0,107,0,0,0,0,0
2021HU0000027,501,0,0,0,0,5159305,106,0,0,0,0,0,106,0,106,0,0,0
2021HU0000047,501,0,0,0,0,5159306,91,0,0,0,0,0,91,0,0,0,0,0
2021HU0000132,501,0,0,0,0,5151164,276,0,0,0,0,0,276,0,276,0,0,0
2021HU0000171,501,0,0,0,0,5110703,57,0,0,0,0,0,57,0,0,57,0,0
2021HU0000224,46,0,0,1,0,5151095,133,0,0,0,0,0,133,0,133,133,133,0
2021HU0000236,501,0,0,0,0,5151167,126,0,0,0,0,0,126,0,0,0,0,0
2021HU0000261,40,0,0,0,0,5151084,36,0,0,0,0,0,36,0,0,36,36,0
2021HU0000288,142,0,0,1,0,5151096,43,0,0,0,0,0,43,0,0,0,0,0
2021HU0000308,235,0,0,0,0,5151044,138,0,138,0,0,0,138,0,0,0,0,0
2021HU0000327,134,0,0,1,1,5151020,343,0,0,0,0,0,343,0,0,0,0,0
2021HU0000354,501,0,0,0,0,5151120,79,0,0,79,0,0,0,0,79,79,79,0
2021HU0000356,255,0,0,0,0,5155001,84,0,0,0,0,0,84,0,0,84,0,0
2021HU0000393,491,0,0,0,0,5151155,61,0,0,0,0,0,61,0,0,0,0,0
2021HU0000399,494,0,0,0,0,5151085,139,0,0,0,0,0,139,0,139,139,139,0
2021HU0000418,191,0,0,0,0,5151125,178,0,0,0,0,0,178,0,0,178,178,0
2021HU0000430,501,0,0,0,0,5151244,180,0,0,0,0,0,180,180,0,0,0,0
2021HU0000532,501,0,0,1,1,5151110,52,0,0,0,0,0,52,0,0,0,0,0
2021HU0000533,249,0,0,1,0,5151080,18,0,0,0,0,0,18,0,0,0,0,0
2021HU0000556,222,0,0,0,0,5151105,38,0,0,38,0,0,0,0,0,38,0,0
2021HU0000659,501,0,0,0,0,5151154,48,0,0,0,0,0,48,0,48,48,48,0
2021HU0000697,164,0,0,0,0,5151255,59,0,0,0,0,0,59,0,0,59,0,0
2021HU0000733,39,0,0,0,0,5151164,60,0,0,0,0,0,60,0,60,60,60,0
2021HU0000764,501,0,0,0,0,5151235,154,0,0,0,0,0,154,0,0,0,0,0
2021HU0000776,501,0,0,0,0,5151175,61,0,0,0,0,0,61,0,61,61,0,0
2021HU0000812,157,0,1,0,0,5151089,97,0,0,0,0,0,97,0,0,97,97,0
2021HU0000960,501,0,0,0,0,5151120,76,0,0,0,0,0,76,0,0,0,0,0
2021HU0000989,293,0,0,0,0,5151087,93,0,0,0,0,0,0,93,0,0,93,93
2021HU0001116,501,1,0,0,0,5151246,61,0,0,61,0,0,0,0,61,61,61,0
2021HU0001120,501,0,0,0,1,5101301,207,0,0,0,0,0,207,0,0,0,0,0
2021HU0001133,501,0,0,0,0,5159303,48,0,0,48,0,0,48,0,0,0,0,0
2021HU0001142,501,0,0,0,0,5159307,50,0,0,0,0,0,50,0,0,50,0,0
2021HU0001146,501,0,0,0,0,5151045,102,0,0,0,0,0,102,0,0,102,0,0
2021HU0001166,390,0,0,0,0,5151096,147,0,0,0,0,0,147,0,0,147,0,0
2021HU0001170,501,0,0,0,0,5151020,54,0,0,0,0,0,54,0,0,54,0,0
2021HU0001175,501,0,0,0,0,5101301,123,0,0,0,0,0,123,123,123,0,0,0
2021HU0001177,501,0,0,0,0,5151097,88,0,0,88,0,0,0,0,88,88,0,0
2021HU0001191,387,0,0,0,0,5151084,70,0,0,0,0,0,70,70,0,0,0,0
2021HU0001193,476,0,0,0,0,5151085,183,0,0,0,0,0,183,0,0,183,0,0
2021HU0001225,85,0,0,0,0,5159308,108,0,108,0,0,0,0,0,0,108,0,0
2021HU0001283,473,0,0,0,0,5159307,175,0,175,0,0,0,0,0,0,175,175,0
2021HU0001298,221,0,0,0,0,5151120,29,0,0,29,0,0,0,0,0,29,0,0
2021HU0001313,501,0,0,0,0,5151255,68,0,0,0,0,0,68,0,0,0,0,0
2021HU0001509,380,0,0,0,0,5151135,123,123,0,0,0,0,123,0,123,123,123,0
2021HU0001511,246,0,0,0,0,5151155,29,0,0,0,0,0,29,0,0,0,0,0
2021HU0001573,451,0,0,0,0,5151010,17,0,0,0,0,0,17,0,0,0,0,0
2021HU0001587,405,0,0,0,0,5151040,45,45,0,0,0,0,45,0,0,0,0,0
2021HU0001590,391,0,0,0,0,5151090,44,0,0,0,0,0,44,0,0,0,0,0
2021HU0001707,501,0,0,0,0,5151244,89,0,0,0,0,0,89,89,0,0,0,0
2021HU0001729,256,0,0,0,0,5151175,211,0,0,211,0,0,0,0,0,0,0,0
2021HU0001752,44,0,0,1,0,5151120,260,0,0,0,0,0,260,260,0,0,260,260
2021HU0001779,228,0,0,0,0,5151154,88,0,0,0,0,0,88,0,0,0,88,0
2021HU0001825,244,0,0,0,1,5151080,299,0,0,0,0,0,299,0,0,299,299,0
2021HU0001884,209,0,1,1,0,5151010,160,0,0,0,0,0,160,0,0,160,160,0
2021HU0001896,389,0,0,0,0,5151246,83,0,0,0,0,0,83,0,0,0,83,0
2021HU0001906,121,0,0,0,0,5151045,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0001938,247,0,0,1,0,5104101,78,0,0,0,0,0,0,78,0,0,0,78
2021HU0001953,72,0,0,0,0,5151235,224,0,0,224,0,0,224,0,0,0,0,0
2021HU0001958,501,0,0,0,0,5159305,53,0,0,0,0,0,53,0,0,53,0,0
2021HU0002150,501,0,0,0,0,5159308,34,0,0,0,0,0,34,0,0,34,0,0
2021HU0002279,162,0,0,1,0,5151097,91,0,0,0,0,0,91,0,91,0,91,0
2021HU0002292,501,0,0,0,0,5151080,70,0,0,0,0,0,70,0,0,70,0,0
2021HU0002336,195,0,0,1,0,5101301,45,0,45,45,0,0,0,0,0,0,0,0
2021HU0002439,223,0,0,0,0,5151154,77,0,0,77,0,0,0,0,0,0,0,0
2021HU0002449,274,0,0,0,0,5151246,100,0,100,0,0,0,0,0,0,0,0,100
2021HU0002489,332,0,0,0,0,5155002,84,0,0,0,0,0,84,0,84,84,84,0
2021HU0002504,276,0,0,0,0,5155002,250,0,0,0,0,0,250,0,0,250,0,0
2021HU0002512,117,0,0,0,0,5159302,104,0,0,104,0,0,0,0,0,104,0,0
2021HU0002518,501,0,0,0,0,5151245,53,0,0,0,0,0,53,0,0,53,53,0
2021HU0002557,296,0,0,1,1,5151167,107,0,0,0,0,0,107,0,0,107,0,0
2021HU0002583,501,0,0,0,0,5151084,99,0,0,99,0,0,0,0,99,99,0,0
2021HU0002587,425,0,0,0,0,5159308,87,0,0,0,0,0,87,87,0,0,87,0
2021HU0002662,501,0,0,0,0,5151085,56,0,0,0,0,0,56,0,0,56,56,0
2021HU0002674,501,0,0,0,0,5151089,49,0,0,0,0,0,49,0,0,49,49,0
2021HU0002678,271,0,0,0,0,5151089,65,0,0,0,0,0,65,0,65,65,65,0
2021HU0002681,501,0,0,0,0,5151125,13,0,0,0,0,0,13,0,0,13,0,0
2021HU0002699,501,0,0,0,0,5151145,38,0,38,0,0,0,38,0,0,0,38,0
2021HU0002705,392,0,0,0,0,5155001,85,0,0,0,0,0,85,0,0,85,0,0
2021HU0002738,501,0,0,0,0,5101301,45,0,0,0,0,45,45,0,0,45,0,0
2021HU0002747,336,0,0,0,0,5159305,72,0,0,0,0,0,0,72,0,0,0,72
2021HU0002753,273,0,0,0,0,5155001,94,0,0,0,0,0,94,0,94,0,94,0
2021HU0002787,353,0,0,1,1,5151097,43,0,0,43,0,0,43,0,0,43,43,0
2021HU0002802,501,0,0,0,0,5151097,51,0,0,51,0,0,0,0,51,51,0,0
2021HU0002953,501,0,0,0,0,5151125,71,0,0,0,0,0,71,0,0,71,0,0
2021HU0002989,288,0,0,0,0,5151164,79,0,0,0,0,0,79,0,79,79,0,0
2021HU0002997,251,0,0,1,0,5151095,164,0,0,164,0,0,164,164,0,0,0,0
2021HU0003022,233,0,0,0,0,5151235,63,63,0,0,0,0,63,0,0,0,63,0
2021HU0003120,73,0,0,1,0,5151010,149,0,0,0,0,0,149,0,0,0,0,0
2021HU0003130,225,0,0,1,0,5151105,15,0,0,0,0,0,15,0,15,15,15,0
2021HU0003135,238,0,0,0,0,5151186,227,0,227,0,0,0,0,0,0,0,0,227
2021HU0003160,386,0,0,0,0,5151097,75,0,0,0,0,0,75,0,0,75,0,0
