puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
5000100,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,202
5000100,0,0,0,0,0,0,0,0,0,0,63,0,0,63,0,0,63
5000100,0,0,0,0,0,0,0,0,0,0,33,33,0,0,33,0,33
5000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,32
5000100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,0,0,0,1,0,0,0,0,0,0,168,0,0,0,168,0,168
5000100,0,0,0,1,0,0,0,0,0,0,16,0,0,16,16,0,16
5000100,0,0,0,1,0,0,0,0,0,0,23,0,23,0,0,0,23
5000100,0,0,0,1,1,0,0,0,0,0,22,0,0,0,0,0,22
5000100,0,0,0,1,1,0,0,0,0,0,36,0,0,0,36,0,36
5000100,0,0,0,1,1,0,0,0,0,0,70,0,0,70,0,0,70
5000100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5000100,0,0,1,1,0,0,0,0,0,0,113,0,0,0,0,0,113
5000100,1,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41
5000100,2,0,0,0,0,0,0,0,0,0,165,0,0,0,165,0,165
5000100,2,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,7
5000100,4,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,27
5000100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,5,0,0,1,0,0,0,0,0,0,61,0,61,61,0,0,61
5000100,5,0,0,1,1,0,0,0,0,0,55,0,0,0,55,0,55
5000100,6,0,0,1,0,0,0,0,0,0,207,0,0,0,0,0,207
5000100,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,7,0,0,1,0,0,0,0,0,0,16,0,0,16,0,0,16
5000100,8,0,0,1,0,0,0,0,0,0,63,0,0,0,0,0,63
5000100,8,0,0,1,0,0,0,0,0,0,85,0,0,85,85,0,85
5000100,8,0,0,1,1,0,0,0,0,0,58,0,0,58,0,0,58
5000100,10,0,1,1,1,0,0,0,0,0,32,0,0,0,32,0,32
5000100,11,0,0,0,0,0,0,0,0,0,17,0,0,17,17,0,17
5000100,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,12,1,0,1,1,0,0,0,0,0,24,0,0,24,24,0,24
5000100,14,0,0,0,0,47,0,47,0,0,47,47,0,0,0,47,47
5000100,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,14,0,0,1,1,0,0,0,0,0,16,0,0,16,0,0,16
5000100,15,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,28
5000100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,16,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,61
5000100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,16,0,0,1,0,0,0,0,0,0,123,0,0,0,123,123,123
5000100,18,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11
5000100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,21,0,0,0,0,0,0,0,0,0,64,0,0,64,64,0,64
5000100,21,0,0,1,0,0,24,0,0,0,0,0,0,0,24,0,24
5000100,25,0,0,1,0,0,0,0,0,0,16,0,0,16,0,0,16
5000100,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5000100,27,0,0,1,1,34,0,0,0,0,34,34,0,0,0,0,34
5000100,28,0,0,1,1,0,0,0,0,0,121,0,0,0,0,0,121
5000100,28,1,0,1,0,0,0,0,0,0,60,0,0,0,60,0,60
5000100,29,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,122
5000100,29,0,0,1,0,0,0,0,0,0,53,0,0,0,53,0,53
5000100,30,0,0,0,0,0,0,0,0,0,89,0,0,89,89,0,89
5000100,31,1,0,1,1,48,0,0,0,0,48,0,0,0,48,0,48
5000100,32,0,0,1,1,0,0,0,0,0,108,0,0,0,0,0,108
5000100,32,1,0,1,1,0,0,0,0,0,37,0,0,0,37,0,37
5000100,33,0,0,0,0,0,0,0,0,0,59,0,0,59,0,0,59
5000100,34,0,0,0,0,0,0,0,0,0,12,0,0,12,12,0,12
