state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
50,0,0,0,0,0,0,0,0,0,0,869,0,0,0,0,0,869
50,0,0,0,0,0,0,0,0,0,0,360,0,0,360,0,0,360
50,0,0,0,0,0,0,0,0,0,0,130,130,0,0,130,0,130
50,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,193
50,0,0,0,0,0,0,67,0,0,0,0,0,0,0,67,0,67
50,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,53
50,0,0,0,1,0,0,0,0,0,0,148,0,0,0,0,0,148
50,0,0,0,1,0,0,0,0,0,0,660,0,0,0,660,0,660
50,0,0,0,1,0,0,0,0,0,0,211,0,0,211,211,0,211
50,0,0,0,1,0,0,0,0,0,0,39,0,39,0,0,0,39
50,0,0,0,1,1,0,0,0,0,0,37,0,0,0,0,0,37
50,0,0,0,1,1,0,0,0,0,0,60,0,0,0,60,0,60
50,0,0,0,1,1,0,0,0,0,0,276,0,0,276,0,0,276
50,0,0,0,1,1,0,0,0,0,0,81,0,81,81,81,0,81
50,0,0,1,1,0,0,0,0,0,0,443,0,0,0,0,0,443
50,1,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0,69
50,1,0,0,1,0,29,0,0,0,0,29,0,0,29,29,0,29
50,2,0,0,0,0,0,0,0,0,0,274,0,0,0,274,0,274
50,2,0,0,1,1,0,0,0,0,0,28,0,0,0,0,0,28
50,3,0,0,1,1,0,0,0,0,0,33,0,0,0,0,0,33
50,4,0,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45
50,4,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,19
50,5,0,0,0,0,0,0,0,0,0,134,0,0,0,134,0,134
50,5,0,0,0,0,0,0,0,0,0,121,0,0,121,0,0,121
50,5,0,0,1,0,0,0,0,0,0,239,0,239,239,0,0,239
50,5,0,0,1,1,0,0,0,0,0,168,0,0,0,168,0,168
50,6,0,0,1,0,0,0,0,0,0,345,0,0,0,0,0,345
50,7,0,0,1,0,0,0,0,0,0,163,0,0,0,0,0,163
50,7,0,0,1,0,0,0,0,0,0,27,0,0,27,0,0,27
50,7,1,0,1,1,0,0,0,0,0,54,0,0,0,0,0,54
50,8,0,0,1,0,0,0,0,0,0,246,0,0,0,0,0,246
50,8,0,0,1,0,0,0,0,0,0,332,0,0,332,332,0,332
50,8,0,0,1,1,0,0,0,0,0,97,0,0,97,0,0,97
50,10,0,1,1,1,0,0,0,0,0,54,0,0,0,54,0,54
50,11,0,0,0,0,0,0,0,0,0,28,0,0,28,28,0,28
50,11,0,1,1,0,0,0,0,0,0,26,0,0,26,0,0,26
50,12,1,0,1,1,0,0,0,0,0,95,0,0,95,95,0,95
50,14,0,0,0,0,186,0,186,0,0,186,186,0,0,0,186,186
50,14,0,0,1,0,0,0,0,0,0,99,0,0,99,0,0,99
50,14,0,0,1,1,0,0,0,0,0,27,0,0,27,0,0,27
50,14,0,1,1,0,0,0,0,0,0,126,0,0,126,126,0,126
50,15,0,0,1,0,0,0,0,0,0,47,0,0,0,0,0,47
50,15,0,0,1,0,0,0,0,0,0,25,0,0,25,0,0,25
50,15,0,0,1,0,0,0,0,0,0,120,0,0,120,120,0,120
50,15,0,0,1,1,0,0,0,0,0,49,0,0,0,49,0,49
50,16,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,241
50,16,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,78
50,16,0,0,0,0,0,0,0,0,0,44,0,44,44,44,0,44
50,16,0,0,1,0,0,0,0,0,0,204,0,0,0,204,204,204
50,18,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44
50,20,0,0,0,0,0,0,0,0,0,26,0,0,26,26,0,26
50,20,1,0,1,1,24,24,0,0,0,24,0,0,0,24,0,24
50,21,0,0,0,0,0,0,0,0,0,36,0,0,36,0,0,36
50,21,0,0,0,0,0,0,0,0,0,107,0,0,107,107,0,107
