SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000226,338,0,0,0,0,5000400,74,74,0,0,0,0,74,0,0,0,74,0
2021HU0000530,151,0,0,0,0,5000400,11,0,0,0,0,0,11,0,0,11,11,11
2021HU0000649,314,0,0,1,0,5000100,208,0,0,0,0,0,208,0,0,0,0,0
2021HU0000981,501,0,0,0,0,5000100,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0001014,317,0,1,1,1,5000100,33,0,0,0,0,0,33,0,0,33,33,0
2021HU0001485,109,0,0,1,0,5000300,29,0,0,0,0,0,29,0,0,0,0,0
2021HU0001585,345,0,0,0,0,5000400,36,0,0,0,0,0,36,0,0,0,0,0
2021HU0002184,449,0,0,0,0,5000100,177,0,0,0,0,0,177,0,0,0,0,0
2021HU0002210,501,0,0,0,0,5000300,71,0,0,0,0,0,71,0,0,71,0,0
2021HU0002380,475,0,0,0,0,5000300,133,0,0,0,0,0,133,0,0,133,0,0
2021HU0002641,329,0,0,0,0,5000300,101,0,0,0,0,0,101,0,0,101,0,0
2021HU0002729,501,0,0,0,0,5000100,141,0,0,0,0,0,141,0,0,0,141,0
2021HU0003214,400,1,0,1,0,5000400,97,0,0,0,0,0,97,0,0,0,0,0
2021HU0004948,501,0,0,0,0,5000200,52,0,0,0,0,0,52,52,52,52,0,0
2021HU0004988,501,0,0,0,0,5000200,17,0,0,0,0,0,17,0,17,17,0,0
2021HU0005321,199,1,0,1,1,5000300,159,0,0,0,0,0,159,0,159,159,159,159
2021HU0006839,290,0,0,0,0,5000400,17,0,0,0,0,0,17,0,0,17,0,0
2021HU0008188,235,0,0,0,0,5000400,79,0,0,0,0,0,79,0,0,79,79,0
2021HU0009221,436,0,0,0,1,5000100,44,0,0,0,0,0,44,0,44,44,44,0
2021HU0010181,73,0,1,1,1,5000400,112,0,0,0,0,0,112,0,0,0,112,0
2021HU0010968,501,0,0,0,0,5000100,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0011023,501,0,0,0,1,5000400,50,0,0,0,0,0,50,0,0,0,0,0
2021HU0011154,402,0,0,0,0,5000100,222,0,0,0,0,0,222,0,0,222,0,0
2021HU0011828,123,0,0,0,1,5000300,106,0,0,0,0,0,106,0,0,106,106,0
2021HU0012729,56,0,0,0,0,5000300,33,0,0,0,0,0,33,0,0,0,0,0
2021HU0014002,501,0,0,0,0,5000100,112,0,0,0,0,0,112,0,0,0,0,0
2021HU0015129,169,0,0,0,0,5000300,124,0,0,0,0,0,124,0,0,0,0,0
2021HU0016446,501,0,0,0,0,5000100,184,0,0,0,0,0,184,0,184,184,184,184
2021HU0016456,299,0,0,0,0,5000300,153,0,0,0,0,0,153,0,0,0,0,0
2021HU0016546,276,0,0,1,0,5000300,33,0,0,0,0,0,33,0,0,0,0,0
2021HU0016602,501,0,0,0,0,5000400,120,0,0,0,0,0,120,0,0,120,0,0
2021HU0017343,104,0,0,1,1,5000100,333,0,0,0,0,0,333,0,0,333,333,0
2021HU0018585,501,0,0,1,0,5000100,181,0,0,0,0,0,181,0,181,0,0,0
2021HU0018639,501,0,0,0,0,5000400,155,0,0,0,0,0,155,0,0,0,0,0
