state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
55,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,194,194
55,0,0,0,0,0,0,0,0,0,0,8275,0,0,0,0,0,8275
55,0,0,0,0,0,0,0,0,0,0,202,0,0,0,202,0,202
55,0,0,0,0,0,0,0,0,0,0,2354,0,0,2354,0,0,2354
55,0,0,0,0,0,0,0,0,0,0,184,0,0,184,0,184,184
55,0,0,0,0,0,0,0,0,0,0,1713,0,0,1713,1713,0,1713
55,0,0,0,0,0,0,0,0,0,0,620,0,620,0,0,0,620
55,0,0,0,0,0,0,0,0,0,0,70,0,70,0,70,0,70
55,0,0,0,0,0,0,0,0,0,0,636,0,636,636,0,0,636
55,0,0,0,0,0,0,0,0,0,0,561,0,561,561,561,0,561
55,0,0,0,0,0,0,0,0,0,0,54,0,54,54,54,54,54
55,0,0,0,0,0,0,0,0,0,0,592,592,0,0,0,592,592
55,0,0,0,0,0,0,0,0,0,0,137,137,0,137,0,137,137
55,0,0,0,0,0,0,0,0,0,0,38,38,38,38,0,0,38
55,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,218
55,0,0,0,0,0,0,0,142,0,0,0,0,0,142,0,0,142
55,0,0,0,0,0,0,0,333,0,0,0,0,333,333,333,0,333
55,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,1079
55,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,840,840
55,0,0,0,0,0,0,177,0,0,0,0,0,177,0,0,0,177
55,0,0,0,0,0,0,692,0,0,0,692,0,0,0,0,0,692
55,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0,25
55,0,0,0,0,0,31,0,0,0,0,31,0,31,31,0,0,31
55,0,0,0,0,1,0,0,0,0,0,0,298,0,0,0,298,298
55,0,0,0,0,1,0,0,0,0,0,728,0,0,0,0,0,728
55,0,0,0,0,1,0,0,0,0,0,130,0,0,0,0,130,130
55,0,0,0,0,1,0,0,0,0,0,127,0,0,0,127,0,127
55,0,0,0,0,1,0,0,0,0,0,61,0,0,61,0,0,61
55,0,0,0,0,1,0,0,0,0,0,17,0,0,17,17,0,17
55,0,0,0,0,1,0,0,0,0,0,32,0,32,32,0,0,32
55,0,0,0,0,1,0,0,0,0,0,232,232,0,0,0,232,232
55,0,0,0,0,1,0,0,104,0,0,0,0,0,104,0,0,104
55,0,0,0,0,1,0,40,0,0,0,40,0,0,0,0,0,40
55,0,0,0,0,1,49,0,0,0,0,49,0,49,0,49,0,49
