state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
54,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,207
54,0,0,0,0,0,0,0,0,0,0,1992,0,0,0,0,0,1992
54,0,0,0,0,0,0,0,0,0,0,539,0,0,0,539,0,539
54,0,0,0,0,0,0,0,0,0,0,998,0,0,998,0,0,998
54,0,0,0,0,0,0,0,0,0,0,787,0,0,787,787,0,787
54,0,0,0,0,0,0,0,0,0,0,202,0,202,202,202,0,202
54,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,104
54,0,0,0,0,0,0,0,204,0,0,0,0,0,204,0,0,204
54,0,0,0,0,0,0,0,123,0,0,0,0,0,123,123,0,123
54,0,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,38
54,0,0,0,0,0,0,0,594,0,0,594,0,594,594,594,0,594
54,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,87
54,0,0,0,0,0,0,39,0,0,0,0,0,0,39,0,39,39
54,0,0,0,0,0,0,41,0,0,0,0,0,0,41,41,0,41
54,0,0,0,0,0,0,271,0,0,0,271,0,0,0,0,0,271
54,0,0,0,0,0,0,133,0,0,0,133,0,0,0,133,0,133
54,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,53
54,0,0,0,0,0,232,0,0,0,0,232,0,0,0,232,0,232
54,0,0,0,0,0,206,0,0,0,0,206,0,0,206,206,0,206
54,0,0,0,0,0,259,0,259,0,0,259,0,0,0,0,0,259
54,0,0,0,0,1,0,0,0,0,0,167,0,0,0,0,0,167
54,0,0,0,0,1,0,0,0,0,0,141,0,0,141,141,0,141
54,0,0,0,1,0,0,0,0,0,0,1435,0,0,0,0,0,1435
54,0,0,0,1,0,0,0,0,0,0,77,0,0,0,0,77,77
54,0,0,0,1,0,0,0,0,0,0,1072,0,0,0,1072,0,1072
54,0,0,0,1,0,0,0,0,0,0,331,0,0,331,0,0,331
54,0,0,0,1,0,0,0,0,0,0,369,0,0,369,369,0,369
54,0,0,0,1,0,0,0,0,0,0,141,0,141,141,0,0,141
54,0,0,0,1,0,0,0,0,0,0,81,81,0,0,0,0,81
54,0,0,0,1,0,0,0,52,0,0,52,0,0,0,52,0,52
