cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
5600,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,557
5600,0,0,0,0,0,0,0,0,0,0,83,0,0,0,83,0,83
5600,0,0,0,0,0,0,0,0,0,0,466,0,0,466,0,0,466
5600,0,0,0,0,0,0,0,0,0,0,88,0,0,88,88,0,88
5600,0,0,0,0,0,0,0,0,0,0,67,0,67,67,67,0,67
5600,0,0,0,0,0,0,184,0,0,0,184,0,0,0,0,0,184
5600,0,0,0,0,0,68,0,0,0,0,68,0,68,0,68,0,68
5600,0,0,0,0,1,0,0,0,0,0,91,0,0,0,0,0,91
5600,0,0,0,0,1,0,0,0,0,0,132,0,0,0,132,0,132
5600,0,0,0,1,0,0,0,0,0,0,127,0,0,0,0,0,127
5600,0,0,0,1,0,0,0,0,0,0,49,0,0,49,0,0,49
5600,0,0,0,1,0,0,0,0,0,0,129,0,0,129,129,0,129
5600,0,0,0,1,0,0,0,0,0,0,31,0,31,31,0,0,31
5600,0,0,0,1,0,0,0,0,0,0,112,112,0,0,0,0,112
5600,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,44
5600,0,0,0,1,0,0,166,0,166,0,166,0,0,0,166,0,166
5600,0,0,0,1,0,138,0,0,0,0,138,0,0,0,138,0,138
5600,0,0,0,1,1,0,0,0,0,0,102,102,0,0,0,0,102
5600,2,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,287
5600,4,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,276
5600,4,0,0,0,0,0,0,0,0,0,109,0,0,0,109,0,109
5600,4,0,0,0,0,0,0,0,0,0,45,0,45,45,0,0,45
5600,5,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,214
5600,5,0,0,1,0,0,0,0,0,0,0,207,0,0,207,207,207
5600,5,0,0,1,0,0,0,0,0,0,60,0,0,0,0,0,60
5600,6,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,68
5600,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
5600,7,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,59
5600,7,0,0,1,0,0,0,0,0,0,138,0,0,138,138,0,138
5600,7,0,0,1,1,0,0,0,0,0,403,0,0,0,403,0,403
5600,8,0,0,0,0,0,0,0,0,0,74,0,0,0,74,0,74
5600,8,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,64
5600,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23
5600,8,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,29
5600,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
5600,10,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35
5600,10,0,0,0,0,0,0,0,0,0,72,0,0,72,72,0,72
5600,10,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,34
5600,10,0,0,0,1,0,0,0,0,0,152,0,0,0,152,0,152
5600,10,0,1,1,0,0,0,0,0,0,144,0,0,0,0,0,144
5600,11,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,28
5600,11,0,0,1,0,0,0,0,0,0,88,0,0,88,0,0,88
5600,12,0,0,0,0,0,0,0,0,0,18,0,18,18,0,0,18
5600,12,0,0,1,0,0,0,0,0,0,83,83,0,0,83,0,83
5600,12,0,0,1,0,206,0,0,0,0,0,206,0,0,0,0,206
5600,13,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,291
5600,13,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20
5600,13,0,0,0,0,0,0,0,0,0,17,0,0,17,17,0,17
5600,13,0,0,0,1,0,0,0,0,0,49,0,49,49,0,0,49
5600,14,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,488
5600,14,0,0,0,0,0,0,0,0,0,75,0,0,0,75,0,75
5600,14,0,0,0,0,0,0,0,0,0,75,75,0,0,0,0,75
5600,14,0,0,0,0,18,0,0,0,0,18,0,0,18,0,0,18
5600,14,0,0,1,0,0,0,0,0,0,64,0,0,64,64,0,64
5600,14,0,1,1,1,24,0,24,0,0,24,24,0,0,0,0,24
5600,15,0,0,0,0,0,0,0,0,0,38,0,0,38,0,0,38
5600,15,0,0,0,0,0,0,0,0,0,99,0,99,99,99,0,99
5600,15,0,0,1,1,0,0,66,0,0,66,0,0,0,66,0,66
5600,16,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,66
5600,16,0,0,0,0,23,0,0,0,0,23,0,23,23,23,0,23
5600,16,0,0,1,0,0,0,0,0,0,212,0,0,0,212,0,212
5600,16,0,0,1,1,0,0,0,0,0,254,0,0,0,0,0,254
5600,16,0,0,1,1,0,0,0,0,0,81,0,81,0,0,0,81
5600,17,0,0,0,0,28,0,0,0,0,28,0,0,0,28,0,28
5600,17,0,0,0,1,0,0,0,0,0,70,0,70,0,70,0,70
5600,18,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75
5600,19,0,0,0,0,0,494,0,0,0,494,0,0,0,0,0,494
5600,20,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,425
5600,21,0,0,0,0,0,0,0,0,0,53,0,53,53,53,0,53
5600,21,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
5600,21,0,0,1,1,80,0,80,0,80,80,80,0,0,0,0,80
5600,22,0,0,0,0,0,0,0,0,0,130,0,130,130,0,0,130
5600,22,0,0,1,0,0,44,0,0,0,0,0,0,44,0,0,44
5600,24,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,161
5600,24,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,96
5600,27,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100
5600,27,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,17
5600,28,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,68
5600,29,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,33
5600,29,0,0,0,1,0,230,0,0,0,230,0,0,0,0,0,230
5600,30,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17
5600,31,0,0,0,0,0,0,0,0,0,38,0,0,0,38,0,38
5600,33,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,72
5600,33,0,0,0,0,0,0,0,0,0,128,128,0,128,128,0,128
5600,33,1,0,1,1,22,0,0,0,0,0,0,0,22,22,0,22
5600,35,0,0,0,0,0,0,0,0,0,188,0,0,188,0,0,188
5600,35,0,0,1,0,0,0,0,0,0,128,0,0,0,0,0,128
5600,35,0,1,1,0,0,0,101,0,0,101,0,0,101,101,0,101
5600,36,0,0,0,1,0,0,0,0,0,362,0,362,0,0,0,362
5600,37,0,0,0,0,0,0,0,0,0,157,157,0,157,0,0,157
5600,38,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,37
5600,39,0,1,1,1,0,0,0,0,0,8,0,8,0,8,0,8
5600,40,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
5600,42,0,0,1,1,0,0,0,0,0,121,121,0,0,0,0,121
