county,Num Eligible,Num Ineligible,Percentage Eligible
01001,11376,10907,51.05
01003,31637,62468,33.62
01005,5091,4393,53.68
01007,4809,3698,56.53
01009,10532,11053,48.79
01011,2068,1840,52.92
01013,3846,3318,53.69
01015,25857,18774,57.94
01017,6942,6177,52.92
01019,4982,4383,53.2
01021,6242,11025,36.15
01023,2866,1856,60.69
01025,5226,3384,60.7
01027,3200,2583,55.33
01029,3386,2733,55.34
01031,10286,10411,49.7
01033,10735,11947,47.33
01035,2625,1700,60.69
01037,2075,1846,52.92
01039,7583,6542,53.68
01041,2662,2297,53.68
01043,15928,17932,47.04
01045,9491,9607,49.7
01047,7439,7133,51.05
01049,14294,12356,53.64
01051,13819,18986,42.12
01053,8318,5387,60.69
01055,20634,18153,53.2
01057,3519,2706,56.53
01059,6025,6704,47.33
01061,5418,5364,50.25
01063,1667,1282,56.53
01065,3188,2452,56.52
01067,3484,3449,50.25
01069,21793,21573,50.25
01071,10497,9073,53.64
01073,119914,150886,44.28
01075,3014,2318,56.53
01077,17549,19529,47.33
01079,5206,7640,40.53
01081,33157,34029,49.35
01083,12693,27623,31.48
01085,1994,1912,51.05
01087,3901,3471,52.92
01089,55152,108504,33.7
01091,4168,3205,56.53
01093,5319,5989,47.04
01095,16803,20398,45.17
01097,86502,76460,53.08
01099,4473,2897,60.69
01101,48147,44270,52.1
01103,19433,28517,40.53
01105,1646,1578,51.05
01107,4125,3172,56.53
01109,6663,5748,53.69
01111,4939,3987,55.33
01113,12235,10424,54.0
01115,16225,17030,48.79
01117,27139,58926,31.53
01119,2664,2049,56.52
01121,18467,14907,55.33
01123,8248,7339,52.92
01125,40510,46293,46.67
01127,11845,12513,48.63
01129,3483,2256,60.69
01131,2398,1553,60.69
01133,4268,4805,47.04
02013,518,480,51.9
02016,791,733,51.9
02020,37896,71642,34.6
02050,2823,2618,51.88
02060,128,119,51.82
02063,1000,1721,36.75
02066,368,633,36.76
02068,228,392,36.77
02070,734,681,51.87
02090,13470,23178,36.76
02100,292,503,36.73
02105,357,331,51.89
02110,4542,7816,36.75
02122,10184,13309,43.35
02130,1964,3380,36.75
02150,1981,1837,51.89
02158,1266,1174,51.89
02164,224,207,51.97
02170,18545,24233,43.35
02180,1519,1408,51.9
02185,1669,1547,51.9
02188,1179,1093,51.89
02195,514,477,51.87
02198,869,806,51.88
02220,1279,1186,51.89
02230,175,301,36.76
02240,959,1650,36.76
02275,321,298,51.86
02282,101,93,52.06
02290,808,749,51.89
04001,14797,8121,64.56
04003,24826,23794,51.06
04005,29053,26369,52.42
04007,12252,9420,56.53
04009,8862,6813,56.54
04011,2199,1690,56.54
04012,3504,2900,54.72
04013,644767,1063242,37.75
04015,55367,48286,53.42
04017,23919,13126,64.57
04019,190307,242036,44.02
04021,65631,89519,42.3
04023,9436,9044,51.06
04025,47586,64204,42.57
04027,42060,34560,54.89
05001,3423,2788,55.11
05003,3804,3098,55.11
05005,9691,7880,55.15
05007,36913,70159,34.47
05009,8701,7076,55.15
05011,2104,1714,55.11
05013,1010,772,56.68
05015,6578,5349,55.15
05017,2035,1658,55.1
05019,4616,4047,53.28
05021,3085,2546,54.79
05023,5845,3892,60.03
05025,1505,1226,55.11
05027,4863,3715,56.69
05029,4854,3267,59.77
05031,23471,18862,55.44
05033,13170,10605,55.39
05035,11290,6549,63.29
05037,3944,2288,63.29
05039,1383,1056,56.7
05041,2274,1852,55.11
05043,3461,2819,55.11
05045,22161,25722,46.28
05047,3745,3016,55.39
05049,2856,1902,60.03
05051,21570,18911,53.28
05053,2973,4211,41.38
05055,9698,8004,54.78
05057,4282,3271,56.69
05059,7113,6236,53.28
05061,2960,2126,58.2
05063,8974,5975,60.03
05065,3212,2139,60.03
05067,3456,2919,54.21
05069,13421,10932,55.11
05071,6034,4061,59.77
05073,1347,1029,56.69
05075,3438,2837,54.79
05077,2017,1170,63.29
05079,2582,2103,55.11
05081,2783,1999,58.2
05083,4893,3515,58.19
05085,13279,15413,46.28
05087,3845,3127,55.15
05089,3918,3186,55.15
05091,9861,7083,58.2
05093,9536,5532,63.29
05095,1403,1185,54.21
05097,1825,1600,53.28
05099,1772,1354,56.69
05101,1682,1367,55.17
05103,4833,3692,56.69
05105,1659,2351,41.37
05107,3882,2252,63.29
05109,2191,1921,53.28
05111,4845,3893,55.45
05113,4449,3196,58.19
05115,14851,9996,59.77
05117,1709,1443,54.22
05119,78366,93348,45.64
05121,3938,3250,54.79
05123,5412,3140,63.28
05125,20434,28947,41.38
05127,2277,1635,58.21
05129,1823,1482,55.16
05131,27989,22537,55.4
05133,3667,2634,58.2
05135,3662,3022,54.79
05137,2923,1946,60.03
05139,8332,6366,56.69
05141,3735,2487,60.03
05143,43225,50452,46.14
05145,15842,13381,54.21
05147,1292,1091,54.22
05149,4747,3195,59.77
06001,210706,378514,35.76
06003,224,289,43.66
06005,7511,9665,43.73
06007,40192,41161,49.4
06009,8405,10815,43.73
06011,4223,3162,57.18
06013,146962,264666,35.7
06015,5292,5091,50.97
06017,24554,50355,32.78
06019,185742,136899,57.57
06021,5590,4186,57.18
06023,31636,23547,57.33
06025,31686,16164,66.22
06027,3529,4541,43.73
06029,168617,114415,59.58
06031,24053,19090,55.75
06033,14392,11949,54.64
06035,6244,6006,50.97
06037,1702407,1673249,50.43
06039,25645,18410,58.21
06041,29547,73831,28.58
06043,3180,4092,43.73
06045,19344,16061,54.64
06047,53812,31154,63.33
06049,1660,1597,50.97
06051,2447,3148,43.74
06053,63592,72735,46.65
06055,18748,30662,37.94
06057,17281,24896,40.97
06059,425077,651698,39.48
06061,50109,105791,32.14
06063,3777,3633,50.97
06065,372728,393121,48.67
06067,255159,316812,44.61
06069,8146,9058,47.35
06071,360760,315119,53.38
06073,450287,712606,38.72
06075,124988,226238,35.59
06077,122297,119495,50.58
06079,42388,65183,39.4
06081,76363,187388,28.95
06083,68664,81894,45.61
06085,202549,447877,31.14
06087,38046,59308,39.08
06089,33977,37528,47.52
06091,547,789,40.94
06093,8409,8089,50.97
06095,65895,92303,41.65
06097,68722,121857,36.06
06099,87575,86584,50.28
06101,19122,14768,56.42
06103,12727,9531,57.18
06105,3115,2332,57.19
06107,88390,55122,61.59
06109,10321,13280,43.73
06111,105281,174052,37.69
06113,35409,41435,46.08
06115,15658,12093,56.42
08001,74882,108458,40.84
08003,3759,3383,52.63
08005,83078,162812,33.79
08007,2502,3327,42.92
08009,805,725,52.61
08011,1297,1167,52.64
08013,40532,93156,30.32
08014,6464,23326,21.7
08015,3351,4367,43.42
08017,270,391,40.85
08019,914,3025,23.2
08021,1712,1541,52.63
08023,803,723,52.62
08025,916,1327,40.84
08027,809,1055,43.4
08029,6718,6139,52.25
08031,122709,207300,37.18
08033,435,579,42.9
08035,24277,111773,17.84
08037,5883,14486,28.88
08039,4035,5840,40.86
08041,101281,185005,35.38
08043,8419,10972,43.42
08045,9674,15298,38.74
08047,565,1871,23.19
08049,1659,4084,28.89
08051,3168,4214,42.92
08053,147,196,42.86
08055,1173,1528,43.43
08057,146,359,28.91
08059,73325,168563,30.31
08061,224,324,40.88
08063,1097,1588,40.86
08065,1279,1667,43.41
08067,10418,13856,42.92
08069,50025,102096,32.89
08071,3342,3007,52.64
08073,879,1273,40.85
08075,3333,4824,40.86
08077,27775,36393,43.28
