sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0100001,862,873,49.68
0100003,457,406,52.95
0100005,3853,4677,45.17
0100006,8477,10291,45.17
0100007,11323,25482,30.76
0100008,7743,15847,32.82
0100011,1601,3401,32.01
0100012,1768,2074,46.02
0100013,4381,5400,44.79
0100030,3411,3035,52.92
0100060,1778,1534,53.68
0100090,4789,3477,57.94
0100100,1456,1767,45.18
0100120,3221,7011,31.48
0100180,1163,1023,53.2
0100185,3262,2890,53.02
0100188,1525,1130,57.44
0100189,1260,1218,50.85
0100190,4071,9042,31.05
0100194,2768,6421,30.12
0100195,1845,1884,49.48
0100202,2067,4080,33.63
0100210,14117,15488,47.68
0100240,11376,10907,51.05
0100270,29570,58388,33.62
0100300,2491,2150,53.67
0100330,4408,5853,42.96
0100360,4809,3698,56.53
0100390,46597,37463,55.43
0100420,9295,9756,48.79
0100450,1193,773,60.68
0100480,2068,1840,52.92
0100510,3846,3318,53.69
0100540,12184,8846,57.94
0100600,5551,4939,52.92
0100630,4982,4383,53.2
0100660,6242,11025,36.15
0100690,2866,1856,60.69
0100720,4062,2631,60.69
0100750,3200,2583,55.33
0100780,3329,2687,55.34
0100810,3963,4012,49.69
0100840,4220,4696,47.33
0100870,2625,1700,60.69
0100900,2075,1846,52.92
0100930,4440,3831,53.68
0100960,2662,2297,53.68
0100990,3113,3504,47.05
0101020,12810,14422,47.04
0101050,3014,3051,49.69
0101080,2059,2084,49.7
0101110,3963,3800,51.05
0101140,11325,9789,53.64
0101170,9122,13391,40.52
0101200,1545,1188,56.53
0101230,14402,14262,50.24
0101260,918,929,49.7
0101290,12638,17363,42.13
0101320,5524,5591,49.7
0101350,7125,4614,60.7
0101380,12480,10980,53.2
0101410,2600,2243,53.69
0101440,2505,1757,58.78
0101470,3245,2495,56.53
0101530,7538,8388,47.33
0101560,2970,2567,53.64
0101590,3987,4437,47.33
0101620,6773,5959,53.2
0101640,1213,1200,50.27
0101660,4206,4163,50.26
0101680,1667,1282,56.53
