cd118,Num Eligible,Num Ineligible,Percentage Eligible
0101,134249,149361,47.34
0102,141072,138555,50.45
0103,145330,130721,52.65
0104,132117,142307,48.14
0105,107159,184159,36.78
0106,107433,172436,38.39
0107,144463,138184,51.11
0200,106704,164595,39.33
0401,106604,248191,30.05
0402,158257,157258,50.16
0403,150778,116192,56.48
0404,124973,196911,38.83
0405,81751,213065,27.73
0406,134774,194671,40.91
0407,158383,145314,52.15
0408,120113,192078,38.47
0409,138933,179443,43.64
0501,163532,127322,56.22
0502,144774,163704,46.93
0503,129600,160522,44.67
0504,162847,131266,55.37
0601,145402,136268,51.62
0602,120186,181507,39.84
0603,100194,196460,33.77
0604,113525,168912,40.19
0605,123716,155932,44.24
0606,131351,149200,46.82
0607,121049,143409,45.77
0608,120398,138854,46.44
0609,120365,117210,50.66
0610,78483,195243,28.67
0611,107594,209705,33.91
0612,114911,172105,40.04
0613,133063,92641,58.95
0614,81379,166607,32.82
0615,82103,176606,31.74
0616,73589,187588,28.18
0617,77001,185069,29.38
0618,100815,122093,45.23
0619,96516,168127,36.47
0620,126492,118376,51.66
0621,149622,85829,63.55
0622,146740,83328,63.78
0623,136818,110705,55.27
0624,114401,157061,42.14
0625,145579,109214,57.14
0626,94083,155783,37.65
0627,108578,120069,47.49
0628,113872,149206,43.28
0629,144945,103066,58.44
0630,149327,161220,48.09
0631,113946,99359,53.42
0632,117697,168544,41.12
0633,126616,99497,56.0
0634,164587,110011,59.94
0635,114610,109194,51.21
0636,93314,221084,29.68
0637,159791,91648,63.55
0638,103812,121378,46.1
0639,104206,103930,50.07
0640,85707,180031,32.25
0641,117278,136995,46.12
0642,136120,108906,55.55
0643,143368,94669,60.23
0644,128159,103128,55.41
0645,110632,127874,46.39
0646,118467,97093,54.96
0647,98397,192387,33.84
0648,99461,153154,39.37
0649,82354,188465,30.41
0650,99021,201617,32.94
0651,100491,176398,36.29
0652,123590,112580,52.33
0801,123867,209233,37.19
0802,92091,198268,31.72
0803,140520,159017,46.91
0804,77140,201210,27.71
0805,100090,183157,35.34
0806,92400,180445,33.87
0807,94164,201015,31.9
0808,104577,155833,40.16
0901,118669,171167,40.94
0902,113395,179117,38.77
0903,119889,171489,41.15
0904,103235,166440,38.28
0905,113446,171481,39.82
1000,150742,244926,38.1
1201,118813,185260,39.07
1202,143850,169609,45.89
1203,141253,159290,47.0
1204,145607,155663,48.33
1205,100326,215293,31.79
1206,146242,183000,44.42
1207,122471,195239,38.55
1208,128898,196636,39.6
1209,126132,137399,47.86
1210,139472,148218,48.48
1211,115403,190073,37.78
1212,143628,179483,44.45
1213,125906,210010,37.48
1214,130867,197963,39.8
1215,125894,170392,42.49
1216,102167,199768,33.84
1217,129693,221368,36.94
1218,153567,142229,51.92
1219,123674,213421,36.69
1220,143641,159834,47.33
1221,122060,192774,38.77
1222,126905,174613,42.09
1223,122743,190290,39.21
1224,159811,126096,55.9
1225,116448,164998,41.37
1226,153253,128311,54.43
1227,142550,149576,48.8
1228,134643,122619,52.34
1301,138333,157339,46.79
1302,150412,138637,52.04
1303,116494,168556,40.87
1304,102154,173366,37.08
1305,125367,214195,36.92
1306,65060,216656,23.09
1307,103860,161218,39.18
1308,147374,134112,52.36
1309,117317,156478,42.85
1310,122672,163682,42.84
1311,93644,198000,32.11
1312,134455,134827,49.93
1313,129481,158311,44.99
1314,118814,160305,42.57
1501,100270,153318,39.54
1502,106757,129737,45.14
1601,145661,211166,40.82
1602,141475,195569,41.98
1701,140134,151182,48.1
1702,148082,143349,50.81
1703,114976,159416,41.9
1704,130517,133535,49.43
1705,99334,227148,30.43
1706,99881,185546,34.99
1707,142502,171864,45.33
1708,91821,181463,33.6
1709,108763,201705,35.03
1710,88024,182876,32.49
1711,85274,194063,30.53
1712,137365,166412,45.22
1713,127462,179345,41.54
1714,100881,169599,37.3
1715,129485,179496,41.91
1716,122702,183592,40.06
1717,133483,180352,42.53
1801,125577,166649,42.97
1802,117133,165549,41.44
1803,125017,172266,42.05
1804,107203,187452,36.38
1805,106831,191992,35.75
1806,122458,174684,41.21
1807,136870,170786,44.49
1808,133669,176736,43.06
1809,124388,175435,41.49
1901,125396,195697,39.05
1902,124933,204016,37.98
1903,116751,211567,35.56
1904,130407,191694,40.49
2001,120116,171333,41.21
2002,130789,159534,45.05
2003,82579,210139,28.21
2004,116038,168495,40.78
2101,151096,143101,51.36
2102,132613,160577,45.23
2103,145186,172416,45.71
2104,111674,176134,38.8
2105,187456,97920,65.69
2106,145742,161779,47.39
2201,142852,167839,45.98
2202,172096,132822,56.44
2203,144636,144228,50.07
2204,173615,124243,58.29
2205,166531,119483,58.22
2206,148596,146986,50.27
2301,95549,199417,32.39
2302,140596,158068,47.07
2401,115785,189552,37.92
2402,105259,196693,34.86
2403,76574,210798,26.65
2404,124022,148502,45.51
2405,80200,206624,27.96
2406,102125,192391,34.68
2407,167492,152830,52.29
2408,85741,201055,29.9
2501,151598,162628,48.24
2502,125110,173753,41.86
2503,122094,170798,41.69
2504,107016,193230,35.64
2505,106268,199168,34.79
2506,110983,193971,36.39
2507,146556,164614,47.1
2508,123618,183213,40.29
2509,123682,200676,38.13
2601,154768,184330,45.64
2602,134469,167354,44.55
2603,114810,183093,38.54
2604,123756,178624,40.93
2605,130873,174177,42.9
2606,99281,211850,31.91
2607,112064,198974,36.03
2608,158809,166058,48.88
2609,109265,197290,35.64
2610,133884,186124,41.84
2611,114684,215777,34.7
2612,162660,139827,53.77
2613,180480,118526,60.36
2701,105242,181365,36.72
2702,83544,189575,30.59
2703,78511,205241,27.67
2704,104335,176122,37.2
2705,122021,182696,40.04
2706,78832,186494,29.71
2707,115725,178155,39.38
2708,114686,178464,39.12
2801,141123,145843,49.18
2802,159793,119344,57.25
2803,136944,141080,49.26
2804,138846,146635,48.64
2901,151410,183913,45.15
2902,78239,229586,25.42
2903,96597,200581,32.5
2904,121498,177381,40.65
2905,126848,199758,38.84
2906,108162,186072,36.76
2907,138528,172579,44.53
2908,144297,153259,48.49
3001,92144,136657,40.27
3002,90670,129471,41.19
3101,86727,172639,33.44
3102,94044,168707,35.79
3103,100615,163250,38.13
3201,144992,145983,49.83
3202,123598,189637,39.46
3203,132523,180462,42.34
3204,130216,143966,47.49
3301,82015,195824,29.52
3302,87740,182446,32.47
3401,116152,179728,39.26
3402,126122,188333,40.11
3403,84281,208851,28.75
3404,102134,189130,35.07
3405,76773,209462,26.82
3406,97588,184819,34.56
3407,76202,220555,25.68
3408,145003,155561,48.24
3409,128807,144447,47.14
3410,142632,144489,49.68
3411,80259,211294,27.53
3412,92486,192844,32.41
3501,139617,157575,46.98
3502,155907,108102,59.05
3503,146706,126098,53.78
3601,72639,200635,26.58
3602,88112,161133,35.35
3603,84183,179483,31.93
3604,86524,163008,34.67
3605,143418,109529,56.7
3606,146058,130359,52.84
3607,143397,146462,49.47
3608,172833,111449,60.8
3609,169049,118039,58.88
3610,122028,179717,40.44
3611,126742,140042,47.51
3612,97658,260954,27.23
3613,194961,112494,63.41
3614,165879,105685,61.08
3615,210853,68415,75.5
3616,111676,176359,38.77
3617,85422,175954,32.68
3618,106619,182002,36.94
3619,142597,182706,43.84
3620,119405,208168,36.45
3621,141354,178434,44.2
3622,145982,173443,45.7
3623,136775,190569,41.78
3624,134831,183601,42.34
3625,137375,188583,42.15
3626,161900,176969,47.78
3701,155294,150319,50.81
3702,81976,213373,27.76
3703,142549,154874,47.93
3704,114944,187569,38.0
3705,150557,155917,49.13
3706,129901,167539,43.67
3707,138893,174901,44.26
