county,CountyName,rural,Num Eligible,Num Ineligible,Percentage Eligible
01001,Autauga AL,0.0,11384,10907,51.07
01003,Baldwin AL,0.0,31637,62468,33.62
01005,Barbour AL,1.0,5079,4381,53.69
01007,Bibb AL,1.0,4811,3692,56.58
01009,Blount AL,0.0,10525,11061,48.76
01011,Bullock AL,1.0,2060,1835,52.89
01013,Butler AL,1.0,3846,3311,53.74
01015,Calhoun AL,0.0,25857,18774,57.94
01017,Chambers AL,1.0,6938,6165,52.95
01019,Cherokee AL,1.0,4983,4389,53.17
01021,Chilton AL,1.0,6243,11033,36.14
01023,Choctaw AL,1.0,2870,1859,60.69
01025,Clarke AL,1.0,5230,3383,60.72
01027,Clay AL,1.0,3194,2589,55.23
01029,Cleburne AL,1.0,3382,2729,55.34
01031,Coffee AL,0.0,10272,10414,49.66
01033,Colbert AL,1.0,10737,11953,47.32
01035,Conecuh AL,1.0,2619,1697,60.68
01037,Coosa AL,1.0,2067,1846,52.82
01039,Covington AL,1.0,7564,6529,53.67
01041,Crenshaw AL,1.0,2683,2315,53.68
01043,Cullman AL,1.0,15904,17931,47.0
01045,Dale AL,0.0,9485,9586,49.74
01047,Dallas AL,1.0,7436,7142,51.01
01049,DeKalb AL,1.0,14305,12352,53.66
01051,Elmore AL,0.0,13814,18989,42.11
01053,Escambia AL,1.0,8318,5387,60.69
01055,Etowah AL,0.0,20621,18146,53.19
01057,Fayette AL,1.0,3519,2713,56.47
01059,Franklin AL,1.0,6024,6714,47.29
01061,Geneva AL,0.0,5435,5372,50.29
01063,Greene AL,1.0,1664,1287,56.39
01065,Hale AL,1.0,3185,2458,56.44
01067,Henry AL,0.0,3506,3470,50.26
01069,Houston AL,0.0,21815,21591,50.26
01071,Jackson AL,1.0,10493,9082,53.6
01073,Jefferson AL,0.0,119941,150897,44.29
01075,Lamar AL,1.0,3007,2314,56.51
01077,Lauderdale AL,0.0,17548,19532,47.32
01079,Lawrence AL,0.0,5209,7636,40.55
01081,Lee AL,0.0,33157,34022,49.36
01083,Limestone AL,0.0,12697,27626,31.49
01085,Lowndes AL,1.0,1992,1916,50.97
01087,Macon AL,1.0,3897,3468,52.91
01089,Madison AL,0.0,55143,108503,33.7
01091,Marengo AL,1.0,4161,3199,56.54
01093,Marion AL,1.0,5292,5979,46.95
