puma22,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0100100,34308,38181,1374,254,4247,0,28773,2938,2938,15114,14833,1840,47.33
0100200,12697,27626,1313,581,2402,0,10738,858,1367,6547,4052,589,31.49
0100300,24639,36157,2181,67,4737,0,19123,2652,3061,11130,10612,1744,40.53
0100401,15103,29067,1351,553,2323,0,13002,1349,1796,7148,5081,917,34.19
0100402,22287,45027,277,835,11057,0,11014,1013,2859,7986,6282,876,33.11
0100403,15367,31526,766,1409,4082,172,11192,1343,2762,5671,5703,694,32.77
0100501,19154,23245,962,209,1045,0,17300,2893,2875,6778,7382,1933,45.18
0100600,24791,21429,1695,227,860,0,22722,2221,2429,12742,12644,1531,53.64
0100700,25616,22539,1347,181,6017,0,20672,1235,2953,12250,11651,316,53.19
0100800,25857,18774,1591,403,5936,0,19442,1292,3106,10422,10889,719,57.94
0100900,26788,28107,1516,70,2840,117,23795,1592,2088,11342,13917,707,48.8
0101000,25505,28720,985,173,1246,0,24206,752,3363,12454,13085,586,47.04
0101100,27175,20880,720,45,15551,0,12018,551,2496,12819,14048,366,56.55
0101201,12899,24781,212,237,3599,0,9464,450,1347,6121,4980,425,34.23
0101202,27608,21521,382,989,15991,0,11431,832,3610,9273,8575,1086,56.19
0101301,21002,22178,779,60,6016,43,15319,431,2609,10480,10887,184,48.64
0101401,19156,25963,1140,362,11571,148,8123,1057,1413,9133,9447,716,42.46
0101402,22358,27865,521,159,11317,113,10901,285,3258,9186,9265,233,44.52
0101403,46931,32900,702,619,39591,98,7467,1568,4726,19103,17241,1446,58.79
0101404,22256,54450,376,1339,6627,119,14890,1539,2107,7308,7110,1309,29.01
0101501,15224,37935,879,600,2601,0,12198,1786,1862,6094,5178,1191,28.64
0101502,18114,31978,691,469,4604,0,13469,1527,2332,8274,7287,829,36.16
0101600,29989,24206,1593,403,7528,0,22762,674,3447,14795,15048,354,55.34
0101700,22443,21528,385,12,13005,0,9835,736,2313,10168,10439,379,51.04
0101801,23540,20921,433,634,18267,0,5214,695,3851,7422,6969,1067,52.95
0101802,22395,20303,407,584,17063,0,5298,681,3630,7178,6738,998,52.45
0101901,16029,22020,194,18,6470,0,9980,799,1966,7416,6649,340,42.13
0102000,23232,20672,449,235,9953,11,14041,1179,3045,11371,10188,259,52.92
0102101,23572,25873,250,663,8218,0,15163,1769,2468,6902,5932,558,47.67
0102201,21815,18576,452,363,11359,22,11035,1419,2488,8033,6889,399,54.01
0102300,30726,30407,757,402,10438,64,20896,1844,4726,13084,13696,1056,50.26
0102400,19749,20009,415,224,5976,21,14182,1049,2916,9241,8333,401,49.67
0102500,25850,22289,573,242,11618,22,15147,1351,3378,11989,9749,274,53.7
0102600,29392,19035,973,282,15395,0,14332,618,2886,14697,13803,540,60.69
0102701,16190,31967,305,145,3103,0,12728,1254,2350,8012,5409,608,33.62
0102702,15450,30502,288,140,2962,0,12145,1197,2245,7645,5163,581,33.62
0102801,25983,25102,1266,391,6743,0,18481,1268,3388,10019,8713,1148,50.86
0102802,25737,25879,742,751,10331,0,14758,1046,3266,8303,7763,1043,49.86
0102803,34782,25475,277,789,26191,0,8575,366,4202,13812,10004,550,57.72
0200101,19665,29850,4410,2433,4278,0,12606,2981,3189,5290,7814,3425,39.72
0200102,18222,41781,3882,2596,1875,150,12990,2995,3736,7255,6828,2281,30.37
0200200,28729,37539,6564,1723,1147,237,26491,2101,6957,11545,11859,918,43.35
0200300,22990,39573,5238,2150,598,219,18576,2339,5437,8341,10615,1153,36.75
0200400,17086,15834,13517,1100,432,0,3948,241,2142,7075,7581,1313,51.9
0400101,24112,48825,628,719,1000,0,22477,5104,4033,12851,9712,2607,33.06
0400102,21014,34781,1599,928,1760,209,17215,6552,2563,9552,6403,2585,37.66
0400103,23958,23665,1925,1927,3140,0,17807,12246,2345,6308,6988,4875,50.31
0400104,19571,25904,860,1307,1683,28,16902,6149,2438,9137,7372,3106,43.04
0400105,14773,43765,338,1069,1559,215,12365,5318,1486,5381,4478,1898,25.24
0400106,17236,30518,1078,1115,2160,68,13882,8036,1319,5904,6650,4550,36.09
0400107,11144,39160,573,1462,854,0,9004,2393,1000,5920,4174,1515,22.15
0400108,15271,30087,683,2142,1420,0,10892,5853,652,5111,4016,2537,33.67
0400109,19236,27587,1670,3182,2787,0,14492,6574,895,4182,5537,2900,41.08
0400110,14954,50313,459,555,419,0,13729,2259,1289,6261,4456,773,22.91
0400111,11154,40023,1338,831,341,0,9750,1717,1822,6986,3878,912,21.79
0400112,10701,47471,141,901,577,0,9745,934,1165,6061,2416,1195,18.4
0400113,11731,31191,655,643,629,0,10222,1770,1764,6849,3819,1466,27.33
0400114,19757,27835,1397,1304,1830,578,16391,6607,1824,8833,6622,3308,41.51
0400115,22518,21544,2271,1293,3368,0,16892,8384,1678,7115,7827,3562,51.11
0400116,21727,28948,1406,875,4916,95,15352,7540,1747,8085,6275,4874,42.88
0400117,17422,32844,648,707,1824,1,12696,7203,1175,6702,5907,3079,34.66
0400118,25012,23407,1361,1421,3721,31,18714,12944,587,6238,6457,6467,51.66
0400119,22625,12808,1221,910,5376,0,13187,15026,1257,8539,8055,7484,63.85
0400120,11338,31497,1150,985,1899,0,8046,3729,1023,4959,3100,1182,26.47
0400121,27474,20651,859,589,3609,51,16533,21395,2290,7476,8692,12575,57.09
0400122,20515,8121,1258,790,1506,0,14086,16399,969,6800,7513,11993,71.64
0400123,23816,9791,1684,550,2388,0,13753,19509,1104,6177,9966,12898,70.87
0400124,24080,16016,1102,875,3230,0,17607,14689,2014,7831,10582,10136,60.06
0400125,23433,17957,2342,1943,2162,0,18695,12081,2122,8022,6811,7466,56.62
0400126,18568,29988,545,2010,2069,1,14475,5603,1777,7627,6612,4303,38.24
0400127,18450,30166,548,1583,2245,46,15266,5205,2111,8547,7289,2047,37.95
0400128,15395,28009,920,1154,2142,1,13272,4066,1555,6034,4947,1769,35.47
0400129,13127,38817,407,1168,1347,55,11290,3383,1245,5785,4541,1374,25.27
0400130,24866,37303,1113,831,1786,223,22173,6494,5315,17364,11512,2609,40.0
0400131,14447,30896,303,1055,982,0,13023,4736,4196,7930,7191,1064,31.86
0400132,15521,34596,1291,1042,2470,1,11932,6639,3627,5672,6317,1846,30.97
0400133,19767,20423,1154,857,1624,142,15758,11695,1557,6481,7412,6080,49.18
0400134,19722,41539,1253,1224,1841,147,15783,7712,3514,9887,7848,3479,32.19
0400135,10169,46607,150,710,1480,0,9174,2697,1820,4687,3354,939,17.91
0400400,23317,17919,4528,291,693,124,18797,7775,4302,12552,10197,490,56.55
0400500,29009,26327,11687,872,1244,1,18151,6762,2765,10643,9530,4465,52.42
0400601,28873,25174,2167,499,788,86,26718,7530,4619,17256,12823,2235,53.42
0400602,26518,23107,1991,459,722,79,24538,6916,4239,15850,11782,2056,53.44
0400701,22587,18697,1342,362,1055,13,19116,14367,3659,10343,8267,7989,54.71
