puma22,Num Eligible,Num Ineligible,Percentage Eligible
0100100,34308,38181,47.33
0100200,12697,27626,31.49
0100300,24639,36157,40.53
0100401,15103,29067,34.19
0100402,22287,45027,33.11
0100403,15367,31526,32.77
0100501,19154,23245,45.18
0100600,24791,21429,53.64
0100700,25616,22539,53.19
0100800,25857,18774,57.94
0100900,26788,28107,48.8
0101000,25505,28720,47.04
0101100,27175,20880,56.55
0101201,12899,24781,34.23
0101202,27608,21521,56.19
0101301,21002,22178,48.64
0101401,19156,25963,42.46
0101402,22358,27865,44.52
0101403,46931,32900,58.79
0101404,22256,54450,29.01
0101501,15224,37935,28.64
0101502,18114,31978,36.16
0101600,29989,24206,55.34
0101700,22443,21528,51.04
0101801,23540,20921,52.95
0101802,22395,20303,52.45
0101901,16029,22020,42.13
0102000,23232,20672,52.92
0102101,23572,25873,47.67
0102201,21815,18576,54.01
0102300,30726,30407,50.26
0102400,19749,20009,49.67
0102500,25850,22289,53.7
0102600,29392,19035,60.69
0102701,16190,31967,33.62
0102702,15450,30502,33.62
0102801,25983,25102,50.86
0102802,25737,25879,49.86
0102803,34782,25475,57.72
0200101,19665,29850,39.72
0200102,18222,41781,30.37
0200200,28729,37539,43.35
0200300,22990,39573,36.75
0200400,17086,15834,51.9
0400101,24112,48825,33.06
0400102,21014,34781,37.66
0400103,23958,23665,50.31
0400104,19571,25904,43.04
0400105,14773,43765,25.24
0400106,17236,30518,36.09
0400107,11144,39160,22.15
0400108,15271,30087,33.67
0400109,19236,27587,41.08
0400110,14954,50313,22.91
0400111,11154,40023,21.79
0400112,10701,47471,18.4
0400113,11731,31191,27.33
0400114,19757,27835,41.51
0400115,22518,21544,51.11
0400116,21727,28948,42.88
0400117,17422,32844,34.66
0400118,25012,23407,51.66
0400119,22625,12808,63.85
0400120,11338,31497,26.47
0400121,27474,20651,57.09
0400122,20515,8121,71.64
0400123,23816,9791,70.87
0400124,24080,16016,60.06
0400125,23433,17957,56.62
0400126,18568,29988,38.24
0400127,18450,30166,37.95
0400128,15395,28009,35.47
0400129,13127,38817,25.27
0400130,24866,37303,40.0
0400131,14447,30896,31.86
0400132,15521,34596,30.97
0400133,19767,20423,49.18
0400134,19722,41539,32.19
0400135,10169,46607,17.91
0400400,23317,17919,56.55
0400500,29009,26327,52.42
0400601,28873,25174,53.42
0400602,26518,23107,53.44
0400701,22587,18697,54.71
0400803,20844,36819,36.15
0400805,17803,23189,43.43
0400807,25634,26280,49.38
0400900,34252,32826,51.06
0401000,38716,21247,64.57
0401101,22969,18765,55.04
0401901,21315,21739,49.51
0401902,22439,34028,39.74
0401903,14439,34730,29.37
0401904,11370,40194,22.05
0401905,13467,26514,33.68
0401906,26943,26763,50.17
0401907,30787,21760,58.59
0401908,27493,14085,66.12
0401909,23310,25359,47.89
0402502,27297,36846,42.56
0402503,20285,27357,42.58
0500101,22223,42178,34.51
0500102,14668,27967,34.4
0500201,24604,28724,46.14
0500202,18603,21716,46.14
0500300,36241,29470,55.15
0500400,27500,18310,60.03
0500500,23817,19664,54.78
0500600,36079,20933,63.28
0500700,28308,22745,55.45
0500800,23707,20017,54.22
0500900,35406,41112,46.27
0501000,30454,20509,59.76
0501100,44923,36159,55.4
0501200,30864,22175,58.19
0501300,37289,32689,53.29
0501400,24996,35459,41.35
0501501,41017,45106,47.63
0501502,37340,48226,43.64
0501600,34608,28190,55.11
0501700,27829,21262,56.69
0502800,18,25,41.86
0600101,16578,35398,31.9
0600111,20163,25242,44.41
0600112,11750,34091,25.63
0600113,22265,18268,54.93
0600114,27704,44103,38.58
0600115,13681,21694,38.67
0600116,14204,16967,45.57
0600117,10593,22384,32.12
0600118,11316,29303,27.86
0600119,9827,33972,22.44
0600120,9248,31959,22.44
0600121,9926,27949,26.21
0600122,13791,17186,44.52
0600123,19358,19778,49.46
0600300,35618,45829,43.73
0600700,40192,41161,49.4
0601100,25655,19211,57.18
0601301,23857,20649,53.6
0601305,8352,42928,16.29
0601308,19643,18755,51.16
0601309,13961,27719,33.5
0601310,17990,31706,36.2
0601311,18031,29202,38.17
0601312,7075,31299,18.44
0601313,20408,46040,30.71
0601314,17502,16243,51.87
0601500,25382,24416,50.97
0601700,24554,50355,32.78
0601901,29582,11180,72.57
0601902,31228,43505,41.79
0601903,24968,10884,69.64
0601904,40296,16787,70.59
0601905,23180,10864,68.09
0601906,15196,26228,36.68
0601907,21293,17455,54.95
0602300,31636,23547,57.33
0602500,31686,16164,66.22
0602903,37183,13772,72.97
0602904,25292,6250,80.19
0602905,38031,30280,55.67
0602906,26851,17175,60.99
0602907,16415,16737,49.51
0602908,24794,30169,45.11
0603100,24053,19090,55.75
0603300,33736,28010,54.64
0603703,29313,24675,54.3
0603704,29522,21454,57.91
0603705,25963,36640,41.47
0603706,23479,20766,53.07
0603707,24452,11766,67.51
0603708,25366,16298,60.88
0603709,11372,28951,28.2
0603710,28139,23578,54.41
0603711,19534,34655,36.05
0603712,24876,15170,62.12
0603713,14726,18659,44.11
0603714,14964,19646,43.24
0603715,18686,15113,55.29
0603716,14643,9012,61.9
0603717,30245,31888,48.68
0603718,20550,36182,36.22
0603719,34618,36167,48.91
0603720,20550,29187,41.32
0603721,31247,23983,56.58
0603722,36884,26465,58.22
0603723,26960,13886,66.0
0603724,28579,35821,44.38
0603725,30895,34949,46.92
0603728,16976,33924,33.35
0603730,33351,39923,45.52
0603731,19465,39251,33.15
0603732,41807,35288,54.23
0603733,29499,15537,65.5
0603734,46386,32156,59.06
0603735,31774,31142,50.5
0603736,18518,23272,44.31
0603737,23076,14750,61.01
0603738,24584,8723,73.81
0603739,20387,32531,38.53
0603740,20758,14916,58.19
0603741,26825,7901,77.25
0603742,25765,7100,78.4
0603743,21953,8519,72.04
0603744,46170,26630,63.42
0603745,25473,4068,86.23
0603746,23861,7197,76.83
0603747,36195,27970,56.41
0603748,22170,59587,27.12
0603750,42654,11462,78.82
0603751,33679,5574,85.8
0603752,30986,11973,72.13
0603753,18800,16903,52.66
0603754,17172,22354,43.44
0603757,29414,15239,65.87
0603758,31131,21734,58.89
0603759,22499,14298,61.14
0603760,10833,44766,19.48
0603761,14052,35271,28.49
0603762,15270,17618,46.43
0603763,23753,20813,53.3
0603764,21111,30025,41.28
0603766,22969,13051,63.77
0603767,32997,29702,52.63
0603768,11402,29775,27.69
0603770,15199,25786,37.08
0603771,14198,20910,40.44
0603772,10592,20394,34.18
0603773,16011,24576,39.45
0603774,16981,38432,30.64
0603775,15609,37291,29.51
0603776,16002,27129,37.1
0603778,22018,16610,57.0
0603779,14155,37594,27.35
0603780,22004,22922,48.98
0603781,15834,11031,58.94
0603782,23727,14168,62.61
0603900,25642,18407,58.21
0604103,12849,26165,32.93
0604104,16698,47666,25.94
0604701,23245,11076,67.73
0604702,30567,20078,60.36
