zcta,Num Eligible,Num Ineligible,Percentage Eligible
0000 ,1450,1541,48.48
00601,5145,756,87.19
00602,11318,1801,86.27
00603,15012,2388,86.28
00606,1494,219,87.22
00610,8217,1221,87.06
00611,501,74,87.13
00612,18263,3018,85.82
00616,2873,476,85.79
00617,6592,1092,85.79
00622,2332,385,85.83
00623,11691,1930,85.83
00624,6357,912,87.45
00627,9914,1379,87.79
00631,420,62,87.14
00636,164,27,85.86
00637,6760,948,87.7
00638,5403,795,87.17
00641,7246,1065,87.19
00646,9704,3627,72.79
00647,1348,189,87.7
00650,4001,654,85.95
00652,1177,195,85.79
00653,2702,377,87.76
00656,5251,733,87.75
00659,11286,1570,87.79
00660,4939,733,87.08
00662,12297,1711,87.79
00664,4493,660,87.19
00667,6995,1155,85.83
00669,8302,1220,87.19
00670,2635,387,87.19
00674,11499,1911,85.75
00676,11063,1760,86.27
00677,4639,738,86.27
00678,7660,1067,87.77
00680,14711,2187,87.06
00682,9049,1343,87.08
00683,8857,1463,85.82
00685,12030,1768,87.19
00687,8054,1632,83.15
00688,3639,603,85.79
00690,1605,255,86.29
00692,9217,1868,83.15
00693,15735,3185,83.17
00694,63,13,82.89
00698,9872,1379,87.74
00703,6928,1465,82.54
00704,2276,306,88.15
00705,6693,1413,82.57
00707,3495,470,88.15
00714,5239,704,88.15
00715,673,119,84.97
00716,8560,1713,83.33
00717,4278,856,83.33
00718,7140,1205,85.56
00719,7751,1601,82.88
00720,6061,890,87.2
00723,5298,712,88.15
00725,22973,5842,79.73
00727,16312,3960,80.47
00728,11045,2210,83.33
00729,12922,3614,78.14
00730,9194,1840,83.32
00731,3699,734,83.44
00735,3463,584,85.57
00736,12539,2651,82.55
00738,9415,1589,85.56
00739,9563,2022,82.55
00740,456,77,85.55
00741,1082,183,85.53
00745,13011,3639,78.14
00751,6418,864,88.14
00754,9643,2793,77.54
00757,5692,778,87.98
00765,2527,426,85.57
00766,6307,862,87.98
00767,9396,1585,85.57
00769,9634,1316,87.98
00771,9175,2630,77.72
00772,4893,1369,78.14
00773,4846,1356,78.14
00775,548,92,85.62
00777,9921,2874,77.54
00778,10791,3281,76.68
