county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
02013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
02013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
02013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
02013,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
02013,5,0,0,1,0,2,0,0,0,0,0,0,0,2,2,2,2
02013,6,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1
02013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,9,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,4
02013,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
02013,10,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
02013,10,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2
02013,11,0,0,1,1,2,0,0,0,0,0,0,0,2,2,0,2
02013,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02013,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,12,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1
02013,14,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2
02013,16,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
02013,16,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
02013,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
02013,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
