metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133
99999,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,204
99999,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,209,209
99999,0,0,0,0,0,0,0,0,0,0,7830,0,0,0,0,0,7830
99999,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88,88
99999,0,0,0,0,0,0,0,0,0,0,1992,0,0,0,1992,0,1992
99999,0,0,0,0,0,0,0,0,0,0,3359,0,0,3359,0,0,3359
99999,0,0,0,0,0,0,0,0,0,0,1214,0,0,1214,1214,0,1214
99999,0,0,0,0,0,0,0,0,0,0,652,0,652,0,0,0,652
99999,0,0,0,0,0,0,0,0,0,0,255,0,255,0,255,0,255
99999,0,0,0,0,0,0,0,0,0,0,55,0,55,55,0,0,55
99999,0,0,0,0,0,0,0,0,0,0,572,0,572,572,572,0,572
99999,0,0,0,0,0,0,0,0,0,0,228,228,0,0,0,228,228
99999,0,0,0,0,0,0,0,0,0,0,221,221,0,221,0,221,221
99999,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,3463
99999,0,0,0,0,0,0,0,564,0,0,0,0,0,0,564,0,564
99999,0,0,0,0,0,0,0,827,0,0,0,0,0,827,0,0,827
99999,0,0,0,0,0,0,0,774,0,0,0,0,0,774,774,0,774
99999,0,0,0,0,0,0,0,176,0,0,0,0,176,0,0,0,176
99999,0,0,0,0,0,0,0,312,0,0,0,0,312,312,0,0,312
99999,0,0,0,0,0,0,0,499,0,0,499,0,0,0,0,0,499
99999,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,215
99999,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,60
99999,0,0,0,0,0,0,70,0,0,0,0,0,0,70,0,70,70
99999,0,0,0,0,0,0,64,0,0,0,0,0,64,64,0,0,64
99999,0,0,0,0,0,0,81,0,0,0,81,0,0,0,0,0,81
99999,0,0,0,0,0,0,58,0,0,0,58,0,0,0,58,0,58
99999,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,67
99999,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
99999,0,0,0,0,0,164,0,0,0,0,164,0,0,0,0,0,164
