state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133
01,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,204
01,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,209,209
01,0,0,0,0,0,0,0,0,0,0,7830,0,0,0,0,0,7830
01,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88,88
01,0,0,0,0,0,0,0,0,0,0,1992,0,0,0,1992,0,1992
01,0,0,0,0,0,0,0,0,0,0,3359,0,0,3359,0,0,3359
01,0,0,0,0,0,0,0,0,0,0,1214,0,0,1214,1214,0,1214
01,0,0,0,0,0,0,0,0,0,0,652,0,652,0,0,0,652
01,0,0,0,0,0,0,0,0,0,0,255,0,255,0,255,0,255
01,0,0,0,0,0,0,0,0,0,0,55,0,55,55,0,0,55
01,0,0,0,0,0,0,0,0,0,0,572,0,572,572,572,0,572
01,0,0,0,0,0,0,0,0,0,0,228,228,0,0,0,228,228
01,0,0,0,0,0,0,0,0,0,0,221,221,0,221,0,221,221
01,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,3463
01,0,0,0,0,0,0,0,564,0,0,0,0,0,0,564,0,564
01,0,0,0,0,0,0,0,827,0,0,0,0,0,827,0,0,827
01,0,0,0,0,0,0,0,774,0,0,0,0,0,774,774,0,774
01,0,0,0,0,0,0,0,176,0,0,0,0,176,0,0,0,176
01,0,0,0,0,0,0,0,312,0,0,0,0,312,312,0,0,312
01,0,0,0,0,0,0,0,499,0,0,499,0,0,0,0,0,499
01,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,215
01,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,60,60
01,0,0,0,0,0,0,70,0,0,0,0,0,0,70,0,70,70
01,0,0,0,0,0,0,64,0,0,0,0,0,64,64,0,0,64
01,0,0,0,0,0,0,81,0,0,0,81,0,0,0,0,0,81
01,0,0,0,0,0,0,58,0,0,0,58,0,0,0,58,0,58
01,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,67
01,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
01,0,0,0,0,0,164,0,0,0,0,164,0,0,0,0,0,164
01,0,0,0,0,0,59,0,0,0,0,59,0,0,59,59,0,59
01,0,0,0,0,0,57,0,0,0,0,57,0,57,0,0,0,57
01,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,20
01,0,0,0,0,1,0,0,0,0,0,915,0,0,0,0,0,915
01,0,0,0,0,1,0,0,0,0,0,345,0,0,0,345,0,345
01,0,0,0,0,1,0,0,0,0,0,135,0,0,135,0,0,135
01,0,0,0,0,1,0,0,0,0,0,142,0,0,142,142,0,142
01,0,0,0,0,1,0,0,0,0,0,55,0,55,0,0,0,55
01,0,0,0,0,1,0,0,1024,0,0,0,0,0,0,0,0,1024
01,0,0,0,0,1,0,0,292,0,0,0,0,0,0,292,0,292
01,0,0,0,0,1,0,0,388,0,0,0,0,0,388,0,0,388
01,0,0,0,0,1,0,0,199,0,0,0,0,0,199,199,0,199
01,0,0,0,0,1,0,0,184,0,0,0,0,184,0,0,0,184
01,0,0,0,1,0,0,0,0,0,0,0,75,0,0,0,75,75
01,0,0,0,1,0,0,0,0,0,0,1436,0,0,0,0,0,1436
01,0,0,0,1,0,0,0,0,0,0,665,0,0,0,665,0,665
01,0,0,0,1,0,0,0,0,0,0,593,0,0,593,0,0,593
01,0,0,0,1,0,0,0,0,0,0,955,0,0,955,955,0,955
01,0,0,0,1,0,0,0,0,0,0,509,0,509,0,509,0,509
01,0,0,0,1,0,0,0,0,0,0,132,0,132,132,132,0,132
01,0,0,0,1,0,0,0,0,0,0,124,124,0,0,0,0,124
01,0,0,0,1,0,0,0,0,0,0,426,426,0,0,0,426,426
01,0,0,0,1,0,0,0,0,0,0,61,61,61,61,61,61,61
01,0,0,0,1,0,0,0,1118,0,0,0,0,0,0,0,0,1118
01,0,0,0,1,0,0,0,588,0,0,0,0,0,0,588,0,588
