metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,322
99999,0,0,0,0,0,0,0,0,0,0,3176,0,0,0,0,0,3176
99999,0,0,0,0,0,0,0,0,0,0,1248,0,0,0,1248,0,1248
99999,0,0,0,0,0,0,0,0,0,0,2222,0,0,2222,0,0,2222
99999,0,0,0,0,0,0,0,0,0,0,877,0,0,877,877,0,877
99999,0,0,0,0,0,0,0,0,0,0,515,0,515,0,0,0,515
99999,0,0,0,0,0,0,0,0,0,0,384,0,384,0,0,384,384
99999,0,0,0,0,0,0,0,0,0,0,112,0,112,0,112,0,112
99999,0,0,0,0,0,0,0,0,0,0,206,0,206,206,0,0,206
99999,0,0,0,0,0,0,0,0,0,0,188,0,188,188,188,0,188
99999,0,0,0,0,0,0,0,0,0,0,521,521,0,0,0,0,521
99999,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,60,60
99999,0,0,0,0,0,0,0,0,0,0,228,228,0,228,0,228,228
99999,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,635
99999,0,0,0,0,0,0,0,303,0,0,0,0,0,0,303,0,303
99999,0,0,0,0,0,0,0,494,0,0,0,0,0,494,0,0,494
99999,0,0,0,0,0,0,0,75,0,0,0,0,75,75,0,0,75
99999,0,0,0,0,0,0,78,0,0,0,78,0,0,0,0,0,78
99999,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,39
99999,0,0,0,0,0,11,0,0,0,0,11,0,11,11,11,0,11
99999,0,0,0,0,0,117,0,0,0,0,117,117,0,0,0,0,117
99999,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,19
99999,0,0,0,0,1,0,0,0,0,0,116,0,0,0,0,0,116
99999,0,0,0,0,1,0,0,0,0,0,140,0,0,0,140,0,140
99999,0,0,0,0,1,0,0,0,0,0,633,0,0,633,0,0,633
99999,0,0,0,0,1,0,0,0,0,0,273,0,0,273,273,0,273
99999,0,0,0,0,1,0,0,0,0,0,74,0,74,74,0,0,74
99999,0,0,0,0,1,0,0,155,0,0,0,0,0,0,0,0,155
99999,0,0,0,0,1,0,0,108,0,0,0,0,0,0,108,0,108
99999,0,0,0,0,1,0,0,12,0,0,0,0,0,12,12,0,12
99999,0,0,0,0,1,12,0,0,0,0,0,0,12,0,0,0,12
99999,0,0,0,1,0,0,0,0,0,0,3145,0,0,0,0,0,3145
99999,0,0,0,1,0,0,0,0,0,0,577,0,0,0,577,0,577
99999,0,0,0,1,0,0,0,0,0,0,469,0,0,469,0,0,469
99999,0,0,0,1,0,0,0,0,0,0,765,0,0,765,765,0,765
99999,0,0,0,1,0,0,0,0,0,0,93,0,93,0,93,0,93
99999,0,0,0,1,0,0,0,0,0,0,288,0,288,288,288,0,288
99999,0,0,0,1,0,0,0,0,0,0,580,580,0,0,0,0,580
99999,0,0,0,1,0,0,0,0,0,0,66,66,0,0,66,0,66
99999,0,0,0,1,0,0,0,0,0,0,74,74,74,74,0,74,74
99999,0,0,0,1,0,0,0,458,0,0,0,0,0,0,0,0,458
99999,0,0,0,1,0,0,0,553,0,0,0,0,0,0,553,0,553
99999,0,0,0,1,0,0,0,69,0,0,0,0,0,69,0,0,69
99999,0,0,0,1,0,0,0,147,0,0,0,0,147,0,0,0,147
99999,0,0,0,1,0,0,0,50,0,0,50,0,0,50,0,0,50
99999,0,0,0,1,0,0,0,60,0,0,60,0,0,60,60,0,60
99999,0,0,0,1,0,0,0,75,75,0,0,75,0,0,0,0,75
99999,0,0,0,1,0,0,20,0,0,0,20,0,0,0,0,0,20
99999,0,0,0,1,0,0,69,69,0,0,0,69,0,0,0,0,69
99999,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,66
