state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988
06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,365
06,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,963
06,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0,51
06,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,148
06,0,0,0,0,0,0,0,0,0,0,0,0,176,176,0,0,176
06,0,0,0,0,0,0,0,0,0,0,0,3857,0,0,0,0,3857
06,0,0,0,0,0,0,0,0,0,0,0,2721,0,0,0,2721,2721
06,0,0,0,0,0,0,0,0,0,0,0,258,0,0,258,0,258
06,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,1105,1105,1105
06,0,0,0,0,0,0,0,0,0,0,0,1157,0,1157,0,0,1157
06,0,0,0,0,0,0,0,0,0,0,0,2186,0,2186,0,2186,2186
06,0,0,0,0,0,0,0,0,0,0,0,374,0,374,374,0,374
06,0,0,0,0,0,0,0,0,0,0,0,939,0,939,939,939,939
06,0,0,0,0,0,0,0,0,0,0,0,291,291,291,0,0,291
06,0,0,0,0,0,0,0,0,0,0,0,92,92,92,0,92,92
06,0,0,0,0,0,0,0,0,0,0,0,329,329,329,329,0,329
06,0,0,0,0,0,0,0,0,0,0,27529,0,0,0,0,0,27529
06,0,0,0,0,0,0,0,0,0,0,1799,0,0,0,0,1799,1799
06,0,0,0,0,0,0,0,0,0,0,4490,0,0,0,4490,0,4490
06,0,0,0,0,0,0,0,0,0,0,104,0,0,0,104,104,104
06,0,0,0,0,0,0,0,0,0,0,15926,0,0,15926,0,0,15926
06,0,0,0,0,0,0,0,0,0,0,806,0,0,806,0,806,806
06,0,0,0,0,0,0,0,0,0,0,6472,0,0,6472,6472,0,6472
06,0,0,0,0,0,0,0,0,0,0,684,0,0,684,684,684,684
06,0,0,0,0,0,0,0,0,0,0,653,0,653,0,0,0,653
06,0,0,0,0,0,0,0,0,0,0,357,0,357,0,357,0,357
06,0,0,0,0,0,0,0,0,0,0,82,0,82,0,82,82,82
06,0,0,0,0,0,0,0,0,0,0,1380,0,1380,1380,0,0,1380
06,0,0,0,0,0,0,0,0,0,0,823,0,823,823,823,0,823
06,0,0,0,0,0,0,0,0,0,0,6780,6780,0,0,0,0,6780
06,0,0,0,0,0,0,0,0,0,0,2252,2252,0,0,0,2252,2252
06,0,0,0,0,0,0,0,0,0,0,810,810,0,0,810,0,810
06,0,0,0,0,0,0,0,0,0,0,663,663,0,0,663,663,663
06,0,0,0,0,0,0,0,0,0,0,2376,2376,0,2376,0,0,2376
06,0,0,0,0,0,0,0,0,0,0,1075,1075,0,1075,0,1075,1075
06,0,0,0,0,0,0,0,0,0,0,714,714,0,714,714,0,714
06,0,0,0,0,0,0,0,0,0,0,486,486,0,486,486,486,486
06,0,0,0,0,0,0,0,0,0,0,938,938,938,0,0,0,938
06,0,0,0,0,0,0,0,0,0,0,512,512,512,0,0,512,512
06,0,0,0,0,0,0,0,0,0,0,90,90,90,0,90,0,90
06,0,0,0,0,0,0,0,0,0,0,56,56,56,0,56,56,56
06,0,0,0,0,0,0,0,0,0,0,280,280,280,280,0,0,280
06,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,0,58
06,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14
06,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,425
06,0,0,0,0,0,0,0,0,0,388,0,0,388,388,0,0,388
06,0,0,0,0,0,0,0,0,0,202,202,0,0,0,0,0,202
06,0,0,0,0,0,0,0,0,0,74,74,0,74,0,74,0,74
06,0,0,0,0,0,0,0,3662,0,0,0,0,0,0,0,0,3662
06,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,152,152
06,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,1044,0,1044
06,0,0,0,0,0,0,0,1255,0,0,0,0,0,1255,0,0,1255
06,0,0,0,0,0,0,0,224,0,0,0,0,0,224,0,224,224
06,0,0,0,0,0,0,0,120,0,0,0,0,0,120,120,0,120
06,0,0,0,0,0,0,0,37,0,0,0,0,37,0,37,0,37
06,0,0,0,0,0,0,0,151,0,0,0,0,151,151,0,0,151
06,0,0,0,0,0,0,0,81,0,0,0,0,81,81,81,0,81
06,0,0,0,0,0,0,0,573,0,0,0,573,0,0,0,0,573
06,0,0,0,0,0,0,0,32,0,0,0,32,0,32,0,32,32
06,0,0,0,0,0,0,0,58,0,0,0,58,58,0,58,0,58
06,0,0,0,0,0,0,0,647,0,0,647,0,0,0,0,0,647
06,0,0,0,0,0,0,0,633,0,0,633,0,0,633,0,0,633
06,0,0,0,0,0,0,0,532,0,0,532,532,0,0,0,0,532
06,0,0,0,0,0,0,0,53,0,0,53,53,53,0,53,0,53
06,0,0,0,0,0,0,0,36,0,36,0,0,0,36,0,36,36
06,0,0,0,0,0,0,10406,0,0,0,0,0,0,0,0,0,10406
06,0,0,0,0,0,0,9878,0,0,0,0,0,0,0,0,9878,9878
06,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,1527,0,1527
06,0,0,0,0,0,0,220,0,0,0,0,0,0,0,220,220,220
06,0,0,0,0,0,0,2850,0,0,0,0,0,0,2850,0,0,2850
06,0,0,0,0,0,0,2285,0,0,0,0,0,0,2285,0,2285,2285
06,0,0,0,0,0,0,351,0,0,0,0,0,0,351,351,0,351
06,0,0,0,0,0,0,1291,0,0,0,0,0,0,1291,1291,1291,1291
06,0,0,0,0,0,0,219,0,0,0,0,0,219,0,0,0,219
06,0,0,0,0,0,0,62,0,0,0,0,0,62,62,0,0,62
06,0,0,0,0,0,0,160,0,0,0,0,0,160,160,160,0,160
06,0,0,0,0,0,0,481,0,0,0,0,481,0,0,0,0,481
06,0,0,0,0,0,0,69,0,0,0,0,69,0,0,69,0,69
06,0,0,0,0,0,0,95,0,0,0,0,95,0,95,0,0,95
06,0,0,0,0,0,0,3473,0,0,0,3473,0,0,0,0,0,3473
06,0,0,0,0,0,0,209,0,0,0,209,0,0,0,0,209,209
06,0,0,0,0,0,0,214,0,0,0,214,0,0,0,214,0,214
06,0,0,0,0,0,0,343,0,0,0,343,0,0,343,0,0,343
06,0,0,0,0,0,0,257,0,0,0,257,0,0,257,0,257,257
06,0,0,0,0,0,0,109,0,0,0,109,0,109,0,0,0,109
06,0,0,0,0,0,0,40,0,0,0,40,0,40,40,0,0,40
06,0,0,0,0,0,0,52,0,0,0,52,0,52,52,52,0,52
06,0,0,0,0,0,0,767,0,0,0,767,767,0,0,0,0,767
06,0,0,0,0,0,0,30,0,0,0,30,30,0,0,30,0,30
06,0,0,0,0,0,0,60,0,0,0,60,60,0,60,0,0,60
06,0,0,0,0,0,0,151,0,0,151,0,0,0,151,0,0,151
06,0,0,0,0,0,0,102,0,0,102,0,102,0,0,102,0,102
06,0,0,0,0,0,0,69,0,0,69,69,0,0,0,0,0,69
06,0,0,0,0,0,0,69,0,69,0,69,0,0,69,0,0,69
06,0,0,0,0,0,0,11,0,11,11,11,0,11,0,0,0,11
06,0,0,0,0,0,0,257,257,0,0,0,0,0,0,0,257,257
06,0,0,0,0,0,0,134,134,0,0,134,0,0,0,134,0,134
06,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,178
06,0,0,0,0,0,61,0,0,0,0,0,0,0,0,61,61,61
06,0,0,0,0,0,145,0,0,0,0,0,0,0,145,0,0,145
06,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,10
06,0,0,0,0,0,712,0,0,0,0,0,712,0,0,0,0,712
06,0,0,0,0,0,169,0,0,0,0,0,169,0,0,0,169,169
06,0,0,0,0,0,84,0,0,0,0,0,84,0,0,84,84,84
06,0,0,0,0,0,369,0,0,0,0,0,369,0,369,0,0,369
06,0,0,0,0,0,63,0,0,0,0,0,63,0,63,0,63,63
06,0,0,0,0,0,257,0,0,0,0,257,0,0,0,0,0,257
06,0,0,0,0,0,113,0,0,0,0,113,0,0,0,113,0,113
06,0,0,0,0,0,110,0,0,0,0,110,0,0,110,0,0,110
06,0,0,0,0,0,119,0,0,0,0,119,0,0,119,119,0,119
06,0,0,0,0,0,18,0,0,0,0,18,0,18,18,0,0,18
06,0,0,0,0,0,222,0,0,0,0,222,222,0,0,0,0,222
06,0,0,0,0,0,162,0,0,0,0,162,162,0,0,162,0,162
06,0,0,0,0,0,37,0,0,0,0,37,37,0,37,37,37,37
06,0,0,0,0,0,66,0,0,0,66,0,66,0,0,0,0,66
06,0,0,0,0,0,111,0,111,0,0,0,0,111,111,0,0,111
06,0,0,0,0,0,93,0,93,0,0,93,0,0,0,0,93,93
06,0,0,0,0,0,26,0,26,0,0,26,26,26,26,26,26,26
06,0,0,0,0,0,88,88,88,0,0,88,88,0,0,0,0,88
06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96
06,0,0,0,0,1,0,0,0,0,0,0,0,0,75,75,0,75
06,0,0,0,0,1,0,0,0,0,0,0,167,0,0,0,0,167
06,0,0,0,0,1,0,0,0,0,0,0,810,0,0,0,810,810
06,0,0,0,0,1,0,0,0,0,0,0,66,0,0,66,0,66
06,0,0,0,0,1,0,0,0,0,0,0,266,0,266,0,266,266
06,0,0,0,0,1,0,0,0,0,0,0,155,0,155,155,0,155
06,0,0,0,0,1,0,0,0,0,0,0,147,0,147,147,147,147
06,0,0,0,0,1,0,0,0,0,0,0,467,467,0,467,0,467
06,0,0,0,0,1,0,0,0,0,0,1325,0,0,0,0,0,1325
06,0,0,0,0,1,0,0,0,0,0,264,0,0,0,264,0,264
06,0,0,0,0,1,0,0,0,0,0,314,0,0,314,0,0,314
06,0,0,0,0,1,0,0,0,0,0,151,0,0,151,0,151,151
06,0,0,0,0,1,0,0,0,0,0,158,0,0,158,158,0,158
06,0,0,0,0,1,0,0,0,0,0,278,0,0,278,278,278,278
06,0,0,0,0,1,0,0,0,0,0,88,88,0,0,0,0,88
06,0,0,0,0,1,0,0,0,0,0,400,400,0,0,0,400,400
06,0,0,0,0,1,0,0,0,0,0,316,316,0,0,316,0,316
06,0,0,0,0,1,0,0,0,0,0,51,51,0,0,51,51,51
06,0,0,0,0,1,0,0,0,0,0,293,293,0,293,0,293,293
06,0,0,0,0,1,0,0,0,0,0,165,165,165,165,165,0,165
06,0,0,0,0,1,0,0,1748,0,0,0,0,0,0,0,0,1748
06,0,0,0,0,1,0,0,348,0,0,0,0,0,0,348,0,348
06,0,0,0,0,1,0,0,136,0,0,0,0,0,136,0,0,136
06,0,0,0,0,1,0,0,237,0,0,0,0,0,237,237,0,237
06,0,0,0,0,1,0,0,45,0,0,0,0,45,0,0,0,45
06,0,0,0,0,1,0,0,37,0,0,0,37,0,0,0,0,37
06,0,0,0,0,1,0,0,578,0,0,578,0,0,0,0,0,578
06,0,0,0,0,1,0,0,104,0,0,104,0,0,104,0,0,104
06,0,0,0,0,1,0,0,59,0,0,59,0,0,59,59,0,59
06,0,0,0,0,1,0,240,0,0,0,0,0,0,0,0,0,240
06,0,0,0,0,1,0,177,0,0,0,0,0,0,0,0,177,177
06,0,0,0,0,1,0,128,0,0,0,0,0,0,128,0,0,128
06,0,0,0,0,1,0,47,0,0,0,0,0,0,47,47,0,47
06,0,0,0,0,1,0,328,0,0,0,0,0,0,328,328,328,328
06,0,0,0,0,1,0,57,0,0,0,0,0,57,57,0,57,57
06,0,0,0,0,1,0,78,0,0,0,0,78,78,78,78,0,78
