cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
0901,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,538
0901,0,0,0,0,0,0,0,0,0,0,62,0,0,0,62,0,62
0901,0,0,0,0,0,0,0,0,0,0,256,0,0,256,0,0,256
0901,0,0,0,0,0,0,0,0,0,0,91,0,0,91,0,91,91
0901,0,0,0,0,0,0,0,0,0,0,78,0,0,78,78,0,78
0901,0,0,0,0,0,0,0,0,0,0,137,0,137,137,0,0,137
0901,0,0,0,0,0,0,0,0,0,0,29,0,29,29,29,0,29
0901,0,0,0,0,0,0,0,0,0,0,83,83,0,0,0,0,83
0901,0,0,0,0,0,0,0,0,0,0,163,163,0,0,0,163,163
0901,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,85
0901,0,0,0,0,0,0,0,102,0,0,0,0,0,102,0,0,102
0901,0,0,0,0,0,0,0,109,0,0,0,0,0,109,109,0,109
0901,0,0,0,0,0,0,0,295,0,0,295,295,0,295,0,0,295
0901,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20
0901,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,106,106
0901,0,0,0,0,0,0,36,0,0,0,0,0,0,36,0,36,36
0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,0,1,0,0,81,0,0,0,0,0,0,81,0,81
0901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,91
0901,0,0,0,1,0,0,0,0,0,0,170,0,0,0,170,0,170
0901,0,0,0,1,0,0,0,0,0,0,123,0,0,123,0,0,123
0901,0,0,0,1,0,0,0,0,0,0,202,0,0,202,202,0,202
0901,0,0,0,1,0,0,0,0,0,0,89,89,0,0,89,0,89
0901,0,0,0,1,0,0,0,73,0,0,0,0,0,0,0,0,73
0901,0,0,0,1,0,0,0,97,0,0,0,0,0,0,97,0,97
0901,0,0,0,1,0,0,0,61,0,0,61,0,0,0,0,0,61
0901,0,0,0,1,0,0,54,0,0,0,0,0,0,0,0,54,54
0901,0,0,0,1,0,0,119,0,0,0,0,0,0,119,0,119,119
0901,0,0,0,1,0,287,0,0,0,0,0,0,0,0,0,0,287
0901,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,1,1,0,0,0,0,0,0,73,0,0,73,73,73
0901,0,0,0,1,1,0,0,0,0,0,39,0,0,0,0,0,39
0901,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0901,0,0,0,1,1,0,0,0,0,0,118,0,0,118,118,0,118
0901,0,0,0,1,1,0,0,0,0,0,31,0,0,31,31,31,31
0901,0,0,0,1,1,0,0,0,0,0,116,116,0,0,0,0,116
0901,0,0,0,1,1,0,0,0,0,0,278,278,0,0,0,278,278
0901,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
