county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
19001,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
19001,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8
19001,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5
19001,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
19001,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2
19001,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,6
19001,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2
19001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,7
19001,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,2
19001,0,0,0,1,1,0,0,0,0,0,6,0,0,6,6,0,6
19001,0,0,0,1,1,0,0,0,0,0,4,4,0,0,0,0,4
19001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19001,2,0,0,1,1,0,0,4,0,0,4,0,0,0,0,0,4
19001,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
19001,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
19001,3,0,0,1,1,0,0,0,0,0,6,0,0,0,6,0,6
19001,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19001,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
19001,5,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2
19001,6,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
19001,6,0,0,1,1,0,0,4,0,0,0,0,4,0,0,0,4
19001,6,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
19001,9,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,3
19001,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,12,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2
19001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19001,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
