SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000021,501,0,0,0,0,1703503,89,0,0,0,0,0,89,0,0,0,0,0
2021HU0000150,122,0,0,1,0,1703420,265,0,0,0,0,0,0,265,0,0,0,265
2021HU0000184,93,0,0,0,0,1703204,100,0,0,0,0,0,100,0,0,100,0,0
2021HU0000185,25,0,1,1,1,1700501,83,0,0,0,0,0,83,0,0,0,83,0
2021HU0000245,81,0,0,1,1,1701701,162,0,0,0,0,0,162,0,162,162,162,0
2021HU0000319,501,0,0,0,0,1702501,59,0,59,0,0,0,0,0,0,0,0,0
2021HU0000321,71,0,1,1,1,1701001,75,75,0,0,0,0,75,0,75,0,75,0
2021HU0000338,376,0,0,0,0,1703422,154,0,0,0,0,0,154,0,0,154,154,0
2021HU0000375,483,0,0,0,0,1703205,51,0,0,0,0,0,51,0,0,51,51,0
2021HU0000388,247,0,0,0,0,1702501,21,0,0,0,0,0,21,0,0,21,0,0
2021HU0000456,501,0,0,0,0,1703310,17,0,0,0,0,0,17,0,17,17,17,0
2021HU0000458,501,0,0,0,0,1703504,226,226,226,0,0,0,0,226,0,0,0,0
2021HU0000487,69,0,0,0,0,1701500,85,0,0,85,0,0,85,0,0,0,85,0
2021HU0000525,248,0,0,0,0,1700104,54,54,0,0,0,0,54,0,0,54,0,0
2021HU0000573,501,0,0,0,0,1703008,124,0,0,0,0,0,0,124,0,0,0,124
2021HU0000650,287,0,0,0,0,1703422,385,0,0,0,0,0,385,0,0,0,0,0
2021HU0000715,172,0,1,1,0,1700401,43,0,0,43,0,0,43,0,43,43,43,0
2021HU0000729,280,0,0,0,0,1703413,73,0,0,73,0,0,0,0,0,73,73,0
2021HU0000750,336,0,0,0,0,1703208,145,0,0,0,0,0,145,145,0,0,0,145
2021HU0000761,296,0,0,0,0,1701001,79,0,0,0,0,0,79,0,79,79,79,0
2021HU0000820,208,0,0,0,0,1702100,262,0,0,0,0,0,262,0,0,0,0,0
2021HU0000829,501,0,0,1,0,1700900,201,0,0,0,0,0,201,0,0,0,201,0
2021HU0000838,501,0,0,0,0,1703502,51,0,0,0,0,0,51,0,0,0,0,0
2021HU0000843,162,0,0,0,0,1702200,12,0,0,0,0,0,12,0,0,12,0,0
2021HU0000872,221,0,0,1,0,1703530,98,0,0,0,0,0,98,98,0,98,98,98
2021HU0000977,186,0,0,0,0,1702501,15,0,0,0,0,0,15,0,0,15,0,0
2021HU0000994,501,0,0,0,0,1701701,49,0,0,0,0,0,49,0,0,49,0,0
2021HU0000999,265,0,0,0,0,1701105,61,0,0,0,0,0,61,0,0,0,0,0
2021HU0001016,252,0,0,0,0,1701602,11,0,0,0,0,0,11,0,0,0,0,0
2021HU0001107,7,0,0,1,1,1703521,278,0,0,0,0,0,0,278,0,0,278,278
2021HU0001113,501,0,0,0,0,1703310,123,0,0,0,0,0,123,0,0,0,0,0
2021HU0001131,501,0,0,0,0,1703307,76,0,0,76,0,0,0,0,76,76,0,0
2021HU0001200,501,0,0,0,0,1703418,105,0,0,0,0,0,105,0,0,0,0,0
