SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000013,143,0,0,1,1,1800600,60,0,0,0,0,0,60,0,0,0,60,0
2021HU0000017,451,0,0,0,0,1800200,89,0,0,0,0,0,89,0,0,0,0,0
2021HU0000085,377,0,0,0,0,1802000,64,0,0,0,0,0,64,0,0,0,0,0
2021HU0000207,353,0,0,0,0,1802900,33,0,0,0,0,0,33,0,0,0,0,0
2021HU0000347,501,0,0,0,0,1801100,16,0,0,0,0,0,16,0,0,16,0,0
2021HU0000450,145,0,0,0,0,1802500,11,0,0,0,0,0,11,0,0,11,11,0
2021HU0000468,501,0,0,0,0,1800700,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0000529,364,0,0,0,0,1802400,102,0,0,0,0,0,102,0,0,0,0,0
2021HU0000815,501,0,0,0,0,1800600,87,0,0,0,0,0,87,0,0,87,0,0
2021HU0000866,178,0,0,1,0,1803300,110,0,0,110,0,0,110,0,110,110,0,0
2021HU0000931,191,0,0,1,1,1801400,157,157,0,0,0,0,157,0,0,157,157,0
2021HU0000979,501,0,0,1,0,1801100,193,0,0,0,0,0,193,0,0,193,0,0
2021HU0000993,501,0,0,0,1,1801002,64,0,0,0,0,0,64,0,0,0,0,0
2021HU0001031,501,0,0,0,0,1802900,120,0,0,0,0,0,120,0,0,0,0,0
2021HU0001112,238,0,0,1,0,1802100,337,0,0,0,0,0,337,0,0,337,0,0
2021HU0001162,445,0,0,0,0,1801802,111,0,0,0,0,0,111,0,0,0,0,0
2021HU0001363,122,0,0,1,0,1801700,156,0,0,156,0,0,156,0,0,0,0,0
2021HU0001443,501,0,0,0,0,1803500,25,0,0,0,0,0,25,0,0,25,0,0
2021HU0001449,501,0,0,0,0,1802800,123,0,0,0,0,0,123,0,0,123,0,0
2021HU0001458,501,0,0,0,0,1800600,67,0,0,0,0,0,67,0,0,67,0,0
2021HU0001498,501,0,0,0,0,1801803,343,0,0,0,0,0,343,0,0,0,0,0
2021HU0001555,309,0,0,0,0,1803500,29,0,0,0,0,0,29,0,0,29,0,0
2021HU0001577,175,0,0,1,1,1802000,107,0,0,0,0,0,107,107,0,0,107,0
2021HU0001674,221,0,0,0,0,1800700,43,0,0,0,0,0,43,0,0,43,0,0
2021HU0001698,284,0,0,0,0,1800900,210,0,0,0,0,0,210,210,0,0,0,0
2021HU0001719,129,0,0,0,0,1800401,60,0,0,0,0,0,60,0,0,0,0,0
2021HU0001720,88,0,1,0,0,1803100,23,0,0,0,0,0,23,0,0,23,23,0
2021HU0001730,437,0,0,0,0,1802100,37,0,0,0,0,0,37,0,0,0,0,0
2021HU0001827,162,0,0,0,0,1801803,63,0,0,0,0,0,63,0,0,63,63,0
2021HU0001847,501,0,0,0,0,1802302,69,0,0,0,0,0,69,0,0,0,0,0
2021HU0001986,168,0,0,1,1,1802000,72,0,0,0,0,0,72,0,0,72,72,0
2021HU0002149,454,0,0,0,0,1800700,60,0,0,0,0,0,60,0,0,60,0,0
2021HU0002191,501,0,0,0,0,1802302,68,0,0,0,0,0,68,0,0,0,0,0
2021HU0002236,111,0,0,1,0,1800900,370,0,0,0,0,0,370,0,0,370,0,0
