county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
22001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,0,1,0,0,112,0,0,0,0,0,0,112,0,112
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,0,0,0,0,0,0,70,0,0,70,70,0,70
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,1,0,0,0,0,0,177,0,0,0,0,0,177
22001,0,0,0,1,1,0,0,0,0,0,28,0,0,28,0,0,28
22001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,0,0,0,1,1,0,0,24,0,0,0,0,0,0,0,0,24
22001,0,0,0,1,1,0,0,38,0,0,0,0,0,38,0,0,38
22001,0,0,0,1,1,0,0,14,0,0,0,0,0,14,14,0,14
22001,0,0,0,1,1,0,0,33,0,0,33,0,0,0,0,0,33
22001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,2,0,0,1,1,0,0,0,0,0,63,0,0,0,0,0,63
22001,3,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,44
22001,5,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,40
22001,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,9,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,13
22001,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,10,0,0,1,0,0,0,0,0,0,11,0,0,11,11,0,11
22001,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,11,0,0,0,1,0,0,0,0,0,0,0,0,34,0,0,34
22001,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22001,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22001,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
