SERIALNO,POVPIP,has_pap,has_ssip,has_hins4,has_snap,PUMA_person,WGTP,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well
2021HU0000122,99,0,0,1,0,2200600,60,0,0,0,0,0,60,0,60,60,60,0
2021HU0000128,175,0,0,1,0,2202302,35,0,0,0,0,0,35,35,0,35,35,35
2021HU0000160,308,0,0,0,0,2202200,77,0,0,0,0,0,77,0,0,0,0,0
2021HU0000189,411,0,0,0,0,2202301,133,0,0,0,0,0,133,0,0,0,0,0
2021HU0000549,501,0,0,0,0,2200300,99,0,0,0,0,0,99,0,0,99,0,0
2021HU0000858,105,0,1,1,1,2200600,31,0,0,31,0,0,31,0,0,0,31,0
2021HU0000899,3,0,0,0,0,2201300,155,0,0,0,0,0,155,0,0,0,0,0
2021HU0000902,501,0,0,0,0,2200100,271,0,0,0,0,0,271,0,0,0,0,0
2021HU0000945,501,0,0,0,0,2201400,141,0,0,0,0,0,141,0,141,141,0,0
2021HU0001064,383,1,0,1,0,2201900,63,63,0,0,0,0,63,63,0,0,63,0
2021HU0001130,501,0,0,0,0,2201201,82,0,0,0,0,0,82,0,0,82,82,0
2021HU0001316,107,0,0,0,0,2200200,302,0,0,302,0,0,0,0,0,0,0,0
2021HU0001383,115,0,0,0,0,2201501,175,0,0,175,0,0,0,0,0,175,175,0
2021HU0001390,501,0,0,1,0,2202400,47,0,0,0,0,0,47,0,0,47,47,0
2021HU0001394,501,0,0,0,0,2202301,77,0,0,0,0,0,77,0,0,0,0,0
2021HU0001417,336,0,0,0,1,2200700,68,0,0,68,0,0,0,0,0,68,68,0
2021HU0001460,501,0,0,0,0,2200500,40,0,0,0,0,0,40,0,0,0,0,0
2021HU0001813,273,0,0,0,0,2201500,118,0,0,0,0,0,118,0,0,118,0,0
2021HU0001851,208,0,0,1,0,2201000,96,0,0,96,0,0,0,0,0,0,0,0
2021HU0001951,70,0,1,1,1,2202402,56,0,0,0,0,0,56,0,0,0,56,0
2021HU0002029,27,0,0,0,0,2202200,855,0,0,0,0,0,855,0,855,0,855,0
2021HU0002176,501,0,0,0,0,2200100,122,0,0,122,0,0,0,0,0,122,0,0
2021HU0002207,212,0,0,1,0,2201800,117,0,0,0,0,0,117,0,0,0,117,0
2021HU0002220,344,0,0,0,0,2202400,34,0,0,0,0,0,34,0,0,0,0,0
2021HU0002274,365,0,0,0,0,2200800,108,0,0,0,0,0,108,0,0,0,0,0
2021HU0002313,98,0,1,1,0,2200500,9,0,0,9,0,0,0,0,0,0,0,0
2021HU0002411,463,0,0,0,1,2201400,342,0,0,0,0,0,342,0,0,0,0,0
2021HU0002456,344,0,0,0,0,2201800,112,0,0,0,0,0,112,0,0,112,0,0
2021HU0002517,108,0,0,1,0,2200101,67,0,0,67,0,0,0,0,0,0,0,0
2021HU0002524,80,0,0,1,0,2201900,47,0,0,0,0,0,47,0,0,47,47,0
2021HU0003226,149,0,0,0,0,2201201,43,0,0,0,0,0,43,0,0,0,0,0
2021HU0003437,19,0,0,1,1,2200200,111,0,0,0,0,0,111,0,0,0,0,0
2021HU0003499,294,0,0,0,1,2200600,22,0,0,22,0,0,0,0,22,0,0,0
2021HU0003581,439,0,0,0,0,2200300,146,0,0,0,0,0,146,0,0,146,146,0
2021HU0003602,501,0,0,0,0,2201201,54,0,0,0,0,0,54,0,0,54,0,0
2021HU0003605,501,0,0,0,0,2201100,26,0,0,0,0,0,26,0,0,0,0,0
2021HU0003613,22,0,0,0,0,2202402,44,0,0,0,0,0,44,0,44,0,44,0
2021HU0003617,501,0,0,0,0,2202100,541,0,0,0,0,0,541,0,0,0,0,0
2021HU0003624,501,0,0,0,0,2200100,43,0,0,0,0,0,43,0,0,43,0,0
