county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
24001,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,137
24001,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
24001,0,0,0,0,0,0,0,0,0,0,45,0,0,45,45,0,45
24001,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
24001,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,212,212
24001,0,0,0,0,0,0,75,0,0,0,75,0,0,0,0,75,75
24001,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,5
24001,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,5
24001,0,0,0,1,1,0,0,0,0,0,58,0,0,0,0,0,58
24001,0,0,0,1,1,0,0,0,0,0,93,0,0,93,0,0,93
24001,0,0,0,1,1,0,0,0,0,0,39,0,0,39,39,0,39
24001,0,0,0,1,1,0,0,25,0,0,25,25,0,0,0,0,25
24001,3,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,183
24001,4,0,0,0,1,0,0,6,0,0,0,0,0,0,6,0,6
24001,5,0,0,1,1,0,0,0,0,0,34,0,0,0,34,0,34
24001,5,1,0,1,1,0,0,0,0,0,6,0,0,0,0,0,6
24001,6,0,0,1,1,0,0,0,0,0,24,0,0,0,0,0,24
24001,7,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5
24001,8,1,0,1,1,0,0,0,0,0,36,0,36,0,0,0,36
24001,9,0,0,1,1,0,0,0,0,0,83,0,0,0,0,0,83
24001,9,0,0,1,1,0,0,0,0,0,74,0,0,0,74,0,74
24001,10,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,5
24001,11,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32
24001,11,0,0,0,1,0,0,0,0,0,14,0,0,14,0,0,14
24001,12,0,0,0,1,0,0,0,0,0,6,0,0,6,6,0,6
24001,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
24001,21,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
24001,24,0,0,0,0,0,0,0,0,0,13,0,0,13,13,0,13
24001,24,0,1,1,1,0,0,0,0,0,11,0,0,11,11,0,11
24001,26,0,0,1,1,0,0,0,0,0,202,0,0,0,0,0,202
24001,27,0,0,1,1,0,0,0,0,0,139,0,0,0,0,0,139
24001,28,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25
24001,28,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,4
24001,28,0,0,1,1,0,0,0,0,0,17,0,0,0,17,0,17
24001,29,0,0,0,1,0,0,0,0,0,42,0,0,42,0,0,42
24001,30,0,0,1,0,0,0,0,0,0,3,0,3,3,3,0,3
24001,31,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,4
24001,33,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,4
24001,34,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17
24001,34,1,0,1,1,0,0,4,0,0,0,0,0,0,4,0,4
24001,37,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2
24001,38,0,1,1,1,0,0,0,0,0,9,0,0,9,9,0,9
24001,39,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
24001,41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,35
24001,41,0,0,1,1,0,0,0,0,0,8,0,0,0,8,0,8
24001,42,0,0,1,0,0,0,5,0,0,5,0,0,0,0,0,5
24001,43,0,0,1,1,0,0,0,0,0,4,0,0,0,4,0,4
24001,44,0,0,0,0,0,0,0,0,0,12,0,0,12,12,0,12
24001,45,0,0,1,0,0,0,0,0,0,5,5,0,0,0,5,5
24001,46,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31
24001,47,0,0,1,1,16,0,0,0,0,16,16,0,0,0,0,16
24001,47,0,1,1,1,0,0,0,0,0,25,0,0,0,25,0,25
24001,48,1,0,1,1,0,0,0,0,0,48,0,0,0,0,0,48
24001,49,0,1,1,1,0,0,3,0,0,3,0,0,3,0,0,3
24001,50,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39
