metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,196,0,196,0,0,196
99999,0,0,0,0,0,0,0,0,0,0,1587,0,0,0,0,0,1587
99999,0,0,0,0,0,0,0,0,0,0,314,0,0,0,314,0,314
99999,0,0,0,0,0,0,0,0,0,0,1072,0,0,1072,0,0,1072
99999,0,0,0,0,0,0,0,0,0,0,358,0,0,358,358,0,358
99999,0,0,0,0,0,0,0,0,0,0,163,0,163,0,0,0,163
99999,0,0,0,0,0,0,0,0,0,0,31,0,31,31,0,0,31
99999,0,0,0,0,0,0,0,0,0,0,261,0,261,261,261,0,261
99999,0,0,0,0,0,0,22,0,0,0,22,0,0,22,0,0,22
99999,0,0,0,0,0,0,49,0,0,0,49,0,0,49,0,49,49
99999,0,0,0,0,1,0,0,0,0,0,102,0,0,0,0,0,102
99999,0,0,0,0,1,0,0,0,0,0,351,0,0,0,351,0,351
99999,0,0,0,0,1,0,0,0,0,0,21,0,0,21,0,0,21
99999,0,0,0,0,1,0,177,0,0,0,0,0,0,0,177,177,177
99999,0,0,0,1,0,0,0,0,0,0,538,0,0,0,0,0,538
99999,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,200,200
99999,0,0,0,1,0,0,0,0,0,0,207,0,0,0,207,0,207
99999,0,0,0,1,0,0,0,0,0,0,38,0,0,38,0,0,38
99999,0,0,0,1,0,0,0,0,0,0,1216,0,0,1216,1216,0,1216
99999,0,0,0,1,0,0,0,0,0,0,267,0,267,0,267,0,267
99999,0,0,0,1,0,0,0,0,0,0,68,68,0,0,0,0,68
99999,0,0,0,1,0,0,166,0,0,0,166,0,0,166,0,0,166
99999,0,0,0,1,1,0,0,0,0,0,1445,0,0,0,0,0,1445
99999,0,0,0,1,1,0,0,0,0,0,917,0,0,0,917,0,917
99999,0,0,0,1,1,0,0,0,0,0,336,0,0,336,0,0,336
99999,0,0,0,1,1,0,0,0,0,0,171,0,0,171,171,0,171
99999,0,0,0,1,1,0,0,0,0,0,298,0,298,0,298,0,298
99999,0,0,0,1,1,0,0,0,0,0,14,0,14,14,0,0,14
99999,0,0,0,1,1,0,0,0,0,0,31,31,0,0,0,0,31
99999,0,0,0,1,1,0,0,317,0,0,0,0,0,0,0,0,317
99999,0,0,0,1,1,0,0,18,0,0,18,0,0,0,0,0,18
99999,0,0,0,1,1,0,197,0,0,0,197,0,0,0,0,0,197
99999,0,0,0,1,1,21,0,0,0,0,0,0,0,21,21,21,21
99999,0,0,0,1,1,224,0,0,0,0,224,0,0,0,224,0,224
99999,0,0,0,1,1,53,0,0,53,0,53,0,0,53,53,0,53
99999,0,0,0,1,1,36,0,36,0,0,36,0,0,0,36,0,36
99999,0,0,1,1,1,0,0,0,0,0,94,0,0,0,0,0,94
99999,0,0,1,1,1,0,0,0,0,0,16,0,0,0,16,0,16
99999,1,0,0,0,0,0,0,0,0,0,276,0,0,276,0,0,276
99999,1,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,83
99999,1,1,0,0,1,0,0,0,0,0,24,0,24,0,24,0,24
99999,2,0,0,0,0,0,0,57,0,0,57,0,0,0,57,0,57
99999,2,0,0,1,0,0,0,0,0,0,37,0,37,0,0,0,37
99999,3,0,0,1,1,0,0,0,0,0,67,0,0,0,0,0,67
99999,4,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40
99999,4,0,1,1,1,0,0,0,0,0,146,0,0,0,146,0,146
99999,5,0,0,1,0,0,0,0,0,0,200,0,0,0,0,0,200
99999,5,0,0,1,1,0,0,0,0,0,322,0,0,0,322,0,322
99999,6,0,0,1,0,22,0,0,0,0,22,0,0,0,0,0,22
99999,7,0,0,0,0,0,0,0,0,0,43,0,0,43,0,0,43
99999,7,0,0,1,1,0,0,0,0,0,187,0,0,0,187,0,187
99999,8,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,89
99999,8,0,0,0,0,0,0,0,0,0,93,0,93,0,93,0,93
99999,8,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,32
99999,8,0,0,0,1,0,0,0,0,0,152,0,0,152,0,0,152
99999,8,0,0,1,1,0,0,0,0,0,143,0,0,0,143,0,143
99999,8,1,0,1,1,0,0,0,0,0,77,0,77,0,77,77,77
99999,9,0,0,0,0,0,0,0,0,0,339,0,0,339,0,0,339
99999,10,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,156
99999,10,0,0,0,0,0,0,0,0,0,197,0,0,0,197,0,197
99999,10,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0,120
99999,10,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,51
99999,10,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,101
99999,10,0,0,1,0,0,0,0,0,0,33,0,0,33,33,0,33
99999,10,0,0,1,1,0,0,0,0,0,112,0,0,112,112,0,112
99999,11,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27
99999,11,0,0,0,0,0,0,0,0,0,405,0,0,405,0,0,405
99999,11,0,0,0,0,0,0,0,0,0,150,0,0,150,150,0,150
99999,11,0,0,1,0,0,0,0,0,0,183,0,0,183,0,0,183
99999,11,0,0,1,0,0,0,0,0,0,233,0,0,233,233,0,233
99999,12,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25
99999,12,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41
99999,12,0,0,0,0,0,0,0,0,0,66,0,0,66,66,0,66
99999,12,0,0,1,0,0,0,0,0,0,138,0,0,138,0,0,138
99999,12,0,0,1,1,7,0,0,0,0,7,0,0,0,7,0,7
99999,13,0,0,0,0,0,0,0,0,0,203,0,0,203,0,0,203
99999,13,0,0,0,0,0,0,0,0,0,138,0,0,138,138,0,138
99999,13,0,0,0,0,0,0,0,0,0,210,0,210,0,0,0,210
99999,13,0,0,1,0,0,0,0,0,0,71,0,0,71,0,0,71
99999,13,0,0,1,1,0,0,0,0,0,76,0,0,0,0,0,76
99999,14,0,0,1,0,0,0,0,0,0,186,0,0,0,0,0,186
99999,14,0,0,1,0,0,0,0,0,0,53,0,0,53,0,0,53
99999,14,0,0,1,0,0,0,0,0,0,44,0,44,44,44,0,44
99999,14,1,0,1,1,0,0,0,0,0,51,0,0,0,0,0,51
99999,15,0,0,0,0,0,0,0,0,0,0,0,0,403,403,0,403
99999,15,0,0,0,0,0,0,0,0,0,159,0,0,159,159,0,159
99999,16,0,0,0,0,0,0,0,0,0,96,0,0,0,96,0,96
99999,16,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,18
99999,16,0,0,1,0,0,0,0,0,0,54,0,0,54,0,0,54
99999,17,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,133
99999,17,0,0,1,1,0,0,0,0,0,27,0,0,0,0,0,27
99999,17,0,0,1,1,192,0,0,0,0,192,0,0,0,0,0,192
99999,18,0,0,0,0,0,0,0,0,0,103,0,103,103,0,0,103
99999,18,0,0,1,0,0,0,0,0,0,34,0,0,34,34,0,34
99999,18,0,0,1,1,10,0,0,0,0,0,0,0,0,10,0,10
99999,18,1,0,1,1,0,0,0,0,0,172,0,0,0,172,0,172
99999,21,0,0,0,0,0,0,0,0,0,135,0,0,135,0,0,135
99999,21,0,0,1,0,0,0,0,0,0,35,0,0,35,35,0,35
99999,22,0,0,0,0,0,0,0,0,0,311,0,0,311,0,0,311
99999,22,0,0,0,0,0,53,0,0,0,53,0,0,0,53,0,53
99999,22,0,0,1,1,0,0,0,0,0,14,0,0,14,0,0,14
99999,22,1,0,1,1,0,0,0,0,0,41,0,0,0,0,0,41
99999,23,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26
99999,23,0,0,0,0,0,0,0,0,0,72,0,0,72,72,0,72
99999,24,0,0,1,0,0,0,0,0,0,144,0,0,0,0,0,144
99999,24,0,0,1,1,0,0,0,0,0,40,40,0,0,0,0,40
99999,25,0,0,1,0,0,0,0,0,0,70,0,0,70,0,0,70
99999,25,1,0,0,0,0,0,0,0,0,66,0,0,0,0,66,66
99999,26,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32
99999,26,1,0,1,0,31,0,0,0,0,31,0,31,31,0,0,31
99999,27,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,127
99999,27,0,0,1,0,0,0,0,0,0,31,0,0,0,31,0,31
99999,27,0,0,1,0,0,0,0,0,0,29,0,0,29,0,0,29
99999,28,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,398
99999,28,0,0,1,0,0,0,0,0,0,122,0,0,122,0,0,122
99999,29,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,117
99999,29,0,0,0,0,0,0,0,0,0,28,0,28,28,0,0,28
99999,29,0,0,1,0,0,0,0,0,0,191,0,0,191,0,0,191
99999,29,0,0,1,0,0,0,0,0,0,102,0,0,102,102,0,102
99999,30,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,149
99999,30,0,0,0,0,0,0,0,0,0,84,0,84,84,0,0,84
99999,30,0,0,1,0,0,0,0,0,0,287,0,0,287,0,0,287
99999,30,0,0,1,1,0,0,0,0,0,37,0,0,0,37,0,37
99999,31,0,0,0,0,0,0,0,0,0,116,0,0,116,0,0,116
99999,31,0,0,1,0,0,0,0,0,0,372,0,0,372,372,0,372
99999,31,0,0,1,1,0,0,0,0,0,25,0,25,25,25,0,25
99999,31,0,1,1,1,0,0,0,0,0,33,0,0,0,33,0,33
99999,32,0,0,0,0,0,0,0,0,0,150,0,0,150,150,0,150
99999,32,0,0,0,0,0,0,0,0,0,77,0,77,0,77,0,77
99999,32,0,0,1,0,0,0,0,0,0,291,0,0,0,0,0,291
99999,32,0,1,1,1,0,0,0,0,0,13,0,0,0,13,0,13
99999,33,0,0,0,1,0,0,0,0,0,196,0,0,0,0,0,196
99999,33,0,0,1,0,0,0,0,0,0,67,0,0,0,0,0,67
99999,33,0,0,1,0,0,0,0,0,0,129,129,129,129,129,0,129
99999,34,0,0,0,0,0,0,0,0,0,22,0,0,22,22,0,22
