cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3701,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100
3701,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,904
3701,0,0,0,0,0,0,0,0,0,0,42,0,0,0,42,0,42
3701,0,0,0,0,0,0,0,0,0,0,143,0,0,143,0,0,143
3701,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2
3701,0,0,0,0,0,0,0,0,0,0,86,0,86,0,0,0,86
3701,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,7
3701,0,0,0,0,0,0,0,0,0,0,25,0,25,25,25,0,25
3701,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,478
3701,0,0,0,0,0,0,0,440,0,0,0,0,0,0,440,0,440
3701,0,0,0,0,0,0,0,280,0,0,0,0,0,280,0,0,280
3701,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
3701,0,0,0,0,0,0,0,338,0,0,338,0,0,0,0,0,338
3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42
3701,0,0,0,0,0,80,0,0,0,0,80,0,0,80,0,0,80
3701,0,0,0,0,0,104,0,104,0,0,104,0,104,104,0,0,104
3701,0,0,0,0,0,11,11,11,0,0,11,11,0,0,11,0,11
3701,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,10
3701,0,0,0,0,1,0,0,0,0,0,145,0,0,0,0,0,145
3701,0,0,0,0,1,0,0,0,0,0,186,0,0,0,186,0,186
3701,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,99
3701,0,0,0,0,1,0,0,31,0,0,0,0,0,0,31,0,31
3701,0,0,0,0,1,0,0,31,0,0,0,0,31,0,31,0,31
3701,0,0,0,0,1,44,0,0,0,0,0,0,0,0,44,0,44
3701,0,0,0,0,1,142,0,0,0,0,0,142,0,142,0,0,142
3701,0,0,0,0,1,27,0,0,0,0,27,0,0,0,27,0,27
3701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,0,0,0,1,0,0,0,0,0,0,7,0,0,7,0,0,7
3701,0,0,0,1,0,0,0,0,0,0,3,0,0,3,3,0,3
3701,0,0,0,1,0,0,0,0,0,0,19,0,19,19,0,0,19
3701,0,0,0,1,0,0,0,0,0,0,103,0,103,103,103,0,103
3701,0,0,0,1,0,0,0,412,0,0,0,0,0,0,0,0,412
3701,0,0,0,1,0,0,0,7,0,0,0,0,0,7,7,0,7
3701,0,0,0,1,0,0,0,37,0,0,0,37,0,37,37,0,37
3701,0,0,0,1,0,0,0,24,0,0,24,0,0,0,0,0,24
3701,0,0,0,1,0,5,0,0,0,0,5,0,5,5,5,0,5
3701,0,0,0,1,1,0,0,0,0,0,0,84,0,0,0,0,84
3701,0,0,0,1,1,0,0,0,0,0,0,73,0,0,0,73,73
3701,0,0,0,1,1,0,0,0,0,0,36,0,0,0,0,0,36
3701,0,0,0,1,1,0,0,0,0,0,332,0,0,0,332,0,332
3701,0,0,0,1,1,0,0,0,0,0,39,0,0,39,0,0,39
3701,0,0,0,1,1,0,0,1147,0,0,0,0,0,0,0,0,1147
3701,0,0,0,1,1,0,0,152,0,0,0,0,0,0,152,0,152
3701,0,0,0,1,1,0,0,69,0,0,0,0,0,69,0,0,69
3701,0,0,0,1,1,0,0,162,0,0,162,0,0,0,0,0,162
3701,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3701,0,1,0,0,1,0,0,134,0,0,0,0,0,0,134,0,134
3701,0,1,0,1,0,0,0,49,0,0,0,0,0,0,0,0,49
3701,0,1,0,1,1,0,0,57,0,0,57,0,0,0,57,0,57
3701,0,1,0,1,1,91,0,91,0,0,0,0,0,0,91,0,91
3701,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28
3701,1,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25
3701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,1,0,0,1,1,0,0,0,0,0,18,0,0,0,18,0,18
3701,1,0,0,1,1,0,0,197,0,0,0,0,0,0,0,0,197
3701,1,0,0,1,1,0,0,96,0,0,0,0,0,0,96,0,96
3701,1,0,1,1,1,0,0,85,0,0,0,0,0,0,85,0,85
3701,1,1,0,0,0,0,0,8,0,0,0,0,8,8,8,0,8
3701,1,1,0,1,1,0,0,9,0,0,0,0,0,0,9,0,9
3701,2,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,66
3701,2,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,27
3701,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,2,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,319
3701,2,0,0,0,1,0,0,0,0,0,65,0,0,0,65,0,65
3701,2,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,68
3701,3,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41
3701,3,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33
3701,3,0,0,0,0,0,0,0,0,0,72,0,72,72,0,0,72
3701,3,0,0,1,0,0,0,0,0,0,8,0,0,8,0,0,8
3701,3,0,0,1,0,0,0,33,0,0,0,0,0,33,33,0,33
3701,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3701,3,0,0,1,1,0,0,190,0,0,0,0,0,0,0,0,190
3701,3,0,0,1,1,0,0,72,0,0,0,0,0,72,72,0,72
3701,3,0,0,1,1,160,0,0,0,0,160,0,160,0,160,0,160
3701,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406
3701,4,0,0,0,1,0,0,0,0,0,14,0,0,0,14,0,14
3701,4,0,0,1,1,0,0,0,0,0,0,180,0,0,0,180,180
3701,4,0,0,1,1,0,0,61,0,0,0,0,0,61,61,0,61
3701,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,7
3701,5,0,0,1,1,0,0,0,0,0,0,169,0,0,0,169,169
3701,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3701,5,0,0,1,1,0,0,129,0,0,0,0,0,0,0,0,129
3701,5,0,0,1,1,0,0,88,0,0,0,0,0,0,88,0,88
3701,5,0,0,1,1,0,0,77,0,0,77,0,0,0,0,0,77
3701,5,0,1,1,1,0,0,8,0,0,0,0,0,0,8,0,8
3701,6,0,0,0,0,0,0,157,0,0,0,0,0,157,157,0,157
3701,6,0,0,1,1,0,0,0,0,0,119,0,0,0,119,0,119
3701,7,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,666
3701,7,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,6
3701,7,0,0,1,1,0,0,0,0,0,0,5,0,0,5,0,5
3701,7,0,0,1,1,0,0,0,0,0,7,0,0,0,7,0,7
3701,7,0,0,1,1,0,0,489,0,0,0,0,0,0,0,0,489
3701,7,0,1,1,1,0,0,78,0,0,0,0,0,78,78,0,78
3701,7,1,0,1,1,0,0,67,0,0,0,0,0,67,67,0,67
3701,8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24
3701,8,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,37
3701,8,0,0,0,0,82,0,0,0,0,82,0,82,82,0,0,82
3701,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3701,8,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,6
3701,8,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,5
3701,8,0,0,1,0,0,0,39,0,0,0,0,0,39,0,39,39
3701,8,0,0,1,1,0,0,66,0,0,0,0,0,66,0,0,66
3701,9,0,0,0,1,0,0,0,0,0,60,0,0,60,0,0,60
3701,9,0,0,0,1,0,0,9,0,0,0,0,0,9,0,0,9
3701,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,9,0,0,1,0,0,0,76,0,0,76,0,76,0,76,0,76
3701,9,0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,10
3701,9,0,0,1,1,0,0,0,0,0,18,0,0,0,18,0,18
3701,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3
3701,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22
3701,10,0,0,0,0,0,0,36,0,0,0,0,0,36,0,0,36
3701,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3701,10,0,0,1,0,0,0,26,0,0,0,0,26,0,0,0,26
3701,10,0,1,1,1,0,0,70,0,0,0,0,70,70,0,0,70
3701,11,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,96
3701,11,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7
3701,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
