cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3800,0,0,0,0,0,0,0,0,0,0,1709,0,0,0,0,0,1709
3800,0,0,0,0,0,0,0,0,0,0,682,0,0,682,0,0,682
3800,0,0,0,0,0,0,0,0,0,0,673,0,0,673,673,0,673
3800,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,91
3800,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,29
3800,0,0,0,0,0,42,0,0,0,0,0,0,0,42,0,0,42
3800,0,0,0,0,0,71,0,0,0,0,71,0,71,71,71,0,71
3800,0,0,0,0,1,0,0,0,0,0,222,0,222,0,0,0,222
3800,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,28
3800,0,0,0,1,0,0,0,0,0,0,49,0,0,49,0,0,49
3800,0,0,0,1,0,0,0,0,0,0,441,0,0,441,441,0,441
3800,0,0,0,1,0,0,0,0,0,0,35,0,35,0,0,0,35
3800,0,0,0,1,0,0,0,0,0,0,192,0,192,0,192,0,192
3800,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,47
3800,0,0,0,1,1,0,0,0,0,0,209,0,0,0,0,0,209
3800,0,0,0,1,1,0,0,0,0,0,55,0,0,55,55,0,55
3800,0,0,0,1,1,29,0,0,0,0,0,0,0,29,29,0,29
3800,0,0,0,1,1,193,0,0,0,0,193,0,0,0,193,0,193
3800,0,1,0,1,1,0,0,0,0,0,55,55,0,0,55,0,55
3800,1,0,0,1,1,56,0,0,0,0,0,0,0,0,56,56,56
3800,2,0,0,0,0,0,0,0,0,0,63,0,0,0,63,0,63
3800,2,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16
3800,2,0,0,0,0,0,0,244,0,0,244,0,0,0,244,0,244
3800,3,0,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34
3800,4,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14
