county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
38001,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
38001,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
38001,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
38001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1
38001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,0,0,0,1,0,0,0,0,0,0,3,0,0,3,3,0,3
38001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,0,2
38001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
38001,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
38001,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2
38001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
38001,7,0,0,1,1,0,0,3,0,0,3,3,0,0,3,0,3
38001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
38001,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
38001,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,36,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5
38001,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,39,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,42,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
38001,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,47,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,51,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2
38001,51,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
38001,52,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,52,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
38001,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,53,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,56,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,59,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
38001,64,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
38001,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,66,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
38001,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,68,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,2
38001,70,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
38001,70,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38001,72,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,5
38001,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
38001,74,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,5
38001,74,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
38001,74,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
38001,74,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,77,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38001,77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38001,80,0,0,1,1,0,0,0,0,0,3,0,0,0,3,0,3
38001,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
