puma22,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3800100,0,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,353
3800100,0,0,0,0,0,0,0,0,0,0,66,0,0,66,0,0,66
3800100,0,0,0,0,0,0,0,0,0,0,30,0,0,30,30,0,30
3800100,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
3800100,0,0,0,0,0,21,0,0,0,0,0,0,0,21,0,0,21
3800100,0,0,0,0,0,36,0,0,0,0,36,0,36,36,36,0,36
3800100,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,14
3800100,0,0,0,1,0,0,0,0,0,0,161,0,0,161,161,0,161
3800100,0,0,0,1,0,0,0,0,0,0,18,0,18,0,0,0,18
3800100,0,0,0,1,0,0,0,0,0,0,97,0,97,0,97,0,97
3800100,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,24
3800100,0,1,0,1,1,0,0,0,0,0,28,28,0,0,28,0,28
3800100,2,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,32
3800100,2,0,0,0,0,0,0,124,0,0,124,0,0,0,124,0,124
3800100,7,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,7
3800100,7,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,30
3800100,7,0,0,1,1,0,0,159,0,0,159,159,0,0,159,0,159
3800100,8,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6
3800100,11,0,0,1,0,0,0,0,0,0,13,0,0,13,0,0,13
3800100,12,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
3800100,12,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,10
3800100,17,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,17
3800100,21,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,130
3800100,26,0,0,0,1,0,0,0,0,0,10,0,0,10,0,0,10
3800100,27,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20
3800100,29,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7
3800100,31,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,81
3800100,35,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17
3800100,36,0,0,0,0,0,0,0,0,0,232,0,0,232,0,0,232
3800100,36,0,0,0,0,0,0,0,0,0,8,0,8,8,0,0,8
3800100,38,0,0,0,0,15,0,0,0,0,15,0,0,15,0,0,15
3800100,39,0,1,1,1,20,0,0,0,0,0,0,20,20,20,0,20
3800100,42,0,0,0,0,0,0,0,0,0,86,86,0,0,0,0,86
3800100,45,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,24
3800100,45,0,0,1,1,0,0,0,0,0,16,0,0,0,16,0,16
3800100,47,0,1,1,1,15,0,0,0,0,0,0,15,15,15,0,15
3800100,51,0,0,1,1,0,0,0,0,0,110,110,0,0,0,0,110
3800100,51,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,46
3800100,52,0,1,1,1,21,0,0,0,0,0,0,0,21,21,0,21
3800100,52,1,0,0,1,0,0,0,0,0,49,0,0,49,49,0,49
3800100,53,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,11
3800100,53,0,1,1,1,14,0,0,0,0,0,0,0,14,14,0,14
3800100,54,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,15
3800100,55,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,10
3800100,56,1,0,1,1,0,0,0,0,0,11,0,0,0,11,0,11
3800100,58,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5
3800100,59,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,100
3800100,64,0,0,1,0,0,0,0,0,0,61,0,0,0,0,0,61
