cd118,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
3301,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,601
3301,0,0,0,0,0,0,0,0,0,0,198,0,0,0,198,0,198
3301,0,0,0,0,0,0,0,0,0,0,921,0,0,921,0,0,921
3301,0,0,0,0,0,0,0,0,0,0,335,0,0,335,335,0,335
3301,0,0,0,0,0,0,0,0,0,0,159,0,159,0,0,0,159
3301,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4
3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,9
3301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3301,0,0,0,0,1,0,0,0,0,0,13,13,0,0,0,0,13
3301,0,0,0,1,0,0,0,0,0,0,325,0,0,0,0,0,325
3301,0,0,0,1,0,0,0,0,0,0,189,0,0,189,0,0,189
3301,0,0,0,1,0,0,0,0,0,0,216,0,0,216,216,0,216
3301,0,0,0,1,0,0,16,0,0,0,0,0,0,16,16,16,16
3301,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3301,0,0,0,1,1,0,0,0,0,0,259,0,0,0,259,0,259
3301,0,0,0,1,1,0,0,0,0,0,65,0,0,65,65,0,65
3301,0,0,0,1,1,0,0,13,0,0,0,13,0,0,0,0,13
3301,2,0,0,0,0,0,0,0,0,0,55,0,55,55,55,0,55
3301,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3
3301,4,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25
3301,4,0,0,1,0,0,0,0,0,0,12,0,0,0,12,0,12
3301,5,0,0,1,0,0,0,0,0,0,119,0,0,0,0,0,119
3301,5,0,0,1,0,0,0,0,0,0,72,72,0,0,0,0,72
3301,5,0,0,1,1,0,0,0,0,0,170,0,0,0,170,0,170
3301,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,6,0,0,0,0,28,0,0,0,0,28,0,0,28,0,0,28
3301,6,1,0,1,1,0,0,0,0,0,80,0,0,80,0,0,80
3301,8,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9
3301,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
3301,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,10,0,0,0,1,0,0,0,0,0,131,0,0,131,0,0,131
3301,10,0,1,1,0,0,0,0,0,0,131,0,0,131,0,0,131
3301,11,0,0,0,0,0,0,0,0,0,126,0,0,126,126,0,126
3301,11,0,0,1,0,0,0,0,0,0,6,0,0,6,6,0,6
3301,12,0,0,0,0,0,0,0,0,0,106,0,0,106,0,0,106
3301,12,0,0,0,0,0,0,0,0,0,31,0,0,31,31,0,31
3301,13,0,0,0,0,0,0,0,0,0,48,0,0,48,0,0,48
3301,13,0,0,0,0,0,0,0,0,0,247,0,0,247,247,0,247
3301,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,13,0,1,1,0,0,0,0,0,0,47,0,0,47,47,0,47
3301,14,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,85
3301,14,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0,69
3301,14,0,0,0,0,0,0,0,0,0,90,0,90,90,0,0,90
3301,14,0,0,1,0,0,0,0,0,0,44,0,0,0,44,0,44
3301,15,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,39
3301,16,1,0,1,0,0,0,0,0,0,58,0,0,0,0,0,58
3301,17,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108
3301,17,0,0,1,1,0,0,0,0,0,9,0,9,9,9,0,9
3301,19,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5
3301,20,0,0,1,1,0,0,0,0,0,18,0,0,0,18,0,18
3301,21,0,0,0,0,0,0,0,0,0,229,0,0,229,229,0,229
3301,23,1,0,0,0,0,0,0,0,0,91,91,0,0,91,0,91
3301,24,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25
3301,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,25,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4
3301,25,0,0,1,1,0,0,0,0,0,180,0,0,0,180,0,180
3301,26,0,0,1,0,0,0,0,0,0,257,0,0,0,257,0,257
3301,27,1,0,1,0,0,0,0,0,0,61,0,0,0,0,0,61
3301,28,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,95
3301,28,0,0,0,0,0,0,0,0,0,97,0,0,0,97,0,97
3301,28,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5
3301,30,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3
3301,30,0,0,0,0,0,0,0,0,0,13,0,13,13,13,0,13
3301,32,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,19
3301,32,0,0,1,0,0,0,0,0,0,121,0,0,121,121,0,121
3301,32,0,1,1,1,0,0,0,0,0,217,217,0,0,217,0,217
3301,33,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,43
3301,34,1,0,1,1,11,0,0,0,0,11,0,0,0,0,0,11
3301,35,0,0,0,1,0,0,0,0,0,8,0,0,8,0,0,8
3301,35,0,1,1,1,0,0,0,0,0,188,0,0,0,188,0,188
3301,36,0,0,0,0,0,0,0,0,0,15,0,15,15,15,0,15
3301,37,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,478
3301,37,0,0,1,0,0,0,0,0,0,81,0,0,0,81,0,81
3301,38,0,0,1,0,0,0,0,0,0,145,0,145,145,0,0,145
3301,39,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,114
3301,39,0,0,0,0,0,0,0,0,0,126,0,126,126,0,0,126
3301,40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,41,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3301,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,44,0,1,1,1,0,0,0,0,0,8,0,0,8,8,0,8
3301,45,0,0,0,0,0,0,0,0,0,46,0,0,46,0,0,46
3301,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,45,0,1,1,1,0,0,0,0,0,368,0,0,0,368,0,368
3301,47,0,0,0,0,0,0,0,0,0,183,0,183,0,183,0,183
3301,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,47,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,6
3301,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,48,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,278
3301,48,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13
3301,48,0,0,1,0,0,0,0,0,0,57,0,0,0,57,0,57
3301,51,0,0,1,0,0,0,0,0,0,140,0,0,0,140,0,140
3301,52,0,0,1,0,0,0,0,0,0,63,0,0,63,0,0,63
3301,52,0,0,1,1,0,0,0,0,0,109,0,0,0,109,0,109
3301,53,0,0,0,0,0,0,0,0,0,152,0,0,152,0,0,152
3301,53,0,0,0,1,0,0,0,0,0,40,0,0,40,0,0,40
3301,54,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,66
3301,55,0,0,0,0,0,8,0,0,0,8,0,0,0,0,8,8
3301,56,0,0,0,0,0,0,0,0,0,43,0,0,43,43,0,43
3301,56,0,0,1,1,0,0,0,0,0,83,0,0,0,0,0,83
3301,57,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,54
3301,57,0,0,1,0,0,0,0,0,0,97,0,0,0,97,0,97
3301,57,0,0,1,0,0,36,0,0,0,0,0,0,0,36,0,36
3301,57,0,1,1,0,0,0,0,0,0,15,0,0,0,0,0,15
3301,57,0,1,1,0,90,0,0,0,0,90,0,90,90,0,0,90
3301,58,0,0,0,0,0,0,0,0,0,224,0,0,224,0,0,224
3301,59,0,0,0,0,0,0,0,0,0,58,0,0,0,58,0,58
3301,59,0,0,0,0,0,0,0,0,0,11,0,11,11,11,0,11
3301,60,0,0,0,0,0,0,0,0,0,36,0,36,36,0,0,36
3301,61,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,2
3301,62,0,0,1,0,0,0,0,0,0,71,0,0,0,71,0,71
3301,63,0,0,1,0,0,0,0,0,0,31,31,31,31,0,0,31
3301,63,1,0,1,1,0,0,0,0,0,64,0,0,64,64,0,64
3301,64,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30
3301,64,0,0,1,0,0,0,0,0,0,55,0,0,55,0,0,55
3301,64,0,0,1,0,0,0,0,0,0,119,0,0,119,119,0,119
3301,65,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22
3301,65,0,0,1,0,0,0,0,0,0,84,0,0,84,0,0,84
3301,65,0,1,1,1,0,0,0,0,0,60,0,0,0,60,0,60
3301,66,0,0,0,0,0,0,0,0,0,79,0,79,79,0,0,79
3301,67,0,0,0,0,0,121,0,0,0,0,0,0,0,121,121,121
3301,67,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,25
3301,68,0,1,0,0,0,0,0,0,0,13,0,13,0,13,0,13
3301,68,0,1,1,1,0,0,0,0,0,0,57,0,0,57,0,57
3301,69,0,0,1,1,0,0,0,0,0,3,0,0,3,0,0,3
3301,69,0,0,1,1,0,0,0,0,0,21,21,0,0,0,0,21
3301,69,0,1,1,1,0,0,0,0,0,104,0,0,0,104,0,104
3301,69,0,1,1,1,0,0,0,0,0,91,0,0,91,91,0,91
3301,70,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,128
3301,70,0,0,0,0,0,0,0,0,0,87,0,87,87,0,0,87
3301,70,0,0,0,0,0,0,0,0,0,372,0,372,372,372,0,372
3301,70,0,0,0,0,0,0,0,0,34,34,0,34,34,34,0,34
3301,70,0,0,1,1,0,0,0,0,0,302,0,0,302,0,0,302
3301,70,0,1,1,1,0,0,0,0,0,80,0,0,0,80,0,80
3301,71,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,65
3301,71,0,1,0,0,0,0,0,0,0,160,0,0,0,160,0,160
3301,71,1,1,0,1,0,0,0,0,0,52,0,52,52,52,0,52
3301,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,72,0,0,0,0,0,0,0,0,0,38,0,0,38,0,0,38
3301,72,0,0,0,0,0,0,0,0,0,129,0,0,129,129,0,129
3301,72,0,0,1,1,0,0,0,0,0,128,0,0,0,128,0,128
