county,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
33001,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
33001,0,0,0,0,0,0,0,0,0,0,118,0,0,0,118,0,118
33001,0,0,0,0,0,0,0,0,0,0,37,0,0,37,0,0,37
33001,0,0,0,0,0,0,0,0,0,0,38,0,0,38,38,0,38
33001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,35
33001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,2
33001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
33001,0,0,0,1,1,0,0,0,0,0,94,0,0,0,94,0,94
33001,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
33001,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2
33001,5,0,0,1,0,0,0,0,0,0,43,43,0,0,0,0,43
33001,5,0,0,1,1,0,0,0,0,0,101,0,0,0,101,0,101
33001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,6,0,0,0,0,17,0,0,0,0,17,0,0,17,0,0,17
33001,6,1,0,1,1,0,0,0,0,0,2,0,0,2,0,0,2
33001,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,10,0,1,1,0,0,0,0,0,0,3,0,0,3,0,0,3
33001,11,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2
33001,12,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32
33001,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33001,13,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5
33001,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
33001,14,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,41
33001,15,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,23
33001,17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
33001,21,0,0,0,0,0,0,0,0,0,136,0,0,136,136,0,136
33001,24,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15
33001,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33001,26,0,0,1,0,0,0,0,0,0,153,0,0,0,153,0,153
33001,27,1,0,1,0,0,0,0,0,0,36,0,0,0,0,0,36
33001,32,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,2
33001,33,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,26
33001,37,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9
33001,37,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,2
33001,38,0,0,1,0,0,0,0,0,0,3,0,3,3,0,0,3
