metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,571
99999,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,21
99999,0,0,0,0,0,0,0,0,0,0,0,147,0,147,147,0,147
99999,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15
99999,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,41
99999,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10
99999,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0,0,1446
99999,0,0,0,0,0,0,0,0,0,0,475,0,0,475,0,0,475
99999,0,0,0,0,0,0,0,0,0,0,321,0,0,321,321,0,321
99999,0,0,0,0,0,0,0,0,0,0,548,0,548,548,548,0,548
99999,0,0,0,0,0,0,0,0,0,0,1969,1969,0,0,0,0,1969
99999,0,0,0,0,0,0,0,0,0,0,453,453,0,0,0,453,453
99999,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,20
99999,0,0,0,0,0,0,0,0,0,0,84,84,0,84,0,0,84
99999,0,0,0,0,0,0,0,0,0,0,219,219,0,219,219,0,219
99999,0,0,0,0,0,0,0,0,0,0,110,110,110,0,0,0,110
99999,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,96
99999,0,0,0,0,0,0,0,171,0,0,171,0,0,171,0,0,171
99999,0,0,0,0,0,0,88,0,0,0,0,0,0,88,88,0,88
99999,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,109
99999,0,0,0,0,0,105,0,0,0,0,0,0,0,0,105,0,105
99999,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,37
99999,0,0,0,0,0,114,0,0,0,0,0,0,0,114,0,114,114
99999,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13,0,13
99999,0,0,0,0,0,65,0,0,0,0,0,0,0,65,65,65,65
99999,0,0,0,0,0,181,0,0,0,0,0,181,0,0,0,0,181
99999,0,0,0,0,1,0,0,0,0,0,87,0,0,0,0,0,87
99999,0,0,0,0,1,0,0,0,0,0,169,0,0,169,169,0,169
