state,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
35,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,571
35,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,21
35,0,0,0,0,0,0,0,0,0,0,0,147,0,147,147,0,147
35,0,0,0,0,0,0,0,0,0,0,0,15,0,15,15,15,15
35,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,41
35,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10
35,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0,0,1446
35,0,0,0,0,0,0,0,0,0,0,475,0,0,475,0,0,475
35,0,0,0,0,0,0,0,0,0,0,321,0,0,321,321,0,321
35,0,0,0,0,0,0,0,0,0,0,548,0,548,548,548,0,548
35,0,0,0,0,0,0,0,0,0,0,1969,1969,0,0,0,0,1969
35,0,0,0,0,0,0,0,0,0,0,453,453,0,0,0,453,453
35,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,20
35,0,0,0,0,0,0,0,0,0,0,84,84,0,84,0,0,84
35,0,0,0,0,0,0,0,0,0,0,219,219,0,219,219,0,219
35,0,0,0,0,0,0,0,0,0,0,110,110,110,0,0,0,110
35,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,96
35,0,0,0,0,0,0,0,171,0,0,171,0,0,171,0,0,171
35,0,0,0,0,0,0,88,0,0,0,0,0,0,88,88,0,88
35,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,109
35,0,0,0,0,0,105,0,0,0,0,0,0,0,0,105,0,105
35,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,37
35,0,0,0,0,0,114,0,0,0,0,0,0,0,114,0,114,114
35,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13,0,13
35,0,0,0,0,0,65,0,0,0,0,0,0,0,65,65,65,65
35,0,0,0,0,0,181,0,0,0,0,0,181,0,0,0,0,181
35,0,0,0,0,1,0,0,0,0,0,87,0,0,0,0,0,87
35,0,0,0,0,1,0,0,0,0,0,169,0,0,169,169,0,169
35,0,0,0,0,1,0,0,0,0,0,227,227,0,0,0,0,227
35,0,0,0,0,1,0,0,0,0,0,15,15,0,15,15,15,15
35,0,0,0,0,1,0,0,89,0,0,89,89,89,89,0,0,89
35,0,0,0,0,1,455,0,0,0,0,0,0,0,0,0,0,455
35,0,0,0,0,1,29,0,0,0,0,0,0,0,0,29,29,29
35,0,0,0,0,1,42,0,0,0,0,0,0,0,42,0,42,42
35,0,0,0,1,0,0,0,0,0,0,0,114,0,0,0,114,114
35,0,0,0,1,0,0,0,0,0,0,0,37,0,0,37,0,37
35,0,0,0,1,0,0,0,0,0,0,0,41,0,41,0,41,41
35,0,0,0,1,0,0,0,0,0,0,0,42,42,0,0,0,42
35,0,0,0,1,0,0,0,0,0,0,376,0,0,0,0,0,376
35,0,0,0,1,0,0,0,0,0,0,68,0,0,0,68,0,68
35,0,0,0,1,0,0,0,0,0,0,424,0,0,424,0,0,424
35,0,0,0,1,0,0,0,0,0,0,62,0,0,62,62,0,62
35,0,0,0,1,0,0,0,0,0,0,100,0,100,100,0,0,100
35,0,0,0,1,0,0,0,0,0,0,64,0,64,64,64,0,64
35,0,0,0,1,0,0,0,0,0,0,372,372,0,0,0,0,372
35,0,0,0,1,0,0,0,0,0,0,105,105,0,0,105,0,105
35,0,0,0,1,0,0,0,0,0,0,54,54,0,54,54,0,54
35,0,0,0,1,0,0,0,0,0,0,60,60,60,60,60,0,60
35,0,0,0,1,0,0,0,50,0,0,50,50,0,0,0,0,50
35,0,0,0,1,0,0,8,0,0,0,8,0,0,8,8,0,8
35,0,0,0,1,0,0,6,0,0,0,6,6,0,6,0,0,6
35,0,0,0,1,0,148,0,0,0,0,0,0,0,0,0,0,148
35,0,0,0,1,0,183,0,0,0,0,0,0,0,0,183,0,183
35,0,0,0,1,0,23,0,0,0,0,0,0,0,23,0,23,23
35,0,0,0,1,0,1006,0,0,0,0,0,1006,0,0,0,0,1006
35,0,0,0,1,0,48,0,0,0,0,48,48,0,0,0,0,48
35,0,0,0,1,0,92,0,0,0,0,92,92,0,92,0,0,92
35,0,0,0,1,0,15,0,0,0,0,15,15,0,15,15,0,15
35,0,0,0,1,0,205,0,0,0,0,205,205,205,205,0,0,205
35,0,0,0,1,0,87,0,87,0,0,0,0,87,87,0,0,87
35,0,0,0,1,1,0,0,0,0,0,0,468,0,0,0,0,468
35,0,0,0,1,1,0,0,0,0,0,0,299,0,0,0,299,299
35,0,0,0,1,1,0,0,0,0,0,0,646,0,0,646,0,646
35,0,0,0,1,1,0,0,0,0,0,0,72,0,72,0,0,72
35,0,0,0,1,1,0,0,0,0,0,0,25,0,25,0,25,25
35,0,0,0,1,1,0,0,0,0,0,560,0,0,0,0,0,560
35,0,0,0,1,1,0,0,0,0,0,299,0,0,0,299,0,299
35,0,0,0,1,1,0,0,0,0,0,53,0,0,53,53,0,53
35,0,0,0,1,1,0,0,0,0,0,998,998,0,0,0,0,998
35,0,0,0,1,1,0,0,0,0,0,481,481,0,0,0,481,481
35,0,0,0,1,1,0,0,0,0,0,120,120,0,0,120,0,120
35,0,0,0,1,1,0,0,0,0,0,397,397,0,0,397,397,397
35,0,0,0,1,1,0,0,0,0,0,70,70,0,70,70,70,70
35,0,0,0,1,1,0,0,0,0,0,101,101,101,0,101,0,101
35,0,0,0,1,1,0,0,0,0,0,71,71,71,71,71,0,71
35,0,0,0,1,1,0,0,251,0,0,0,0,0,0,0,0,251
35,0,0,0,1,1,0,250,0,0,0,0,0,0,250,0,250,250
35,0,0,0,1,1,696,0,0,0,0,0,0,0,0,0,0,696
35,0,0,0,1,1,187,0,0,0,0,0,0,0,0,0,187,187
35,0,0,0,1,1,272,0,0,0,0,0,0,0,0,272,0,272
