metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,156
99999,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,259
99999,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,85,85
99999,0,0,0,0,0,0,0,0,0,0,0,163,0,0,163,0,163
99999,0,0,0,0,0,0,0,0,0,0,0,145,0,145,0,0,145
99999,0,0,0,0,0,0,0,0,0,0,0,212,0,212,0,212,212
99999,0,0,0,0,0,0,0,0,0,0,0,114,0,114,114,114,114
99999,0,0,0,0,0,0,0,0,0,0,3055,0,0,0,0,0,3055
99999,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,197,197
99999,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,1560,0,1560
99999,0,0,0,0,0,0,0,0,0,0,1489,0,0,1489,0,0,1489
99999,0,0,0,0,0,0,0,0,0,0,334,0,0,334,0,334,334
99999,0,0,0,0,0,0,0,0,0,0,153,0,0,153,153,0,153
99999,0,0,0,0,0,0,0,0,0,0,81,0,81,0,0,0,81
99999,0,0,0,0,0,0,0,0,0,0,147,0,147,0,147,0,147
99999,0,0,0,0,0,0,0,0,0,0,452,0,452,452,0,0,452
99999,0,0,0,0,0,0,0,0,0,0,236,0,236,236,236,0,236
99999,0,0,0,0,0,0,0,0,0,0,1753,1753,0,0,0,0,1753
99999,0,0,0,0,0,0,0,0,0,0,1129,1129,0,0,0,1129,1129
99999,0,0,0,0,0,0,0,0,0,0,260,260,0,0,260,0,260
99999,0,0,0,0,0,0,0,0,0,0,192,192,0,192,0,0,192
99999,0,0,0,0,0,0,0,0,0,0,131,131,0,131,0,131,131
99999,0,0,0,0,0,0,0,847,0,0,0,0,0,0,0,0,847
99999,0,0,0,0,0,0,0,188,0,0,0,0,0,0,188,0,188
99999,0,0,0,0,0,0,0,207,0,0,0,0,0,0,207,207,207
99999,0,0,0,0,0,0,0,52,0,0,0,0,0,52,0,0,52
99999,0,0,0,0,0,0,0,610,0,0,0,0,610,0,0,0,610
99999,0,0,0,0,0,0,0,195,0,0,0,0,195,195,195,0,195
99999,0,0,0,0,0,0,0,56,0,0,56,0,0,0,0,0,56
99999,0,0,0,0,0,0,0,74,0,0,74,0,0,74,0,0,74
99999,0,0,0,0,0,0,0,104,0,0,104,0,104,104,0,0,104
99999,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,856
99999,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,499,499
99999,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100
99999,0,0,0,0,0,0,205,0,0,0,0,0,0,205,0,0,205
99999,0,0,0,0,0,0,72,0,0,0,0,0,0,72,0,72,72
99999,0,0,0,0,0,0,210,0,0,0,0,210,0,0,0,210,210
99999,0,0,0,0,0,0,520,0,0,0,520,0,0,0,0,0,520
99999,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,10
99999,0,0,0,0,0,127,0,0,0,0,127,0,127,127,0,0,127
99999,0,0,0,0,0,332,0,332,0,0,332,0,332,0,332,0,332
99999,0,0,0,0,0,101,101,101,101,0,0,0,0,101,0,0,101
99999,0,0,0,0,1,0,0,0,0,0,0,182,0,0,0,182,182
99999,0,0,0,0,1,0,0,0,0,0,163,0,0,0,0,0,163
99999,0,0,0,0,1,0,0,0,0,0,347,0,0,0,0,347,347
99999,0,0,0,0,1,0,0,0,0,0,120,0,0,120,120,0,120
99999,0,0,0,0,1,0,0,0,0,0,54,54,0,0,54,54,54
99999,0,0,0,0,1,0,0,298,0,0,0,0,0,0,0,0,298
99999,0,0,0,0,1,0,0,162,0,0,0,162,0,0,0,0,162
99999,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,31,31
99999,0,0,0,0,1,0,115,0,115,0,0,0,115,115,0,0,115
99999,0,0,0,0,1,37,0,0,0,0,37,37,0,0,0,0,37
99999,0,0,0,0,1,100,100,100,0,0,100,0,0,100,100,0,100
99999,0,0,0,1,0,0,0,0,0,0,0,343,0,0,0,0,343
99999,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,85,85
99999,0,0,0,1,0,0,0,0,0,0,0,376,0,0,376,0,376
99999,0,0,0,1,0,0,0,0,0,0,0,104,0,0,104,104,104
99999,0,0,0,1,0,0,0,0,0,0,0,110,0,110,0,110,110
99999,0,0,0,1,0,0,0,0,0,0,2646,0,0,0,0,0,2646
99999,0,0,0,1,0,0,0,0,0,0,442,0,0,0,442,0,442
99999,0,0,0,1,0,0,0,0,0,0,884,0,0,884,0,0,884
99999,0,0,0,1,0,0,0,0,0,0,48,0,48,48,48,0,48
99999,0,0,0,1,0,0,0,0,0,0,510,510,0,0,0,0,510
99999,0,0,0,1,0,0,0,0,0,0,554,554,0,0,0,554,554
99999,0,0,0,1,0,0,0,0,0,0,33,33,0,0,33,0,33
99999,0,0,0,1,0,0,0,2007,0,0,0,0,0,0,0,0,2007
99999,0,0,0,1,0,0,0,455,0,0,0,0,0,0,0,455,455
